alternative_gdp_per_capita_ppp_pwt_8_0,geo,time
3748,alb,1970
3803,alb,1971
3863,alb,1972
3924,alb,1973
3989,alb,1974
4059,alb,1975
4128,alb,1976
4200,alb,1977
4284,alb,1978
4352,alb,1979
4432,alb,1980
4557,alb,1981
4578,alb,1982
4582,alb,1983
4377,alb,1984
4325,alb,1985
4468,alb,1986
4321,alb,1987
4108,alb,1988
4451,alb,1989
4515,alb,1990
2547,alb,1991
1930,alb,1992
2490,alb,1993
3190,alb,1994
3521,alb,1995
4157,alb,1996
3756,alb,1997
3769,alb,1998
4341,alb,1999
4453,alb,2000
4597,alb,2001
4621,alb,2002
4885,alb,2003
5193,alb,2004
5371,alb,2005
5754,alb,2006
6117,alb,2007
6760,alb,2008
7177,alb,2009
7315,alb,2010
7365,alb,2011
2396,ago,1970
2488,ago,1971
2441,ago,1972
2580,ago,1973
2604,ago,1974
2400,ago,1975
2217,ago,1976
2187,ago,1977
2015,ago,1978
1981,ago,1979
1890,ago,1980
1808,ago,1981
1759,ago,1982
1747,ago,1983
1874,ago,1984
1781,ago,1985
1746,ago,1986
1956,ago,1987
1856,ago,1988
1853,ago,1989
1899,ago,1990
2030,ago,1991
2155,ago,1992
1514,ago,1993
1664,ago,1994
1869,ago,1995
2208,ago,1996
2176,ago,1997
1924,ago,1998
2285,ago,1999
1738,ago,2000
1621,ago,2001
1886,ago,2002
1878,ago,2003
2002,ago,2004
2411,ago,2005
2916,ago,2006
3317,ago,2007
3741,ago,2008
3194,ago,2009
3991,ago,2010
4214,ago,2011
4329,atg,1970
4587,atg,1971
4859,atg,1972
5214,atg,1973
5348,atg,1974
4988,atg,1975
4535,atg,1976
4857,atg,1977
4894,atg,1978
5636,atg,1979
5736,atg,1980
5912,atg,1981
6178,atg,1982
7199,atg,1983
7375,atg,1984
7933,atg,1985
8648,atg,1986
9191,atg,1987
10830,atg,1988
11430,atg,1989
12010,atg,1990
11960,atg,1991
12170,atg,1992
12760,atg,1993
13110,atg,1994
12140,atg,1995
12370,atg,1996
12700,atg,1997
13130,atg,1998
13400,atg,1999
13380,atg,2000
13300,atg,2001
13770,atg,2002
13630,atg,2003
14050,atg,2004
14030,atg,2005
14700,atg,2006
16050,atg,2007
16470,atg,2008
14900,atg,2009
13320,atg,2010
12910,atg,2011
2146,arg,1950
2208,arg,1951
1961,arg,1952
1996,arg,1953
2048,arg,1954
2198,arg,1955
2215,arg,1956
2277,arg,1957
2403,arg,1958
2251,arg,1959
2383,arg,1960
2451,arg,1961
2302,arg,1962
2258,arg,1963
2380,arg,1964
2685,arg,1965
2626,arg,1966
2705,arg,1967
2746,arg,1968
2942,arg,1969
2951,arg,1970
3061,arg,1971
3075,arg,1972
3184,arg,1973
3254,arg,1974
3133,arg,1975
3072,arg,1976
3152,arg,1977
3010,arg,1978
3240,arg,1979
3372,arg,1980
3304,arg,1981
3298,arg,1982
3559,arg,1983
3733,arg,1984
3525,arg,1985
3976,arg,1986
4203,arg,1987
4377,arg,1988
4230,arg,1989
4604,arg,1990
5413,arg,1991
6309,arg,1992
7167,arg,1993
8306,arg,1994
9078,arg,1995
11680,arg,1996
11780,arg,1997
11560,arg,1998
10590,arg,1999
10180,arg,2000
9364,arg,2001
8663,arg,2002
9014,arg,2003
9437,arg,2004
9957,arg,2005
10770,arg,2006
11600,arg,2007
12430,arg,2008
12370,arg,2009
13360,arg,2010
14510,arg,2011
3901,arm,1990
4438,arm,1991
2872,arm,1992
2316,arm,1993
2397,arm,1994
2397,arm,1995
2567,arm,1996
2448,arm,1997
2493,arm,1998
2508,arm,1999
2604,arm,2000
2831,arm,2001
3159,arm,2002
3548,arm,2003
3883,arm,2004
4359,arm,2005
4850,arm,2006
5447,arm,2007
5613,arm,2008
4835,arm,2009
5002,arm,2010
5235,arm,2011
11640,aus,1950
10520,aus,1951
10200,aus,1952
11040,aus,1953
11470,aus,1954
11600,aus,1955
11620,aus,1956
11360,aus,1957
11830,aus,1958
12430,aus,1959
12290,aus,1960
12370,aus,1961
12830,aus,1962
13670,aus,1963
13970,aus,1964
13950,aus,1965
14590,aus,1966
14910,aus,1967
15780,aus,1968
16600,aus,1969
16750,aus,1970
16970,aus,1971
17490,aus,1972
18650,aus,1973
17860,aus,1974
17680,aus,1975
18180,aus,1976
18100,aus,1977
18840,aus,1978
19300,aus,1979
19710,aus,1980
20400,aus,1981
19630,aus,1982
20480,aus,1983
21000,aus,1984
21280,aus,1985
21370,aus,1986
22680,aus,1987
23980,aus,1988
24620,aus,1989
24050,aus,1990
23830,aus,1991
24500,aus,1992
25260,aus,1993
26380,aus,1994
27460,aus,1995
28410,aus,1996
29470,aus,1997
30440,aus,1998
31650,aus,1999
31810,aus,2000
32640,aus,2001
33290,aus,2002
34280,aus,2003
34900,aus,2004
35510,aus,2005
36070,aus,2006
36530,aus,2007
36210,aus,2008
36080,aus,2009
37580,aus,2010
38500,aus,2011
4836,aut,1950
5014,aut,1951
5253,aut,1952
5512,aut,1953
5872,aut,1954
6447,aut,1955
6959,aut,1956
7302,aut,1957
7621,aut,1958
7891,aut,1959
8441,aut,1960
8886,aut,1961
9093,aut,1962
9445,aut,1963
9846,aut,1964
10120,aut,1965
10550,aut,1966
10800,aut,1967
11240,aut,1968
11740,aut,1969
12410,aut,1970
12990,aut,1971
13770,aut,1972
14510,aut,1973
14800,aut,1974
14860,aut,1975
15280,aut,1976
15900,aut,1977
15910,aut,1978
16540,aut,1979
16630,aut,1980
16460,aut,1981
16590,aut,1982
16960,aut,1983
16920,aut,1984
17240,aut,1985
18080,aut,1986
18820,aut,1987
19920,aut,1988
21140,aut,1989
22480,aut,1990
23710,aut,1991
24540,aut,1992
24950,aut,1993
26140,aut,1994
27470,aut,1995
27990,aut,1996
28970,aut,1997
30630,aut,1998
31810,aut,1999
32910,aut,2000
32190,aut,2001
32790,aut,2002
32630,aut,2003
33370,aut,2004
33230,aut,2005
34700,aut,2006
35830,aut,2007
36410,aut,2008
35430,aut,2009
36640,aut,2010
37280,aut,2011
6497,aze,1990
7837,aze,1991
5377,aze,1992
4381,aze,1993
3129,aze,1994
2098,aze,1995
2029,aze,1996
2049,aze,1997
1973,aze,1998
2127,aze,1999
2528,aze,2000
2782,aze,2001
2772,aze,2002
2894,aze,2003
3067,aze,2004
4327,aze,2005
5997,aze,2006
7696,aze,2007
9446,aze,2008
7876,aze,2009
8923,aze,2010
9317,aze,2011
12050,bhs,1970
11810,bhs,1971
11370,bhs,1972
11820,bhs,1973
9332,bhs,1974
8716,bhs,1975
9223,bhs,1976
10690,bhs,1977
12250,bhs,1978
16980,bhs,1979
16740,bhs,1980
15380,bhs,1981
14050,bhs,1982
12940,bhs,1983
15460,bhs,1984
17070,bhs,1985
17490,bhs,1986
17470,bhs,1987
17780,bhs,1988
18940,bhs,1989
