alternative_gdp_per_capita_ppp_wb,geo,time
568.6,afg,2002
631.8,afg,2003
672.1,afg,2004
748.1,afg,2005
808.9,afg,2006
874.2,afg,2007
879,afg,2008
1029,afg,2009
1083,afg,2010
4242,alb,1980
4397,alb,1981
4441,alb,1982
4404,alb,1983
4260,alb,1984
4239,alb,1985
4365,alb,1986
4216,alb,1987
4054,alb,1988
4369,alb,1989
3910,alb,1990
2751,alb,1991
2573,alb,1992
2856,alb,1993
3138,alb,1994
3598,alb,1995
3962,alb,1996
3581,alb,1997
4053,alb,1998
4472,alb,1999
4800,alb,2000
5126,alb,2001
5254,alb,2002
5523,alb,2003
5815,alb,2004
6102,alb,2005
6377,alb,2006
6725,alb,2007
7216,alb,2008
7428,alb,2009
7660,alb,2010
7861,alb,2011
6358,dza,1980
6336,dza,1981
6523,dza,1982
6654,dza,1983
6807,dza,1984
6846,dza,1985
6676,dza,1986
6446,dza,1987
6213,dza,1988
6320,dza,1989
6211,dza,1990
5987,dza,1991
5951,dza,1992
5695,dza,1993
5526,dza,1994
5626,dza,1995
5756,dza,1996
5728,dza,1997
5933,dza,1998
6036,dza,1999
6081,dza,2000
6149,dza,2001
6344,dza,2002
6682,dza,2003
6924,dza,2004
7169,dza,2005
7202,dza,2006
7305,dza,2007
7367,dza,2008
7431,dza,2009
7564,dza,2010
7643,dza,2011
3008,ago,1985
3007,ago,1986
3163,ago,1987
3259,ago,1988
3190,ago,1989
3093,ago,1990
2965,ago,1991
2673,ago,1992
1947,ago,1993
1952,ago,1994
2090,ago,1995
2259,ago,1996
2373,ago,1997
2468,ago,1998
2478,ago,1999
2476,ago,2000
2472,ago,2001
2735,ago,2002
2728,ago,2003
2931,ago,2004
3355,ago,2005
3926,ago,2006
4672,ago,2007
5166,ago,2008
5143,ago,2009
5172,ago,2010
5201,ago,2011
7331,atg,1980
7695,atg,1981
7802,atg,1982
8288,atg,1983
9246,atg,1984
10150,atg,1985
11630,atg,1986
12800,atg,1987
13670,atg,1988
14570,atg,1989
14940,atg,1990
15110,atg,1991
14990,atg,1992
15450,atg,1993
16020,atg,1994
14960,atg,1995
15560,atg,1996
15890,atg,1997
16180,atg,1998
16450,atg,1999
16330,atg,2000
16370,atg,2001
16510,atg,2002
17090,atg,2003
18040,atg,2004
18560,atg,2005
20760,atg,2006
18560,atg,2007
18630,atg,2008
16530,atg,2009
14900,atg,2010
14140,atg,2011
10080,arg,1980
9359,arg,1981
8760,arg,1982
8962,arg,1983
9021,arg,1984
8212,arg,1985
8728,arg,1986
8850,arg,1987
8499,arg,1988
7750,arg,1989
7458,arg,1990
8289,arg,1991
9155,arg,1992
9570,arg,1993
9999,arg,1994
9593,arg,1995
10000,arg,1996
10680,arg,1997
10960,arg,1998
10470,arg,1999
10280,arg,2000
9731,arg,2001
8589,arg,2002
9264,arg,2003
10010,arg,2004
10830,arg,2005
11650,arg,2006
12540,arg,2007
13280,arg,2008
13270,arg,2009
14360,arg,2010
15500,arg,2011
2938,arm,1990
2618,arm,1991
1551,arm,1992
1448,arm,1993
1563,arm,1994
1706,arm,1995
1835,arm,1996
1919,arm,1997
2076,arm,1998
2157,arm,1999
2295,arm,2000
2523,arm,2001
2860,arm,2002
3262,arm,2003
3602,arm,2004
4096,arm,2005
4631,arm,2006
5261,arm,2007
5615,arm,2008
4811,arm,2009
4900,arm,2010
5112,arm,2011
19770,aus,1980
20120,aus,1981
20430,aus,1982
19710,aus,1983
20380,aus,1984
21130,aus,1985
21740,aus,1986
21960,aus,1987
22870,aus,1988
23370,aus,1989
23850,aus,1990
23490,aus,1991
23310,aus,1992
24030,aus,1993
24720,aus,1994
25390,aus,1995
26100,aus,1996
26840,aus,1997
27780,aus,1998
28880,aus,1999
29660,aus,2000
29870,aus,2001
30660,aus,2002
31280,aus,2003
32200,aus,2004
32720,aus,2005
33230,aus,2006
33810,aus,2007
34410,aus,2008
34180,aus,2009
34410,aus,2010
34550,aus,2011
20770,aut,1980
20690,aut,1981
21070,aut,1982
21730,aut,1983
21750,aut,1984
22270,aut,1985
22770,aut,1986
23060,aut,1987
23750,aut,1988
24560,aut,1989
25440,aut,1990
26050,aut,1991
26310,aut,1992
26230,aut,1993
26750,aut,1994
27430,aut,1995
28060,aut,1996
28680,aut,1997
29730,aut,1998
30730,aut,1999
31780,aut,2000
31930,aut,2001
32310,aut,2002
32430,aut,2003
33060,aut,2004
33630,aut,2005
34690,aut,2006
35830,aut,2007
36180,aut,2008
34680,aut,2009
35380,aut,2010
36350,aut,2011
4754,aze,1990
4648,aze,1991
3543,aze,1992
2684,aze,1993
2126,aze,1994
1854,aze,1995
1859,aze,1996
1948,aze,1997
2123,aze,1998
2260,aze,1999
2490,aze,2000
2715,aze,2001
2981,aze,2002
3290,aze,2003
3594,aze,2004
4496,aze,2005
5981,aze,2006
7395,aze,2007
8024,aze,2008
8590,aze,2009
8912,aze,2010
8890,aze,2011
26040,bhs,1980
23120,bhs,1981
24130,bhs,1982
24450,bhs,1983
27330,bhs,1984
28080,bhs,1985
28060,bhs,1986
28390,bhs,1987
28560,bhs,1988
29960,bhs,1989
28970,bhs,1990
27260,bhs,1991
25730,bhs,1992
25340,bhs,1993
25690,bhs,1994
26390,bhs,1995
27130,bhs,1996
27350,bhs,1997
28310,bhs,1998
29980,bhs,1999
30840,bhs,2000
31230,bhs,2001
31640,bhs,2002
30790,bhs,2003
30620,bhs,2004
31200,bhs,2005
31520,bhs,2006
31510,bhs,2007
30330,bhs,2008
28460,bhs,2009
28130,bhs,2010
28240,bhs,2011
21140,bhr,1980
19260,bhr,1981
17260,bhr,1982
17870,bhr,1983
18270,bhr,1984
16900,bhr,1985
16550,bhr,1986
17640,bhr,1987
18220,bhr,1988
17680,bhr,1989
17910,bhr,1990
19380,bhr,1991
20160,bhr,1992
