geo,alternative_gdppercapita_ppp_inflation_adjusted_from_pwt,time
afg,1731,1970
afg,1748,1971
afg,2120,1972
afg,2119,1973
afg,2148,1974
afg,2263,1975
afg,2270,1976
afg,2121,1977
afg,2205,1978
afg,2121,1979
afg,2121,1980
afg,2298,1981
afg,2423,1982
afg,2529,1983
afg,2556,1984
afg,2549,1985
afg,2617,1986
afg,2326,1987
afg,2096,1988
afg,1907,1989
afg,1751,1990
afg,1837,1991
afg,1447,1992
afg,1137,1993
afg,1022,1994
afg,920.7,1995
afg,939.7,1996
afg,1029,1997
afg,1047,1998
afg,880.6,1999
afg,478.1,2000
afg,418.2,2001
afg,525.9,2002
afg,588.1,2003
afg,580.8,2004
alb,3902,1990
alb,2120,1991
alb,1436,1992
alb,1871,1993
alb,2347,1994
alb,2738,1995
alb,2658,1996
alb,2403,1997
alb,2669,1998
alb,3256,1999
alb,3797,2000
alb,4058,2001
alb,4134,2002
alb,4160,2003
alb,4499,2004
dza,3898,1960
dza,3530,1961
dza,2626,1962
dza,3284,1963
dza,3778,1964
dza,4086,1965
dza,3685,1966
dza,3836,1967
dza,4017,1968
dza,4100,1969
dza,4280,1970
dza,3830,1971
dza,4621,1972
dza,4426,1973
dza,4044,1974
dza,3988,1975
dza,4343,1976
dza,4277,1977
dza,4437,1978
dza,5281,1979
dza,5056,1980
dza,4912,1981
dza,5163,1982
dza,5278,1983
dza,5461,1984
dza,5457,1985
dza,5743,1986
dza,5934,1987
dza,5573,1988
dza,5578,1989
dza,5570,1990
dza,5537,1991
dza,5617,1992
dza,5432,1993
dza,5228,1994
dza,5324,1995
dza,5513,1996
dza,5457,1997
dza,5508,1998
dza,5611,1999
dza,5753,2000
dza,5726,2001
dza,5723,2002
dza,5993,2003
ago,1975,2000
atg,5168,1970
atg,4979,1971
atg,5249,1972
atg,5022,1973
atg,5170,1974
atg,4871,1975
atg,4414,1976
atg,4717,1977
atg,4738,1978
atg,5263,1979
atg,5383,1980
atg,5281,1981
atg,5618,1982
atg,7076,1983
atg,7171,1984
atg,7499,1985
atg,7878,1986
atg,7852,1987
atg,9697,1988
atg,9985,1989
atg,10790,1990
atg,10710,1991
atg,11150,1992
atg,12000,1993
atg,12620,1994
atg,12020,1995
atg,12440,1996
atg,12950,1997
atg,13670,1998
atg,14060,1999
atg,14060,2000
atg,14320,2001
atg,15270,2002
atg,15820,2003
arg,7091,1950
arg,7313,1951
arg,6736,1952
arg,6754,1953
arg,6950,1954
arg,7396,1955
arg,7353,1956
arg,7562,1957
arg,7949,1958
arg,7354,1959
arg,7859,1960
arg,8068,1961
arg,7968,1962
arg,7545,1963
arg,8031,1964
arg,8739,1965
arg,8569,1966
arg,8701,1967
arg,9005,1968
arg,9647,1969
arg,9740,1970
arg,9948,1971
arg,9946,1972
arg,10180,1973
arg,10590,1974
arg,10360,1975
arg,10110,1976
arg,10500,1977
arg,10090,1978
arg,10720,1979
arg,10810,1980
arg,10080,1981
arg,9493,1982
arg,9723,1983
arg,9829,1984
arg,8974,1985
arg,9533,1986
arg,9623,1987
arg,9228,1988
arg,8465,1989
arg,8231,1990
arg,9099,1991
arg,10050,1992
arg,10530,1993
arg,10970,1994
arg,10570,1995
arg,10910,1996
arg,11600,1997
arg,11930,1998
arg,11590,1999
arg,11330,2000
arg,10690,2001
arg,9561,2002
arg,10170,2003
arg,10940,2004
arm,2674,1995
arm,2833,1996
arm,2805,1997
arm,3026,1998
arm,3172,1999
arm,3471,2000
arm,3913,2001
arm,4338,2002
arm,4765,2003
aus,9261,1950
aus,9215,1951
aus,8613,1952
aus,9390,1953
aus,9924,1954
aus,10130,1955
aus,9936,1956
aus,9932,1957
aus,10390,1958
aus,10780,1959
aus,10780,1960
aus,10690,1961
aus,11130,1962
aus,11650,1963
aus,12210,1964
aus,12290,1965
aus,12730,1966
aus,12980,1967
aus,13810,1968
aus,14310,1969
aus,14670,1970
aus,15080,1971
aus,15360,1972
aus,15900,1973
aus,15620,1974
aus,15830,1975
aus,16250,1976
aus,16370,1977
aus,16880,1978
aus,17090,1979
aus,17460,1980
aus,17940,1981
aus,17500,1982
aus,17980,1983
aus,18480,1984
aus,19140,1985
aus,19290,1986
aus,19920,1987
aus,20270,1988
aus,20770,1989
aus,20420,1990
aus,20380,1991
aus,20800,1992
aus,21300,1993
aus,22010,1994
aus,22650,1995
aus,23270,1996
aus,24010,1997
aus,24950,1998
aus,25660,1999
aus,25830,2000
aus,26530,2001
aus,27120,2002
aus,27870,2003
aus,27990,2004
aut,5011,1950
aut,5335,1951
aut,5304,1952
aut,5470,1953
aut,5930,1954
aut,6519,1955
aut,6736,1956
aut,7154,1957
aut,7421,1958
aut,7631,1959
aut,8495,1960
aut,8906,1961
aut,9071,1962
aut,9374,1963
aut,9869,1964
aut,10110,1965
aut,10610,1966
aut,10880,1967
aut,11300,1968
aut,11910,1969
aut,12690,1970
aut,13290,1971
aut,14060,1972
aut,14720,1973
aut,15220,1974
aut,15180,1975
aut,15890,1976
aut,16720,1977
aut,16450,1978
aut,17740,1979
aut,17830,1980
aut,17910,1981
aut,18240,1982
aut,18710,1983
aut,18790,1984
aut,19360,1985
aut,19650,1986
aut,19930,1987
aut,20620,1988
aut,21410,1989
aut,22220,1990
aut,22760,1991
aut,23090,1992
aut,22980,1993
aut,23270,1994
aut,23590,1995
aut,24020,1996
aut,24490,1997
aut,25340,1998
aut,26110,1999
aut,27000,2000
aut,27190,2001
aut,27350,2002
aut,27570,2003
aut,28160,2004
aze,3319,1994
aze,2295,1995
aze,2129,1996
aze,2256,1997
aze,2561,1998
aze,3149,1999
aze,3591,2000
aze,3783,2001
aze,3852,2002
aze,3671,2003
bhs,16860,1970
bhs,16750,1971
bhs,15790,1972
bhs,16640,1973
bhs,13590,1974
bhs,11360,1975
bhs,11700,1976
bhs,12480,1977
bhs,13970,1978
bhs,17210,1979
bhs,18050,1980
bhs,17190,1981
bhs,17660,1982
bhs,18510,1983
bhs,18530,1984
bhs,18950,1985
bhs,19020,1986
bhs,19930,1987
bhs,20060,1988
bhs,22220,1989
bhs,20640,1990
bhs,19720,1991
bhs,17950,1992
bhs,17390,1993
bhs,17740,1994
bhs,17110,1995
bhs,16740,1996
bhs,16620,1997
bhs,16710,1998
bhs,18430,1999
bhs,19090,2000
bhs,18530,2001
bhs,18380,2002
bhs,18380,2003
bhs,18710,2004
bhr,11830,1970
bhr,11680,1971
bhr,11540,1972
bhr,10780,1973
bhr,17750,1974
bhr,18690,1975
bhr,19710,1976
bhr,21460,1977
bhr,19650,1978
bhr,19000,1979
bhr,18490,1980
bhr,17410,1981
bhr,17760,1982
bhr,17620,1983
bhr,17160,1984
bhr,15660,1985
bhr,15590,1986
bhr,15570,1987
bhr,16440,1988
bhr,16660,1989
bhr,17190,1990
bhr,16360,1991
bhr,17100,1992
bhr,19600,1993
bhr,15800,1994
bhr,16910,1995
bhr,16870,1996
bhr,16890,1997
bhr,17050,1998
bhr,18050,1999
bhr,18650,2000
bhr,19090,2001
bhr,18880,2002
bhr,19560,2003
bgd,1289,1972
bgd,1325,1973
bgd,1233,1974
bgd,1331,1975
bgd,1294,1976
bgd,1350,1977
bgd,1374,1978
bgd,1351,1979
bgd,1347,1980
bgd,1332,1981
bgd,1335,1982
bgd,1385,1983
bgd,1402,1984
bgd,1387,1985
bgd,1421,1986
bgd,1442,1987
bgd,1506,1988
bgd,1549,1989
bgd,1581,1990
bgd,1609,1991
bgd,1613,1992
bgd,1679,1993
bgd,1658,1994
bgd,1615,1995
bgd,1713,1996
bgd,1767,1997
bgd,1771,1998
bgd,1800,1999
bgd,1851,2000
bgd,1983,2001
bgd,2049,2002
bgd,2155,2003
brb,6961,1960
brb,7328,1961
brb,7778,1962
brb,7467,1963
brb,7624,1964
brb,8093,1965
brb,8287,1966
brb,9163,1967
brb,9377,1968
brb,10600,1969
brb,11620,1970
brb,12030,1971
brb,12280,1972
brb,12120,1973
brb,12400,1974
brb,11530,1975
brb,11300,1976
brb,11770,1977
brb,12410,1978
brb,13400,1979
brb,13480,1980
brb,12890,1981
brb,12660,1982
brb,12860,1983
brb,13580,1984
brb,13450,1985
brb,14360,1986
brb,14820,1987
brb,15030,1988
brb,15170,1989
brb,14580,1990
brb,14330,1991
brb,13740,1992
brb,13270,1993
brb,13590,1994
brb,14020,1995
brb,14240,1996
brb,14540,1997
brb,15050,1998
brb,15540,1999
brb,16090,2000
brb,15500,2001
brb,15450,2002
brb,15710,2003
brb,15940,2004
blr,7047,1995
blr,7100,1996
blr,8080,1997
blr,8551,1998
blr,9317,1999
blr,10010,2000
blr,10960,2001
blr,11770,2002
blr,12560,2003
bel,6290,1950
bel,6504,1951
bel,6622,1952
bel,6795,1953
bel,7065,1954
bel,7298,1955
bel,7482,1956
bel,7582,1957
bel,7469,1958
bel,7671,1959
bel,8051,1960
bel,8404,1961
bel,8817,1962
bel,9198,1963
bel,9781,1964
bel,10040,1965
bel,10310,1966
bel,10670,1967
bel,11090,1968
bel,11770,1969
bel,12470,1970
bel,12880,1971
bel,13510,1972
