geo,year,child_mortality_rate_per1000
afg,1800,468.58
afg,1801,468.58
afg,1802,468.58
afg,1803,468.58
afg,1804,468.58
afg,1805,468.58
afg,1806,469.98
afg,1807,469.98
afg,1808,469.98
afg,1809,469.98
afg,1810,469.98
afg,1811,469.98
afg,1812,469.98
afg,1813,469.98
afg,1814,469.98
afg,1815,469.98
afg,1816,471.38
afg,1817,471.38
afg,1818,471.38
afg,1819,471.38
afg,1820,471.38
afg,1821,471.38
afg,1822,471.38
afg,1823,471.38
afg,1824,471.38
afg,1825,471.38
afg,1826,472.81
afg,1827,472.81
afg,1828,472.81
afg,1829,472.81
afg,1830,472.81
afg,1831,472.81
afg,1832,472.81
afg,1833,472.81
afg,1834,472.81
afg,1835,472.81
afg,1836,474.24
afg,1837,474.24
afg,1838,474.24
afg,1839,474.24
afg,1840,474.24
afg,1841,474.24
afg,1842,474.24
afg,1843,474.24
afg,1844,474.24
afg,1845,475.67
afg,1846,475.67
afg,1847,475.67
afg,1848,475.67
afg,1849,475.67
afg,1850,475.67
afg,1851,475.67
afg,1852,475.67
afg,1853,475.67
afg,1854,475.67
afg,1855,477.1
afg,1856,477.1
afg,1857,477.1
afg,1858,477.1
afg,1859,477.1
afg,1860,477.1
afg,1861,477.1
afg,1862,477.1
afg,1863,477.1
afg,1864,477.1
afg,1865,478.53
afg,1866,478.53
afg,1867,478.53
afg,1868,478.53
afg,1869,478.53
afg,1870,478.53
afg,1871,478.53
afg,1872,478.53
afg,1873,478.53
afg,1874,478.53
afg,1875,479.96
afg,1876,479.96
afg,1877,479.96
afg,1878,479.96
afg,1879,479.96
afg,1880,479.96
afg,1881,479.96
afg,1882,479.96
afg,1883,479.96
afg,1884,479.96
afg,1885,481.39
afg,1886,481.39
afg,1887,481.39
afg,1888,481.39
afg,1889,481.39
afg,1890,481.39
afg,1891,481.39
afg,1892,481.39
afg,1893,481.39
afg,1894,482.81
afg,1895,482.77
afg,1896,482.69
afg,1897,482.57
afg,1898,482.38
afg,1899,482.11
afg,1900,481.77
afg,1901,481.36
afg,1902,480.87
afg,1903,480.3
afg,1904,481.08
afg,1905,480.36
afg,1906,479.57
afg,1907,478.69
afg,1908,477.75
afg,1909,476.74
afg,1910,475.68
afg,1911,474.58
afg,1912,473.45
afg,1913,472.32
afg,1914,472.57
afg,1915,471.43
afg,1916,470.29
afg,1917,469.15
afg,1918,468.1437705
afg,1919,467.1368893
afg,1920,466.1393649
afg,1921,465.1311832
afg,1922,464.1223498
afg,1923,463.1128647
afg,1924,463.495509
afg,1925,462.4851178
afg,1926,461.4640492
afg,1927,460.4523518
afg,1928,459.4400027
afg,1929,458.4169676
afg,1930,457.4033122
afg,1931,456.3890052
afg,1932,455.3640036
afg,1933,455.7146099
afg,1934,454.6987337
afg,1935,453.6721543
afg,1936,452.6449176
afg,1937,451.6270806
afg,1938,450.5985318
afg,1939,449.5693257
afg,1940,448.5495279
afg,1941,447.5190098
afg,1942,446.4878344
afg,1943,446.7958854
afg,1944,445.7637753
afg,1945,444.7310077
afg,1946,443.6975828
afg,1947,442.6635004
afg,1948,441.6287606
afg,1949,440.5933635
afg,1950,439.5573089
afg,1951,435.8953297
afg,1952,426.1135568
afg,1953,416.5512599
afg,1954,407.2035152
afg,1955,398.0655096
afg,1956,389.1325378
afg,1957,380.4
afg,1958,374.1
afg,1959,368.1
afg,1960,362.4
afg,1961,356.5
afg,1962,350.6
afg,1963,345
afg,1964,339.7
afg,1965,334.1
afg,1966,328.7
afg,1967,323.3
afg,1968,318.1
afg,1969,313
afg,1970,307.8
afg,1971,302.1
afg,1972,296.4
afg,1973,290.8
afg,1974,284.9
afg,1975,279.4
afg,1976,273.6
afg,1977,267.8
afg,1978,261.6
afg,1979,255.5
afg,1980,249.1
afg,1981,242.7
afg,1982,236.2
afg,1983,229.7
afg,1984,222.9
afg,1985,216
afg,1986,209.2
afg,1987,202.1
afg,1988,195
afg,1989,187.8
afg,1990,181
afg,1991,174.2
afg,1992,167.8
afg,1993,162
afg,1994,156.8
afg,1995,152.3
afg,1996,148.6
afg,1997,145.5
afg,1998,142.6
afg,1999,139.9
afg,2000,137
afg,2001,133.8
afg,2002,130.3
afg,2003,126.8
afg,2004,123.2
afg,2005,119.6
afg,2006,116.3
afg,2007,113.2
afg,2008,110.4
afg,2009,107.6
afg,2010,105
afg,2011,102.3
afg,2012,99.5
afg,2013,96.7
afg,2014,93.9
afg,2015,91.1
afg,2016,89.85483714
afg,2017,87.4528208
afg,2018,85.13174508
afg,2019,82.89439339
afg,2020,80.74055181
afg,2021,78.66702246
afg,2022,76.66465558
afg,2023,74.72532641
afg,2024,72.84589855
afg,2025,71.02126416
afg,2026,69.24831359
afg,2027,67.52691584
afg,2028,65.85891668
afg,2029,64.24417976
afg,2030,62.68750183
afg,2031,61.19661906
afg,2032,59.77431487
afg,2033,58.41942612
afg,2034,57.12489489
afg,2035,55.88172385
afg,2036,54.67702263
afg,2037,53.49794721
afg,2038,52.33659744
afg,2039,51.18705888
afg,2040,50.04832706
afg,2041,48.96795039
afg,2042,47.90712805
afg,2043,46.87465948
afg,2044,45.87347784
afg,2045,44.90944943
afg,2046,43.99039597
afg,2047,43.11436204
afg,2048,42.2793922
afg,2049,41.48059786
afg,2050,40.7101573
afg,2051,39.95633792
afg,2052,39.21229571
afg,2053,38.46923121
afg,2054,37.72616671
afg,2055,36.98310222
afg,2056,36.24199315
afg,2057,35.51163897
afg,2058,34.79888368
afg,2059,34.10763815
afg,2060,33.43985782
afg,2061,32.79847584
afg,2062,32.18153676
afg,2063,31.58806288
afg,2064,31.01707647
afg,2065,30.46857755
afg,2066,29.94061067
afg,2067,29.4312204
afg,2068,28.93845131
afg,2069,28.45937026
afg,2070,27.99299951
afg,2071,27.53836137
afg,2072,27.0944781
afg,2073,26.65939428
afg,2074,26.23017676
afg,2075,25.80095925
afg,2076,25.36587543
afg,2077,24.92296988
afg,2078,24.47322031
afg,2079,24.01760445
afg,2080,23.5629663
afg,2081,23.11517217
afg,2082,22.68204379
afg,2083,22.26846973
afg,2084,21.87542772
afg,2085,21.50096232
afg,2086,21.14214039
afg,2087,20.7921179
afg,2088,20.44600628
afg,2089,20.10185009
afg,2090,19.76062705
afg,2091,19.4242926
afg,2092,19.09382444
afg,2093,18.77215573
afg,2094,18.46026418
afg,2095,18.16108295
afg,2096,17.87363432
afg,2097,17.598896
afg,2098,17.3378457
afg,2099,17.08852801
alb,1800,375.2
alb,1801,375.2
alb,1802,375.2
alb,1803,375.2
alb,1804,375.2
alb,1805,375.2
alb,1806,375.2
alb,1807,375.2
alb,1808,375.2
alb,1809,375.2
alb,1810,375.2
alb,1811,375.2
alb,1812,375.2
alb,1813,375.2
alb,1814,375.2
alb,1815,375.2
alb,1816,375.2
alb,1817,375.2
alb,1818,375.2
alb,1819,375.2
alb,1820,375.2
alb,1821,375.2
alb,1822,375.2
alb,1823,375.2
alb,1824,375.2
alb,1825,375.2
alb,1826,375.2
alb,1827,375.2
alb,1828,375.2
alb,1829,375.2
alb,1830,375.2
alb,1831,375.2
alb,1832,375.2
alb,1833,375.2
alb,1834,375.2
alb,1835,375.2
alb,1836,375.2
alb,1837,375.2
alb,1838,375.2
alb,1839,375.2
alb,1840,375.2
alb,1841,375.2
alb,1842,375.2
alb,1843,375.2
alb,1844,375.2
alb,1845,375.2
alb,1846,375.2
alb,1847,375.2
alb,1848,375.2
alb,1849,375.2
alb,1850,375.2
alb,1851,375.2
alb,1852,375.2
alb,1853,375.2
alb,1854,375.2
alb,1855,375.2
alb,1856,375.2
alb,1857,375.2
alb,1858,375.2
alb,1859,375.2
alb,1860,375.2
alb,1861,375.2
alb,1862,375.2
alb,1863,375.2
alb,1864,375.2
alb,1865,375.2
alb,1866,375.2
alb,1867,375.2
alb,1868,375.2
alb,1869,375.2
alb,1870,375.2
alb,1871,375.2
alb,1872,375.2
alb,1873,375.2
alb,1874,375.2
alb,1875,375.2
alb,1876,375.2
alb,1877,375.2
alb,1878,375.2
alb,1879,375.2
alb,1880,375.2
alb,1881,375.2
alb,1882,375.2
alb,1883,375.2
alb,1884,375.2
alb,1885,375.2
alb,1886,375.2
alb,1887,375.2
alb,1888,375.2
alb,1889,375.2
alb,1890,375.2
alb,1891,375.2
alb,1892,375.2
alb,1893,375.2
alb,1894,375.19
alb,1895,375.16
alb,1896,375.1
alb,1897,375.01
alb,1898,374.86
alb,1899,374.65
alb,1900,374.39
alb,1901,374.07
alb,1902,373.69
alb,1903,373.24
alb,1904,372.75
alb,1905,372.19
alb,1906,371.57
alb,1907,370.9
alb,1908,370.16
alb,1909,369.38
alb,1910,368.56
alb,1911,367.71
alb,1912,366.84
alb,1913,365.96
alb,1914,365.08
alb,1915,364.2
alb,1916,363.32
alb,1917,362.43
alb,1918,361.55
alb,1919,360.67
alb,1920,359.79
alb,1921,358.91
alb,1922,358.03
alb,1923,357.15
alb,1924,356.27
alb,1925,355.39
alb,1926,354.51
alb,1927,353.63
alb,1928,352.75
alb,1929,351.87
alb,1930,340.97
alb,1931,330.3
alb,1932,319.85
alb,1933,309.61
alb,1934,299.59
alb,1935,289.77
alb,1936,280.14
alb,1937,270.71
alb,1938,261.46
alb,1939,253.4232112
alb,1940,244.6084492
alb,1941,235.9559419
alb,1942,227.4759352
alb,1943,219.158648
alb,1944,211.0043084
alb,1945,203.0031128
alb,1946,195.155276
alb,1947,187.4509721
alb,1948,179.8904022
alb,1949,172.4436201
alb,1950,165.1711084
alb,1951,161.6985403
alb,1952,158.2989485
alb,1953,154.9708001
alb,1954,151.7125942
alb,1955,148.5228617
alb,1956,145.4001642
alb,1957,142.3430935
alb,1958,139.350271
alb,1959,136.4203471
alb,1960,133.5520004
alb,1961,130.7439375
alb,1962,127.9948917
alb,1963,125.3036234
alb,1964,122.6689188
alb,1965,120.0895895
alb,1966,117.5644721
alb,1967,115.0924279
alb,1968,112.6723418
alb,1969,110.3031221
alb,1970,107.9837003
alb,1971,105.71303
alb,1972,103.4900872
alb,1973,101.3138689
alb,1974,99.1833935
alb,1975,97.09769998
alb,1976,95.05584742
alb,1977,93.05691468
alb,1978,91.1
alb,1979,84.7
alb,1980,78.6
alb,1981,73
alb,1982,67.8
alb,1983,62.8
alb,1984,58.3
alb,1985,54.3
alb,1986,50.7
alb,1987,47.6
alb,1988,44.9
alb,1989,42.5
alb,1990,40.6
alb,1991,38.8
alb,1992,37.3
alb,1993,36
alb,1994,34.6
alb,1995,33.2
alb,1996,31.8
alb,1997,30.3
alb,1998,28.9
alb,1999,27.5
alb,2000,26.2
alb,2001,24.9
alb,2002,23.6
alb,2003,22.5
alb,2004,21.5
alb,2005,20.5
alb,2006,19.5
alb,2007,18.7
alb,2008,17.9
alb,2009,17.3
alb,2010,16.6
alb,2011,16
alb,2012,15.5
alb,2013,14.9
alb,2014,14.4
alb,2015,14
alb,2016,14.63057853
alb,2017,14.48869954
alb,2018,14.34276597
alb,2019,14.19211359
alb,2020,14.03926288
alb,2021,13.88466714
alb,2022,13.72989719
alb,2023,13.57545672
alb,2024,13.42069829
alb,2025,13.2672431
alb,2026,13.11796419
alb,2027,12.97106301
alb,2028,12.82947978
alb,2029,12.69011374
alb,2030,12.55467004
alb,2031,12.4211151
alb,2032,12.29113728
alb,2033,12.16128328
alb,2034,12.03185528
alb,2035,11.90315551
alb,2036,11.77548616
alb,2037,11.64778007
alb,2038,11.52028909
alb,2039,11.39466799
alb,2040,11.26837951
alb,2041,11.01282851
alb,2042,10.76295642
alb,2043,10.51876324
alb,2044,10.28024897
alb,2045,10.04883334
alb,2046,9.824516345
alb,2047,9.607297992
alb,2048,9.400017734
alb,2049,9.201255843
alb,2050,9.00959259
alb,2051,8.825027977
alb,2052,8.646142275
alb,2053,8.472935483
alb,2054,8.302568148
alb,2055,8.137879724
alb,2056,7.978870211
alb,2057,7.825539609
alb,2058,7.679307646
alb,2059,7.537334866
