geo,year,child_mortality_rate_percent
afg,1800,46.858
afg,1801,46.858
afg,1802,46.858
afg,1803,46.858
afg,1804,46.858
afg,1805,46.858
afg,1806,46.998
afg,1807,46.998
afg,1808,46.998
afg,1809,46.998
afg,1810,46.998
afg,1811,46.998
afg,1812,46.998
afg,1813,46.998
afg,1814,46.998
afg,1815,46.998
afg,1816,47.138
afg,1817,47.138
afg,1818,47.138
afg,1819,47.138
afg,1820,47.138
afg,1821,47.138
afg,1822,47.138
afg,1823,47.138
afg,1824,47.138
afg,1825,47.138
afg,1826,47.281
afg,1827,47.281
afg,1828,47.281
afg,1829,47.281
afg,1830,47.281
afg,1831,47.281
afg,1832,47.281
afg,1833,47.281
afg,1834,47.281
afg,1835,47.281
afg,1836,47.424
afg,1837,47.424
afg,1838,47.424
afg,1839,47.424
afg,1840,47.424
afg,1841,47.424
afg,1842,47.424
afg,1843,47.424
afg,1844,47.424
afg,1845,47.567
afg,1846,47.567
afg,1847,47.567
afg,1848,47.567
afg,1849,47.567
afg,1850,47.567
afg,1851,47.567
afg,1852,47.567
afg,1853,47.567
afg,1854,47.567
afg,1855,47.71
afg,1856,47.71
afg,1857,47.71
afg,1858,47.71
afg,1859,47.71
afg,1860,47.71
afg,1861,47.71
afg,1862,47.71
afg,1863,47.71
afg,1864,47.71
afg,1865,47.853
afg,1866,47.853
afg,1867,47.853
afg,1868,47.853
afg,1869,47.853
afg,1870,47.853
afg,1871,47.853
afg,1872,47.853
afg,1873,47.853
afg,1874,47.853
afg,1875,47.996
afg,1876,47.996
afg,1877,47.996
afg,1878,47.996
afg,1879,47.996
afg,1880,47.996
afg,1881,47.996
afg,1882,47.996
afg,1883,47.996
afg,1884,47.996
afg,1885,48.139
afg,1886,48.139
afg,1887,48.139
afg,1888,48.139
afg,1889,48.139
afg,1890,48.139
afg,1891,48.139
afg,1892,48.139
afg,1893,48.139
afg,1894,48.281
afg,1895,48.277
afg,1896,48.269
afg,1897,48.257
afg,1898,48.238
afg,1899,48.211
afg,1900,48.177
afg,1901,48.136
afg,1902,48.087
afg,1903,48.03
afg,1904,48.108
afg,1905,48.036
afg,1906,47.957
afg,1907,47.869
afg,1908,47.775
afg,1909,47.674
afg,1910,47.568
afg,1911,47.458
afg,1912,47.345
afg,1913,47.232
afg,1914,47.257
afg,1915,47.143
afg,1916,47.029
afg,1917,46.915
afg,1918,46.81437705
afg,1919,46.71368893
afg,1920,46.61393649
afg,1921,46.51311832
afg,1922,46.41223498
afg,1923,46.31128647
afg,1924,46.3495509
afg,1925,46.24851178
afg,1926,46.14640492
afg,1927,46.04523518
afg,1928,45.94400027
afg,1929,45.84169676
afg,1930,45.74033122
afg,1931,45.63890052
afg,1932,45.53640036
afg,1933,45.57146099
afg,1934,45.46987337
afg,1935,45.36721543
afg,1936,45.26449176
afg,1937,45.16270806
afg,1938,45.05985318
afg,1939,44.95693257
afg,1940,44.85495279
afg,1941,44.75190098
afg,1942,44.64878344
afg,1943,44.67958854
afg,1944,44.57637753
afg,1945,44.47310077
afg,1946,44.36975828
afg,1947,44.26635004
afg,1948,44.16287606
afg,1949,44.05933635
afg,1950,43.95573089
afg,1951,43.58953297
afg,1952,42.61135568
afg,1953,41.65512599
afg,1954,40.72035152
afg,1955,39.80655096
afg,1956,38.91325378
afg,1957,38.04
afg,1958,37.41
afg,1959,36.81
afg,1960,36.24
afg,1961,35.65
afg,1962,35.06
afg,1963,34.5
afg,1964,33.97
afg,1965,33.41
afg,1966,32.87
afg,1967,32.33
afg,1968,31.81
afg,1969,31.3
afg,1970,30.78
afg,1971,30.21
afg,1972,29.64
afg,1973,29.08
afg,1974,28.49
afg,1975,27.94
afg,1976,27.36
afg,1977,26.78
afg,1978,26.16
afg,1979,25.55
afg,1980,24.91
afg,1981,24.27
afg,1982,23.62
afg,1983,22.97
afg,1984,22.29
afg,1985,21.6
afg,1986,20.92
afg,1987,20.21
afg,1988,19.5
afg,1989,18.78
afg,1990,18.1
afg,1991,17.42
afg,1992,16.78
afg,1993,16.2
afg,1994,15.68
afg,1995,15.23
afg,1996,14.86
afg,1997,14.55
afg,1998,14.26
afg,1999,13.99
afg,2000,13.7
afg,2001,13.38
afg,2002,13.03
afg,2003,12.68
afg,2004,12.32
afg,2005,11.96
afg,2006,11.63
afg,2007,11.32
afg,2008,11.04
afg,2009,10.76
afg,2010,10.5
afg,2011,10.23
afg,2012,9.95
afg,2013,9.67
afg,2014,9.39
afg,2015,9.11
afg,2016,8.985483714
afg,2017,8.74528208
afg,2018,8.513174508
afg,2019,8.289439339
afg,2020,8.074055181
afg,2021,7.866702246
afg,2022,7.666465558
afg,2023,7.472532641
afg,2024,7.284589855
afg,2025,7.102126416
afg,2026,6.924831359
afg,2027,6.752691584
afg,2028,6.585891668
afg,2029,6.424417976
afg,2030,6.268750183
afg,2031,6.119661906
afg,2032,5.977431487
afg,2033,5.841942612
afg,2034,5.712489489
afg,2035,5.588172385
afg,2036,5.467702263
afg,2037,5.349794721
afg,2038,5.233659744
afg,2039,5.118705888
afg,2040,5.004832706
afg,2041,4.896795039
afg,2042,4.790712805
afg,2043,4.687465948
afg,2044,4.587347784
afg,2045,4.490944943
afg,2046,4.399039597
afg,2047,4.311436204
afg,2048,4.22793922
afg,2049,4.148059786
afg,2050,4.07101573
afg,2051,3.995633792
afg,2052,3.921229571
afg,2053,3.846923121
afg,2054,3.772616671
afg,2055,3.698310222
afg,2056,3.624199315
afg,2057,3.551163897
afg,2058,3.479888368
afg,2059,3.410763815
afg,2060,3.343985782
afg,2061,3.279847584
afg,2062,3.218153676
afg,2063,3.158806288
afg,2064,3.101707647
afg,2065,3.046857755
afg,2066,2.994061067
afg,2067,2.94312204
afg,2068,2.893845131
afg,2069,2.845937026
afg,2070,2.799299951
afg,2071,2.753836137
afg,2072,2.70944781
afg,2073,2.665939428
afg,2074,2.623017676
afg,2075,2.580095925
afg,2076,2.536587543
afg,2077,2.492296988
afg,2078,2.447322031
afg,2079,2.401760445
afg,2080,2.35629663
afg,2081,2.311517217
afg,2082,2.268204379
afg,2083,2.226846973
afg,2084,2.187542772
afg,2085,2.150096232
afg,2086,2.114214039
afg,2087,2.07921179
afg,2088,2.044600628
afg,2089,2.010185009
afg,2090,1.976062705
afg,2091,1.94242926
afg,2092,1.909382444
afg,2093,1.877215573
afg,2094,1.846026418
afg,2095,1.816108295
afg,2096,1.787363432
afg,2097,1.7598896
afg,2098,1.73378457
afg,2099,1.708852801
alb,1800,37.52
alb,1801,37.52
alb,1802,37.52
alb,1803,37.52
alb,1804,37.52
alb,1805,37.52
alb,1806,37.52
alb,1807,37.52
alb,1808,37.52
alb,1809,37.52
alb,1810,37.52
alb,1811,37.52
alb,1812,37.52
alb,1813,37.52
alb,1814,37.52
alb,1815,37.52
alb,1816,37.52
alb,1817,37.52
alb,1818,37.52
alb,1819,37.52
alb,1820,37.52
alb,1821,37.52
alb,1822,37.52
alb,1823,37.52
alb,1824,37.52
alb,1825,37.52
alb,1826,37.52
alb,1827,37.52
alb,1828,37.52
alb,1829,37.52
alb,1830,37.52
alb,1831,37.52
alb,1832,37.52
alb,1833,37.52
alb,1834,37.52
alb,1835,37.52
alb,1836,37.52
alb,1837,37.52
alb,1838,37.52
alb,1839,37.52
alb,1840,37.52
alb,1841,37.52
alb,1842,37.52
alb,1843,37.52
alb,1844,37.52
alb,1845,37.52
alb,1846,37.52
alb,1847,37.52
alb,1848,37.52
alb,1849,37.52
alb,1850,37.52
alb,1851,37.52
alb,1852,37.52
alb,1853,37.52
alb,1854,37.52
alb,1855,37.52
alb,1856,37.52
alb,1857,37.52
alb,1858,37.52
alb,1859,37.52
alb,1860,37.52
alb,1861,37.52
alb,1862,37.52
alb,1863,37.52
alb,1864,37.52
alb,1865,37.52
alb,1866,37.52
alb,1867,37.52
alb,1868,37.52
alb,1869,37.52
alb,1870,37.52
alb,1871,37.52
alb,1872,37.52
alb,1873,37.52
alb,1874,37.52
alb,1875,37.52
alb,1876,37.52
alb,1877,37.52
alb,1878,37.52
alb,1879,37.52
alb,1880,37.52
alb,1881,37.52
alb,1882,37.52
alb,1883,37.52
alb,1884,37.52
alb,1885,37.52
alb,1886,37.52
alb,1887,37.52
alb,1888,37.52
alb,1889,37.52
alb,1890,37.52
alb,1891,37.52
alb,1892,37.52
alb,1893,37.52
alb,1894,37.519
alb,1895,37.516
alb,1896,37.51
alb,1897,37.501
alb,1898,37.486
alb,1899,37.465
alb,1900,37.439
alb,1901,37.407
alb,1902,37.369
alb,1903,37.324
alb,1904,37.275
alb,1905,37.219
alb,1906,37.157
alb,1907,37.09
alb,1908,37.016
alb,1909,36.938
alb,1910,36.856
alb,1911,36.771
alb,1912,36.684
alb,1913,36.596
alb,1914,36.508
alb,1915,36.42
alb,1916,36.332
alb,1917,36.243
alb,1918,36.155
alb,1919,36.067
alb,1920,35.979
alb,1921,35.891
alb,1922,35.803
alb,1923,35.715
alb,1924,35.627
alb,1925,35.539
alb,1926,35.451
alb,1927,35.363
alb,1928,35.275
alb,1929,35.187
alb,1930,34.097
alb,1931,33.03
alb,1932,31.985
alb,1933,30.961
alb,1934,29.959
alb,1935,28.977
alb,1936,28.014
alb,1937,27.071
alb,1938,26.146
alb,1939,25.34232112
alb,1940,24.46084492
alb,1941,23.59559419
alb,1942,22.74759352
alb,1943,21.9158648
alb,1944,21.10043084
alb,1945,20.30031128
alb,1946,19.5155276
alb,1947,18.74509721
alb,1948,17.98904022
alb,1949,17.24436201
alb,1950,16.51711084
alb,1951,16.16985403
alb,1952,15.82989485
alb,1953,15.49708001
alb,1954,15.17125942
alb,1955,14.85228617
alb,1956,14.54001642
alb,1957,14.23430935
alb,1958,13.9350271
alb,1959,13.64203471
alb,1960,13.35520004
alb,1961,13.07439375
alb,1962,12.79948917
alb,1963,12.53036234
alb,1964,12.26689188
alb,1965,12.00895895
alb,1966,11.75644721
alb,1967,11.50924279
alb,1968,11.26723418
alb,1969,11.03031221
alb,1970,10.79837003
alb,1971,10.571303
alb,1972,10.34900872
alb,1973,10.13138689
alb,1974,9.91833935
alb,1975,9.709769998
alb,1976,9.505584742
alb,1977,9.305691468
alb,1978,9.11
alb,1979,8.47
alb,1980,7.86
alb,1981,7.3
alb,1982,6.78
alb,1983,6.28
alb,1984,5.83
alb,1985,5.43
alb,1986,5.07
alb,1987,4.76
alb,1988,4.49
alb,1989,4.25
alb,1990,4.06
alb,1991,3.88
alb,1992,3.73
alb,1993,3.6
alb,1994,3.46
alb,1995,3.32
alb,1996,3.18
alb,1997,3.03
alb,1998,2.89
alb,1999,2.75
alb,2000,2.62
alb,2001,2.49
alb,2002,2.36
alb,2003,2.25
alb,2004,2.15
alb,2005,2.05
alb,2006,1.95
alb,2007,1.87
alb,2008,1.79
alb,2009,1.73
alb,2010,1.66
alb,2011,1.6
alb,2012,1.55
alb,2013,1.49
alb,2014,1.44
alb,2015,1.4
alb,2016,1.463057853
alb,2017,1.448869954
alb,2018,1.434276597
alb,2019,1.419211359
alb,2020,1.403926288
alb,2021,1.388466714
alb,2022,1.372989719
alb,2023,1.357545672
alb,2024,1.342069829
alb,2025,1.32672431
alb,2026,1.311796419
alb,2027,1.297106301
alb,2028,1.282947978
alb,2029,1.269011374
alb,2030,1.255467004
alb,2031,1.24211151
alb,2032,1.229113728
alb,2033,1.216128328
alb,2034,1.203185528
alb,2035,1.190315551
alb,2036,1.177548616
alb,2037,1.164778007
alb,2038,1.152028909
alb,2039,1.139466799
alb,2040,1.126837951
alb,2041,1.101282851
alb,2042,1.076295642
alb,2043,1.051876324
alb,2044,1.028024897
alb,2045,1.004883334
alb,2046,0.982451634
alb,2047,0.960729799
alb,2048,0.940001773
alb,2049,0.920125584
alb,2050,0.900959259
alb,2051,0.882502798
alb,2052,0.864614227
alb,2053,0.847293548
alb,2054,0.830256815
alb,2055,0.813787972
alb,2056,0.797887021
