geo,electricity_generation_per_person,time
dza,641.8,1990
dza,675.2,1991
dza,695.3,1992
dza,721.4,1993
dza,722.6,1994
dza,702,1995
dza,722.3,1996
dza,727.5,1997
dza,799.9,1998
dza,826.3,1999
dza,822.4,2000
dza,851,2001
dza,875.9,2002
dza,920.5,2003
dza,962.5,2004
dza,1033,2005
dza,1063,2006
dza,1109,2007
dza,1185,2008
arg,1543,1990
arg,1614,1991
arg,1657,1992
arg,1817,1993
arg,1882,1994
arg,1902,1995
arg,1951,1996
arg,2002,1997
arg,2024,1998
arg,2178,1999
arg,2373,2000
arg,2377,2001
arg,2207,2002
arg,2376,2003
arg,2561,2004
arg,2669,2005
arg,2934,2006
arg,2998,2007
arg,3074,2008
aus,9162,1990
aus,9170,1991
aus,9249,1992
aus,9364,1993
aus,9526,1994
aus,9688,1995
aus,9832,1996
aus,10210,1997
aus,10640,1998
aus,10840,1999
aus,11080,2000
aus,11450,2001
aus,11630,2002
aus,11570,2003
aus,11920,2004
aus,12390,2005
aus,12570,2006
aus,12750,2007
aus,13220,2008
aut,6528,1990
aut,6585,1991
aut,6466,1992
aut,6594,1993
aut,6641,1994
aut,7032,1995
aut,6803,1996
aut,7045,1997
aut,7110,1998
aut,7458,1999
aut,7617,2000
aut,7600,2001
aut,7691,2002
aut,7377,2003
aut,7864,2004
aut,7408,2005
aut,7738,2006
aut,7773,2007
aut,8262,2008
aze,3222,1990
aze,3196,1991
aze,2654,1992
aze,2548,1993
aze,2320,1994
aze,2234,1995
aze,2228,1996
aze,2183,1997
aze,2320,1998
aze,2342,1999
aze,2413,2000
aze,2441,2001
aze,2398,2002
aze,2718,2003
aze,2763,2004
aze,2891,2005
aze,3083,2006
aze,2725,2007
aze,2679,2008
bgd,75.76,1990
bgd,82.57,1991
bgd,85.4,1992
bgd,87.97,1993
bgd,94.74,1994
bgd,101.7,1995
bgd,105.7,1996
bgd,106,1997
bgd,111.8,1998
bgd,118.6,1999
bgd,120.9,2000
bgd,128.5,2001
bgd,137.5,2002
bgd,142.4,2003
bgd,151.9,2004
bgd,156.9,2005
bgd,165.1,2006
bgd,172.1,2007
bgd,179.1,2008
blr,3869,1990
blr,3781,1991
blr,3648,1992
blr,3221,1993
blr,3022,1994
blr,2395,1995
blr,2280,1996
blr,2509,1997
blr,2261,1998
blr,2552,1999
blr,2518,2000
blr,2419,2001
blr,2560,2002
blr,2580,2003
blr,3027,2004
blr,3006,2005
blr,3091,2006
blr,3092,2007
blr,3393,2008
bra,1475,1990
bra,1527,1991
bra,1550,1992
bra,1590,1993
bra,1615,1994
bra,1685,1995
bra,1754,1996
bra,1827,1997
bra,1882,1998
bra,1931,1999
