geo,electricity_use_per_person,time
alb,530.4,1971
alb,566.3,1972
alb,590.3,1973
alb,586.7,1974
alb,732.7,1975
alb,898.5,1976
alb,1054,1977
alb,1081,1978
alb,1045,1979
alb,1117,1980
alb,1095,1981
alb,1066,1982
alb,1039,1983
alb,985.2,1984
alb,767.1,1985
alb,1358,1986
alb,1102,1987
alb,947.4,1988
alb,968.5,1989
alb,498.1,1990
alb,376,1991
alb,416.6,1992
alb,492.8,1993
alb,554.3,1994
alb,612.6,1995
alb,840.8,1996
alb,643.3,1997
alb,679,1998
alb,1316,1999
alb,1343,2000
alb,1247,2001
alb,1459,2002
alb,1379,2003
alb,1692,2004
alb,1623,2005
alb,1147,2006
alb,1138,2007
alb,1510,2008
alb,1707,2009
alb,1801,2010
alb,2022,2011
dza,131.9,1971
dza,140.8,1972
dza,156.5,1973
dza,168.3,1974
dza,193.1,1975
dza,217.2,1976
dza,230.2,1977
dza,275.5,1978
dza,310.6,1979
dza,326,1980
dza,358.4,1981
dza,399.9,1982
dza,410.7,1983
dza,433.6,1984
dza,458,1985
dza,476.3,1986
dza,446.9,1987
dza,473,1988
dza,512.5,1989
dza,521.8,1990
dza,522.7,1991
dza,549.5,1992
dza,537.8,1993
dza,540.6,1994
dza,549.3,1995
dza,559.5,1996
dza,564.3,1997
dza,605.9,1998
dza,639.2,1999
dza,668.7,2000
dza,693.7,2001
dza,714.7,2002
dza,768.8,2003
dza,785.6,2004
dza,869.4,2005
dza,840.8,2006
dza,870.6,2007
dza,920.9,2008
dza,841.3,2009
dza,986.9,2010
dza,1091,2011
ago,91.91,1971
ago,101.6,1972
ago,116.7,1973
ago,142.4,1974
ago,147.5,1975
ago,64.48,1976
ago,62.81,1977
ago,61.1,1978
ago,63.79,1979
ago,66.26,1980
ago,64.04,1981
ago,65.93,1982
ago,69.14,1983
ago,57.14,1984
ago,66.64,1985
ago,64.8,1986
ago,63.49,1987
ago,62.36,1988
ago,61.09,1989
ago,60.96,1990
ago,62.61,1991
ago,61.53,1992
ago,59.8,1993
ago,58.25,1994
ago,56.75,1995
ago,59.11,1996
ago,80.6,1997
ago,85.71,1998
ago,84.45,1999
ago,88.62,2000
ago,97.32,2001
ago,101.2,2002
ago,112.6,2003
ago,102.8,2004
ago,128.4,2005
ago,170.3,2006
ago,157.3,2007
ago,204.2,2008
ago,225.1,2009
ago,246.7,2010
ago,248.5,2011
arg,870.5,1971
arg,920.4,1972
arg,956.2,1973
arg,986.1,1974
arg,1004,1975
arg,1024,1976
arg,1073,1977
arg,1084,1978
arg,1207,1979
arg,1234,1980
arg,1189,1981
arg,1201,1982
arg,1252,1983
arg,1294,1984
arg,1284,1985
arg,1326,1986
arg,1411,1987
arg,1450,1988
arg,1319,1989
arg,1304,1990
arg,1348,1991
arg,1411,1992
arg,1497,1993
arg,1528,1994
arg,1649,1995
arg,1727,1996
arg,1846,1997
arg,1965,1998
arg,2031,1999
arg,2087,2000
arg,2121,2001
arg,2017,2002
arg,2187,2003
arg,2304,2004
arg,2424,2005
arg,2164,2006
arg,2351,2007
arg,2801,2008
arg,2761,2009
arg,2907,2010
arg,2967,2011
arm,2718,1990
arm,2685,1991
arm,1959,1992
arm,1193,1993
arm,1043,1994
arm,1048,1995
arm,1218,1996
