energy_production_total,geo,time
2418,alb,1971
2961,alb,1972
3001,alb,1973
2707,alb,1974
2909,alb,1975
3078,alb,1976
3170,alb,1977
3476,alb,1978
3386,alb,1979
3428,alb,1980
2687,alb,1981
2650,alb,1982
2808,alb,1983
3011,alb,1984
2809,alb,1985
2998,alb,1986
2903,alb,1987
2891,alb,1988
2901,alb,1989
2449,alb,1990
1915,alb,1991
1398,alb,1992
1326,alb,1993
1278,alb,1994
1236,alb,1995
1325,alb,1996
1102,alb,1997
1085,alb,1998
1070,alb,1999
986,alb,2000
882.9,alb,2001
959.3,alb,2002
1046,alb,2003
1153,alb,2004
1166,alb,2005
1192,alb,2006
1055,alb,2007
1153,alb,2008
1254,alb,2009
41510,dza,1971
54740,dza,1972
56490,dza,1973
53270,dza,1974
53040,dza,1975
58790,dza,1976
62080,dza,1977
69510,dza,1978
75780,dza,1979
65740,dza,1980
67190,dza,1981
67340,dza,1982
74110,dza,1983
77040,dza,1984
80760,dza,1985
84110,dza,1986
88810,dza,1987
90970,dza,1988
94780,dza,1989
100100,dza,1990
102600,dza,1991
104200,dza,1992
104900,dza,1993
100600,dza,1994
106700,dza,1995
112700,dza,1996
121700,dza,1997
127100,dza,1998
137000,dza,1999
142200,dza,2000
136800,dza,2001
143100,dza,2002
155300,dza,2003
157900,dza,2004
166700,dza,2005
164900,dza,2006
164300,dza,2007
162000,dza,2008
152300,dza,2009
9118,ago,1971
10520,ago,1972
11680,ago,1973
12110,ago,1974
11400,ago,1975
11160,ago,1976
10710,ago,1977
10180,ago,1978
11000,ago,1979
11300,ago,1980
10300,ago,1981
10400,ago,1982
12910,ago,1983
14290,ago,1984
15740,ago,1985
18340,ago,1986
22320,ago,1987
27060,ago,1988
27190,ago,1989
28650,ago,1990
29960,ago,1991
32750,ago,1992
30540,ago,1993
32950,ago,1994
36410,ago,1995
39790,ago,1996
41560,ago,1997
42970,ago,1998
43550,ago,1999
43680,ago,2000
43460,ago,2001
51430,ago,2002
51350,ago,2003
57610,ago,2004
70910,ago,2005
79990,ago,2006
95050,ago,2007
105800,ago,2008
101000,ago,2009
30560,arg,1971
30960,arg,1972
30530,arg,1973
30880,arg,1974
30640,arg,1975
31040,arg,1976
32700,arg,1977
33920,arg,1978
36350,arg,1979
38810,arg,1980
39450,arg,1981
39980,arg,1982
41990,arg,1983
42930,arg,1984
42560,arg,1985
42870,arg,1986
43320,arg,1987
46260,arg,1988
47240,arg,1989
48420,arg,1990
50220,arg,1991
54320,arg,1992
56950,arg,1993
62400,arg,1994
66880,arg,1995
72040,arg,1996
77470,arg,1997
79680,arg,1998
80060,arg,1999
82260,arg,2000
84490,arg,2001
81340,arg,2002
84270,arg,2003
87130,arg,2004
84690,arg,2005
86190,arg,2006
82870,arg,2007
82860,arg,2008
80820,arg,2009
137.3,arm,1990
135.2,arm,1991
262.7,arm,1992
370.1,arm,1993
303.1,arm,1994
245.2,arm,1995
741.8,arm,1996
539.3,arm,1997
547.3,arm,1998
645.7,arm,1999
632,arm,2000
602.1,arm,2001
738.3,arm,2002
692.1,arm,2003
746.4,arm,2004
861.3,arm,2005
846,arm,2006
825.9,arm,2007
797.1,arm,2008
824.9,arm,2009
21310,aus,1960
22540,aus,1961
22890,aus,1962
23570,aus,1963
25360,aus,1964
28290,aus,1965
29580,aus,1966
31220,aus,1967
35270,aus,1968
38710,aus,1969
47700,aus,1970
53850,aus,1971
62430,aus,1972
67990,aus,1973
67500,aus,1974
74960,aus,1975
75250,aus,1976
82250,aus,1977
81620,aus,1978
86520,aus,1979
85410,aus,1980
97200,aus,1981
98610,aus,1982
107400,aus,1983
118400,aus,1984
128100,aus,1985
136500,aus,1986
148900,aus,1987
136700,aus,1988
144700,aus,1989
157500,aus,1990
167000,aus,1991
172100,aus,1992
174900,aus,1993
173500,aus,1994
186900,aus,1995
189800,aus,1996
201000,aus,1997
216500,aus,1998
213500,aus,1999
233600,aus,2000
253800,aus,2001
263500,aus,2002
263600,aus,2003
269300,aus,2004
280100,aus,2005
281500,aus,2006
298600,aus,2007
301000,aus,2008
310700,aus,2009
324000,aus,2010
7358,aut,1960
7122,aut,1961
7285,aut,1962
7749,aut,1963
7698,aut,1964
7995,aut,1965
8153,aut,1966
7793,aut,1967
7558,aut,1968
7362,aut,1969
7953,aut,1970
7366,aut,1971
7333,aut,1972
7919,aut,1973
7816,aut,1974
7805,aut,1975
7236,aut,1976
7668,aut,1977
7828,aut,1978
8007,aut,1979
7632,aut,1980
7414,aut,1981
7491,aut,1982
7302,aut,1983
7352,aut,1984
7562,aut,1985
7663,aut,1986
8058,aut,1987
9190,aut,1988
8619,aut,1989
8107,aut,1990
8349,aut,1991
8555,aut,1992
8765,aut,1993
8397,aut,1994
8738,aut,1995
8634,aut,1996
8706,aut,1997
8881,aut,1998
9721,aut,1999
9780,aut,2000
9775,aut,2001
9819,aut,2002
9601,aut,2003
9898,aut,2004
10060,aut,2005
10140,aut,2006
10880,aut,2007
11220,aut,2008
11400,aut,2009
11170,aut,2010
20640,aze,1990
18970,aze,1991
18150,aze,1992
16390,aze,1993
14940,aze,1994
14730,aze,1995
14390,aze,1996
14100,aze,1997
16330,aze,1998
19040,aze,1999
18960,aze,2000
19580,aze,2001
19750,aze,2002
19830,aze,2003
20050,aze,2004
27230,aze,2005
38130,aze,2006
52120,aze,2007
58630,aze,2008
64560,aze,2009
10670,bhr,1971
10080,bhr,1972
10830,bhr,1973
11460,bhr,1974
9960,bhr,1975
10330,bhr,1976
11990,bhr,1977
11710,bhr,1978
12090,bhr,1979
11990,bhr,1980
12950,bhr,1981
10610,bhr,1982
9913,bhr,1983
11130,bhr,1984
11090,bhr,1985
12610,bhr,1986
12890,bhr,1987
13160,bhr,1988
13360,bhr,1989
13440,bhr,1990
12980,bhr,1991
13480,bhr,1992
13860,bhr,1993
13590,bhr,1994
13650,bhr,1995
13920,bhr,1996
14290,bhr,1997
14730,bhr,1998
14530,bhr,1999
14860,bhr,2000
14870,bhr,2001
15270,bhr,2002
15630,bhr,2003
15830,bhr,2004
16130,bhr,2005
16500,bhr,2006
17020,bhr,2007
