forest_area_sq_km,geo,time
13500,afg,1990
13500,afg,2000
13500,afg,2005
13500,afg,2010
7890,alb,1990
7690,alb,2000
7820,alb,2005
7760,alb,2010
16670,dza,1990
15790,dza,2000
15360,dza,2005
14920,dza,2010
180,asm,1990
180,asm,2000
180,asm,2005
180,asm,2010
160,and,1990
160,and,2000
160,and,2005
160,and,2010
609800,ago,1990
597300,ago,2000
591000,ago,2005
584800,ago,2010
100,atg,1990
100,atg,2000
100,atg,2005
100,atg,2010
347900,arg,1990
318600,arg,2000
306000,arg,2005
294000,arg,2010
3470,arm,1990
3040,arm,2000
2830,arm,2005
2620,arm,2010
4,abw,1990
4,abw,2000
4,abw,2005
1545000,aus,1990
1549000,aus,2000
1539000,aus,2005
1493000,aus,2010
37760,aut,1990
38380,aut,2000
38620,aut,2005
38870,aut,2010
9360,aze,1990
9360,aze,2000
9360,aze,2005
9360,aze,2010
5150,bhs,1990
5150,bhs,2000
5150,bhs,2005
5150,bhs,2010
2,bhr,1990
4.6,bhr,2000
4.8,bhr,2005
10,bhr,2010
14940,bgd,1990
14680,bgd,2000
14550,bgd,2005
14420,bgd,2010
80,brb,1990
80,brb,2000
80,brb,2005
80,brb,2010
77800,blr,1990
82730,blr,2000
84360,blr,2005
86300,blr,2010
6770,bel,1990
6670,bel,2000
6730,bel,2005
6780,bel,2010
15860,blz,1990
14890,blz,2000
14410,blz,2005
13930,blz,2010
57610,ben,1990
50610,ben,2000
48110,ben,2005
45610,ben,2010
10,bmu,1990
10,bmu,2000
10,bmu,2005
10,bmu,2010
30350,btn,1990
31410,btn,2000
31950,btn,2005
32490,btn,2010
628000,bol,1990
600900,bol,2000
587300,bol,2005
572000,bol,2010
22100,bih,1990
21850,bih,2000
21850,bih,2005
21850,bih,2010
137200,bwa,1990
125400,bwa,2000
119400,bwa,2005
113500,bwa,2010
5748000,bra,1990
5459000,bra,2000
5305000,bra,2005
5195000,bra,2010
4130,brn,1990
3970,brn,2000
3890,brn,2005
3800,brn,2010
33270,bgr,1990
33750,bgr,2000
36510,bgr,2005
39270,bgr,2010
68470,bfa,1990
62480,bfa,2000
59490,bfa,2005
56490,bfa,2010
2890,bdi,1990
1980,bdi,2000
1810,bdi,2005
1720,bdi,2010
129400,khm,1990
115500,khm,2000
107300,khm,2005
100900,khm,2010
243200,cmr,1990
221200,cmr,2000
210200,cmr,2005
199200,cmr,2010
3101000,can,1990
3101000,can,2000
3101000,can,2005
3101000,can,2010
580,cpv,1990
820,cpv,2000
840,cpv,2005
850,cpv,2010
130,cym,1990
130,cym,2000
130,cym,2005
130,cym,2010
232000,caf,1990
229000,caf,2000
227600,caf,2005
226000,caf,2010
131100,tcd,1990
123200,tcd,2000
119200,tcd,2005
115200,tcd,2010
8,chanisl,1990
8,chanisl,2000
8,chanisl,2005
152600,chl,1990
158300,chl,2000
160400,chl,2005
162300,chl,2010
1571000,chn,1990
1770000,chn,2000
1930000,chn,2005
2069000,chn,2010
625200,col,1990
615100,col,2000
610000,col,2005
605000,col,2010
120,com,1990
80,com,2000
50,com,2005
30,com,2010
1604000,cod,1990
1572000,cod,2000
1557000,cod,2005
1541000,cod,2010
227300,cog,1990
225600,cog,2000
224700,cog,2005
224100,cog,2010
25640,cri,1990
23760,cri,2000
24910,cri,2005
26050,cri,2010
102200,civ,1990
103300,civ,2000
104000,civ,2005
104000,civ,2010
18500,hrv,1990
18850,hrv,2000
19030,hrv,2005
19200,hrv,2010
20580,cub,1990
24350,cub,2000
26970,cub,2005
28700,cub,2010
1610,cyp,1990
1720,cyp,2000
1730,cyp,2005
1730,cyp,2010
26290,cze,1990
26370,cze,2000
26470,cze,2005
26570,cze,2010
4450,dnk,1990
4860,dnk,2000
5340,dnk,2005
5440,dnk,2010
60,dji,1990
60,dji,2000
60,dji,2005
60,dji,2010
500,dma,1990
470,dma,2000
460,dma,2005
450,dma,2010
19720,dom,1990
19720,dom,2000
19720,dom,2005
19720,dom,2010
138200,ecu,1990
118400,ecu,2000
108500,ecu,2005
98650,ecu,2010
440,egy,1990
590,egy,2000
670,egy,2005
700,egy,2010
3770,slv,1990
3320,slv,2000
3090,slv,2005
2870,slv,2010
18600,gnq,1990
17430,gnq,2000
16850,gnq,2005
16260,gnq,2010
16210,eri,1990
15760,eri,2000
15540,eri,2005
15320,eri,2010
20900,est,1990
22430,est,2000
22520,est,2005
22170,est,2010
151100,eth,1990
137000,eth,2000
130000,eth,2005
123000,eth,2010
1,fro,1990
1,fro,2000
1,fro,2005
9530,fji,1990
9800,fji,2000
9970,fji,2005
10140,fji,2010
218900,fin,1990
224600,fin,2000
221600,fin,2005
221600,fin,2010
145400,fra,1990
153500,fra,2000
157100,fra,2005
159500,fra,2010
550,pyf,1990
1050,pyf,2000
1300,pyf,2005
1550,pyf,2010
220000,gab,1990
220000,gab,2000
220000,gab,2005
220000,gab,2010
4420,gmb,1990
4610,gmb,2000
4710,gmb,2005
4800,gmb,2010
27790,geo,1990
27680,geo,2000
27550,geo,2005
27420,geo,2010
107400,deu,1990
110800,deu,2000
110800,deu,2005
110800,deu,2010
74480,gha,1990
60940,gha,2000
55170,gha,2005
49400,gha,2010
0,gib,1990
0,gib,2000
0,gib,2005
0,gib,2010
32990,grc,1990
36010,grc,2000
37520,grc,2005
39030,grc,2010
2,grl,1990
2,grl,2000
2,grl,2005
170,grd,1990
170,grd,2000
170,grd,2005
170,grd,2010
260,gum,1990
260,gum,2000
260,gum,2005
260,gum,2010
47480,gtm,1990
42080,gtm,2000
39380,gtm,2005
36570,gtm,2010
72640,gin,1990
69040,gin,2000
67240,gin,2005
65440,gin,2010
22160,gnb,1990
21200,gnb,2000
20720,gnb,2005
20220,gnb,2010
152000,guy,1990
152000,guy,2000
152000,guy,2005
152000,guy,2010
1160,hti,1990
1090,hti,2000
1050,hti,2005
1010,hti,2010
81360,hnd,1990
63920,hnd,2000
57920,hnd,2005
51920,hnd,2010
18010,hun,1990
19070,hun,2000
19830,hun,2005
20290,hun,2010
90,isl,1990
180,isl,2000
250,isl,2005
300,isl,2010
639400,ind,1990
653900,ind,2000
