gdppercapita_us_inflation_adjusted,geo,time
1061,alb,1980
1100,alb,1981
1111,alb,1982
1101,alb,1983
1065,alb,1984
1060,alb,1985
1092,alb,1986
1054,alb,1987
1014,alb,1988
1092,alb,1989
977.8,alb,1990
688,alb,1991
643.3,alb,1992
714.2,alb,1993
784.6,alb,1994
899.8,alb,1995
990.7,alb,1996
895.6,alb,1997
1014,alb,1998
1118,alb,1999
1200,alb,2000
1282,alb,2001
1314,alb,2002
1381,alb,2003
1454,alb,2004
1526,alb,2005
1594,alb,2006
1682,alb,2007
1804,alb,2008
1857,alb,2009
1915,alb,2010
1966,alb,2011
1280,dza,1960
1085,dza,1961
855.9,dza,1962
1128,dza,1963
1170,dza,1964
1215,dza,1965
1128,dza,1966
1201,dza,1967
1292,dza,1968
1359,dza,1969
1436,dza,1970
1236,dza,1971
1528,dza,1972
1538,dza,1973
1603,dza,1974
1632,dza,1975
1714,dza,1976
1748,dza,1977
1848,dza,1978
1923,dza,1979
1876,dza,1980
1870,dza,1981
1925,dza,1982
1963,dza,1983
2008,dza,1984
2020,dza,1985
1970,dza,1986
1902,dza,1987
1833,dza,1988
1865,dza,1989
1833,dza,1990
1767,dza,1991
1756,dza,1992
1680,dza,1993
1630,dza,1994
1660,dza,1995
1698,dza,1996
1690,dza,1997
1751,dza,1998
1781,dza,1999
1794,dza,2000
1814,dza,2001
1872,dza,2002
1972,dza,2003
2043,dza,2004
2115,dza,2005
2125,dza,2006
2155,dza,2007
2174,dza,2008
2193,dza,2009
2232,dza,2010
2255,dza,2011
18260,and,1970
18140,and,1971
18650,and,1972
19140,and,1973
19300,and,1974
18610,and,1975
18510,and,1976
18390,and,1977
18040,and,1978
17380,and,1979
17010,and,1980
16170,and,1981
15510,and,1982
14980,and,1983
14550,and,1984
14350,and,1985
14440,and,1986
14980,and,1987
15520,and,1988
15950,and,1989
16070,and,1990
15810,and,1991
15190,and,1992
14320,and,1993
14090,and,1994
14130,and,1995
14660,and,1996
16070,and,1997
16760,and,1998
17510,and,1999
17540,and,2000
19090,and,2001
19430,and,2002
19830,and,2003
20250,and,2004
20740,and,2005
21600,and,2006
21500,and,2007
21940,and,2008
362.5,ago,1985
362.4,ago,1986
381.2,ago,1987
392.8,ago,1988
384.4,ago,1989
372.8,ago,1990
357.3,ago,1991
322.1,ago,1992
234.7,ago,1993
235.2,ago,1994
251.9,ago,1995
272.3,ago,1996
286,ago,1997
297.4,ago,1998
298.6,ago,1999
298.4,ago,2000
297.9,ago,2001
329.6,ago,2002
328.8,ago,2003
353.2,ago,2004
404.3,ago,2005
473.1,ago,2006
563,ago,2007
622.6,ago,2008
619.8,ago,2009
623.2,ago,2010
630,ago,2011
3816,atg,1977
3963,atg,1978
4254,atg,1979
4639,atg,1980
4869,atg,1981
4937,atg,1982
5245,atg,1983
5851,atg,1984
6423,atg,1985
7360,atg,1986
8098,atg,1987
8651,atg,1988
9221,atg,1989
9454,atg,1990
9562,atg,1991
9484,atg,1992
9776,atg,1993
10140,atg,1994
9466,atg,1995
9845,atg,1996
10060,atg,1997
10240,atg,1998
9863,atg,1999
10140,atg,2000
9640,atg,2001
9753,atg,2002
10240,atg,2003
10600,atg,2004
11100,atg,2005
12450,atg,2006
13500,atg,2007
13350,atg,2008
11650,atg,2009
10610,atg,2010
9978,atg,2011
5252,arg,1960
5448,arg,1961
5317,arg,1962
4956,arg,1963
5375,arg,1964
5856,arg,1965
5733,arg,1966
5833,arg,1967
6028,arg,1968
6515,arg,1969
6611,arg,1970
6873,arg,1971
6868,arg,1972
6940,arg,1973
7201,arg,1974
7082,arg,1975
6830,arg,1976
7194,arg,1977
6768,arg,1978
7350,arg,1979
7541,arg,1980
7004,arg,1981
6556,arg,1982
6707,arg,1983
6752,arg,1984
6146,arg,1985
6532,arg,1986
6623,arg,1987
6361,arg,1988
5800,arg,1989
5582,arg,1990
6203,arg,1991
6852,arg,1992
7162,arg,1993
7484,arg,1994
7180,arg,1995
7484,arg,1996
7994,arg,1997
8205,arg,1998
7840,arg,1999
7696,arg,2000
7283,arg,2001
6428,arg,2002
6933,arg,2003
7492,arg,2004
8108,arg,2005
8717,arg,2006
9389,arg,2007
9936,arg,2008
9933,arg,2009
10750,arg,2010
11600,arg,2011
795.4,arm,1990
708.8,arm,1991
420,arm,1992
392.1,arm,1993
423.3,arm,1994
461.9,arm,1995
496.9,arm,1996
519.5,arm,1997
562,arm,1998
584,arm,1999
621.4,arm,2000
683.1,arm,2001
774.4,arm,2002
883.2,arm,2003
975,arm,2004
1109,arm,2005
1254,arm,2006
1424,arm,2007
1520,arm,2008
1302,arm,2009
1327,arm,2010
1384,arm,2011
13000,abw,1987
15390,abw,1988
16790,abw,1989
18470,abw,1990
18470,abw,1991
18180,abw,1992
17790,abw,1993
17830,abw,1994
18950,abw,1995
18550,abw,1996
19500,abw,1997
20410,abw,1998
20270,abw,1999
20590,abw,2000
19980,abw,2001
19010,abw,2002
18850,abw,2003
9408,aus,1960
9452,aus,1961
9351,aus,1962
9749,aus,1963
10230,aus,1964
10630,aus,1965
10640,aus,1966
11170,aus,1967
11530,aus,1968
12090,aus,1969
12710,aus,1970
12780,aus,1971
13030,aus,1972
13180,aus,1973
13380,aus,1974
13380,aus,1975
13590,aus,1976
13920,aus,1977
13880,aus,1978
14300,aus,1979
14560,aus,1980
14810,aus,1981
15040,aus,1982
14510,aus,1983
15030,aus,1984
15570,aus,1985
16020,aus,1986
16200,aus,1987
16830,aus,1988
17200,aus,1989
17550,aus,1990
17270,aus,1991
17140,aus,1992
17670,aus,1993
18190,aus,1994
18690,aus,1995
19180,aus,1996
19710,aus,1997
20390,aus,1998
21150,aus,1999
21710,aus,2000
21820,aus,2001
22400,aus,2002
22830,aus,2003
23500,aus,2004
23930,aus,2005
24300,aus,2006
24770,aus,2007
25190,aus,2008
25010,aus,2009
25190,aus,2010
25310,aus,2011
7434,aut,1960
7803,aut,1961
7961,aut,1962
8237,aut,1963
8683,aut,1964
8927,aut,1965
9365,aut,1966
9575,aut,1967
9952,aut,1968
10540,aut,1969
11090,aut,1970
11600,aut,1971
12250,aut,1972
12780,aut,1973
13260,aut,1974
13240,aut,1975
13880,aut,1976
14580,aut,1977
14560,aut,1978
15360,aut,1979
15630,aut,1980
15570,aut,1981
15870,aut,1982
16370,aut,1983
16380,aut,1984
16780,aut,1985
17150,aut,1986
17370,aut,1987
17920,aut,1988
18530,aut,1989
19190,aut,1990
19660,aut,1991
19850,aut,1992
19790,aut,1993
20190,aut,1994
20690,aut,1995
21170,aut,1996
21640,aut,1997
22430,aut,1998
23180,aut,1999
23970,aut,2000
24090,aut,2001
24380,aut,2002
24470,aut,2003
24950,aut,2004
25370,aut,2005
26170,aut,2006
27040,aut,2007
27310,aut,2008
26180,aut,2009
26640,aut,2010
27270,aut,2011
1251,aze,1990
1223,aze,1991
932.3,aze,1992
706.1,aze,1993
559.4,aze,1994
487.7,aze,1995
489.1,aze,1996
512.5,aze,1997
558.4,aze,1998
594.5,aze,1999
655.1,aze,2000
714.4,aze,2001
784.2,aze,2002
865.5,aze,2003
945.5,aze,2004
1183,aze,2005
1574,aze,2006
1946,aze,2007
2111,aze,2008
2260,aze,2009
2345,aze,2010
2339,aze,2011
11930,bhs,1960
12560,bhs,1961
13190,bhs,1962
13860,bhs,1963
14580,bhs,1964
15370,bhs,1965
16050,bhs,1966
16870,bhs,1967
17590,bhs,1968
18520,bhs,1969
16940,bhs,1970
16770,bhs,1971
15830,bhs,1972
16680,bhs,1973
13620,bhs,1974
11370,bhs,1975
11710,bhs,1976
12510,bhs,1977
13970,bhs,1978
17240,bhs,1979
17950,bhs,1980
15940,bhs,1981
16630,bhs,1982
16860,bhs,1983
18840,bhs,1984
19360,bhs,1985
19340,bhs,1986
19570,bhs,1987
19690,bhs,1988
20650,bhs,1989
19970,bhs,1990
18790,bhs,1991
17740,bhs,1992
17470,bhs,1993
17710,bhs,1994
18200,bhs,1995
18700,bhs,1996
18850,bhs,1997
19510,bhs,1998
20670,bhs,1999
21260,bhs,2000
21530,bhs,2001
21810,bhs,2002
21230,bhs,2003
21110,bhs,2004
21510,bhs,2005
21730,bhs,2006
21720,bhs,2007
20910,bhs,2008
19620,bhs,2009
19400,bhs,2010
19470,bhs,2011
11130,bhr,1980
10140,bhr,1981
9085,bhr,1982
9409,bhr,1983
9620,bhr,1984
8896,bhr,1985
8711,bhr,1986
9287,bhr,1987
9592,bhr,1988
9309,bhr,1989
9428,bhr,1990
10200,bhr,1991
10610,bhr,1992
11690,bhr,1993
11390,bhr,1994
11540,bhr,1995
11690,bhr,1996
11680,bhr,1997
11870,bhr,1998
12080,bhr,1999
12490,bhr,2000
12980,bhr,2001
13670,bhr,2002
14540,bhr,2003
14790,bhr,2004
14780,bhr,2005
14080,bhr,2006
13370,bhr,2007
12510,bhr,2008
11600,bhr,2009
11240,bhr,2010
254.8,bgd,1960
262.8,bgd,1961
269.5,bgd,1962
260.9,bgd,1963
281.3,bgd,1964
277.3,bgd,1965
275.4,bgd,1966
261.4,bgd,1967
277.2,bgd,1968
273,bgd,1969
282.3,bgd,1970
263,bgd,1971
224.2,bgd,1972
230.1,bgd,1973
249.9,bgd,1974
236.2,bgd,1975
244.5,bgd,1976
244.7,bgd,1977
254.6,bgd,1978
259.1,bgd,1979
253.8,bgd,1980
256.3,bgd,1981
255.3,bgd,1982
258.6,bgd,1983
264.8,bgd,1984
266.1,bgd,1985
270,bgd,1986
272.5,bgd,1987
271.1,bgd,1988
271.1,bgd,1989
280.2,bgd,1990
282.8,bgd,1991
290.4,bgd,1992
297.2,bgd,1993
302.8,bgd,1994
311.2,bgd,1995
318.9,bgd,1996
329.4,bgd,1997
339.9,bgd,1998
349.7,bgd,1999
363.6,bgd,2000
376,bgd,2001
385.8,bgd,2002
399.4,bgd,2003
418,bgd,2004
436.7,bgd,2005
459.9,bgd,2006
484,bgd,2007
508.6,bgd,2008
532.1,bgd,2009
558.1,bgd,2010
588.4,bgd,2011
3397,brb,1960
3647,brb,1961
3961,brb,1962
3744,brb,1963
3915,brb,1964
4348,brb,1965
4510,brb,1966
4978,brb,1967
5311,brb,1968
5694,brb,1969
6211,brb,1970
6420,brb,1971
6461,brb,1972
6505,brb,1973
6165,brb,1974
6380,brb,1975
6352,brb,1976
6614,brb,1977
7006,brb,1978
7528,brb,1979
7862,brb,1980
7582,brb,1981
7171,brb,1982
7149,brb,1983
7354,brb,1984
7357,brb,1985
8016,brb,1986
8064,brb,1987
8534,brb,1988
8930,brb,1989
8471,brb,1990
