gnipercapita_constant_2000_us,geo,time
675.4,alb,1991
623.4,alb,1992
707.3,alb,1993
785.2,alb,1994
913.9,alb,1995
1013,alb,1996
913.9,alb,1997
1035,alb,1998
1137,alb,1999
1234,alb,2000
1328,alb,2001
1353,alb,2002
1424,alb,2003
1492,alb,2004
1557,alb,2005
1643,alb,2006
1738,alb,2007
1833,alb,2008
1834,alb,2009
1893,alb,2010
1952,alb,2011
1149,dza,1961
905.6,dza,1962
1135,dza,1963
1161,dza,1964
1186,dza,1965
1093,dza,1966
1174,dza,1967
1270,dza,1968
1349,dza,1969
1404,dza,1970
1219,dza,1971
1512,dza,1972
1517,dza,1973
1583,dza,1974
1604,dza,1975
1675,dza,1976
1708,dza,1977
1800,dza,1978
1853,dza,1979
1809,dza,1980
1800,dza,1981
1854,dza,1982
1899,dza,1983
1941,dza,1984
1953,dza,1985
1918,dza,1986
1853,dza,1987
1772,dza,1988
1803,dza,1989
1771,dza,1990
1684,dza,1991
1682,dza,1992
1624,dza,1993
1569,dza,1994
1583,dza,1995
1615,dza,1996
1617,dza,1997
1685,dza,1998
1707,dza,1999
1706,dza,2000
1755,dza,2001
1799,dza,2002
1891,dza,2003
1954,dza,2004
1999,dza,2005
2026,dza,2006
2110,dza,2007
17540,and,2000
534.9,ago,2000
9761,atg,2000
5594,arg,1961
5450,arg,1962
5085,arg,1963
5517,arg,1964
6012,arg,1965
5971,arg,1966
5855,arg,1967
5938,arg,1968
6470,arg,1969
6362,arg,1970
6944,arg,1971
6762,arg,1972
6965,arg,1973
7226,arg,1974
7179,arg,1975
6833,arg,1976
7138,arg,1977
6726,arg,1978
7284,arg,1979
7475,arg,1980
6840,arg,1981
6160,arg,1982
6322,arg,1983
6399,arg,1984
5810,arg,1985
6238,arg,1986
6319,arg,1987
6083,arg,1988
5303,arg,1989
5338,arg,1990
6014,arg,1991
6725,arg,1992
7070,arg,1993
7381,arg,1994
7052,arg,1995
7334,arg,1996
7826,arg,1997
8003,arg,1998
7634,arg,1999
7491,arg,2000
7074,arg,2001
5919,arg,2002
6484,arg,2003
7039,arg,2004
7826,arg,2005
8500,arg,2006
9194,arg,2007
9709,arg,2008
9615,arg,2009
10440,arg,2010
11310,arg,2011
761.5,arm,1990
707.7,arm,1991
337.4,arm,1992
354.5,arm,1993
423,arm,1994
461.3,arm,1995
510.7,arm,1996
551,arm,1997
580,arm,1998
601.5,arm,1999
638.6,arm,2000
704.1,arm,2001
803.6,arm,2002
913.6,arm,2003
1005,arm,2004
1140,arm,2005
1297,arm,2006
1468,arm,2007
1582,arm,2008
1327,arm,2009
1375,arm,2010
1457,arm,2011
10460,aus,1965
10460,aus,1966
10980,aus,1967
11310,aus,1968
11850,aus,1969
12450,aus,1970
12540,aus,1971
12810,aus,1972
12940,aus,1973
13170,aus,1974
13180,aus,1975
13330,aus,1976
13640,aus,1977
13610,aus,1978
14000,aus,1979
14220,aus,1980
14510,aus,1981
14730,aus,1982
14250,aus,1983
14640,aus,1984
15110,aus,1985
15520,aus,1986
15660,aus,1987
16290,aus,1988
16570,aus,1989
16840,aus,1990
16530,aus,1991
16540,aus,1992
17130,aus,1993
17620,aus,1994
17960,aus,1995
18460,aus,1996
19030,aus,1997
19760,aus,1998
20570,aus,1999
21170,aus,2000
21340,aus,2001
21910,aus,2002
22310,aus,2003
22960,aus,2004
23130,aus,2005
23440,aus,2006
23720,aus,2007
24260,aus,2008
24330,aus,2009
24360,aus,2010
7748,aut,1961
7905,aut,1962
8179,aut,1963
8622,aut,1964
8865,aut,1965
9301,aut,1966
9499,aut,1967
9857,aut,1968
10450,aut,1969
11020,aut,1970
11540,aut,1971
12170,aut,1972
12680,aut,1973
13180,aut,1974
13160,aut,1975
13770,aut,1976
14440,aut,1977
14420,aut,1978
15240,aut,1979
15500,aut,1980
15410,aut,1981
15720,aut,1982
16240,aut,1983
16240,aut,1984
16630,aut,1985
16950,aut,1986
17170,aut,1987
17760,aut,1988
18380,aut,1989
19050,aut,1990
19410,aut,1991
19660,aut,1992
19610,aut,1993
19980,aut,1994
20360,aut,1995
21040,aut,1996
21390,aut,1997
22130,aut,1998
22770,aut,1999
23570,aut,2000
23580,aut,2001
24070,aut,2002
24230,aut,2003
24760,aut,2004
25120,aut,2005
25890,aut,2006
26710,aut,2007
27240,aut,2008
26000,aut,2009
26550,aut,2010
27330,aut,2011
558.6,aze,1994
485.4,aze,1995
480.2,aze,1996
511,aze,1997
556.6,aze,1998
588.8,aze,1999
619.7,aze,2000
673.8,aze,2001
736.4,aze,2002
812.1,aze,2003
863.6,aze,2004
995.3,aze,2005
1281,aze,2006
1501,aze,2007
1744,aze,2008
2039,aze,2009
2169,aze,2010
1970,aze,2011
19870,bhs,1989
19060,bhs,1990
17970,bhs,1991
17350,bhs,1992
16830,bhs,1993
17050,bhs,1994
20370,bhs,1995
22390,bhs,1996
18200,bhs,1997
19390,bhs,1998
20310,bhs,1999
20890,bhs,2000
21150,bhs,2001
21320,bhs,2002
20870,bhs,2003
20810,bhs,2004
21100,bhs,2005
21360,bhs,2006
21200,bhs,2007
20700,bhs,2008
19430,bhs,2009
18570,bhs,2010
12140,bhr,2000
230.8,bgd,1973
250.2,bgd,1974
236.2,bgd,1975
244.3,bgd,1976
243.8,bgd,1977
253.9,bgd,1978
258.7,bgd,1979
254.2,bgd,1980
260.7,bgd,1981
259.9,bgd,1982
266.3,bgd,1983
