geo,hydro_power_generation_per_person,time
alb,0.0275,1971
alb,0.03452,1972
alb,0.04223,1973
alb,0.04761,1974
alb,0.0573,1975
alb,0.06657,1976
alb,0.07542,1977
alb,0.08054,1978
alb,0.08873,1979
alb,0.09496,1980
alb,0.09624,1981
alb,0.09674,1982
alb,0.09717,1983
alb,0.08146,1984
alb,0.06193,1985
alb,0.1151,1986
alb,0.09244,1987
alb,0.0791,1988
alb,0.08129,1989
alb,0.07444,1990
alb,0.0919,1991
alb,0.08491,1992
alb,0.08836,1993
alb,0.102,1994
alb,0.1151,1995
alb,0.1582,1996
alb,0.1398,1997
alb,0.1374,1998
alb,0.1479,1999
alb,0.1286,2000
alb,0.09933,2001
alb,0.09773,2002
alb,0.1352,2003
alb,0.1504,2004
alb,0.147,2005
alb,0.1479,2006
alb,0.07563,2007
alb,0.1026,2008
alb,0.1402,2009
alb,0.2034,2010
dza,0.002,1971
dza,0.00292,1972
dza,0.0043,1973
dza,0.00275,1974
dza,0.00176,1975
dza,0.00202,1976
dza,0.00136,1977
dza,0.00122,1978
dza,0.00137,1979
dza,0.00118,1980
dza,0.00162,1981
dza,0.00205,1982
dza,0.00097,1983
dza,0.00181,1984
dza,0.00251,1985
dza,0.00094,1986
dza,0.00183,1987
dza,0.00065,1988
dza,0.00079,1989
dza,0.00046,1990
dza,0.00097,1991
dza,0.00064,1992
dza,0.00112,1993
dza,0.00051,1994
dza,0.00059,1995
dza,0.0004,1996
dza,0.00022,1997
dza,0.00062,1998
dza,0.00058,1999
dza,0.00015,2000
dza,0.00019,2001
dza,0.00016,2002
dza,0.00071,2003
dza,0.00067,2004
dza,0.00145,2005
dza,0.00056,2006
dza,0.00057,2007
dza,0.00071,2008
dza,0.00075,2009
dza,0.00042,2010
ago,0.0086,1971
ago,0.00946,1972
ago,0.01107,1973
ago,0.01139,1974
ago,0.01231,1975
ago,0.00541,1976
ago,0.00526,1977
ago,0.00632,1978
ago,0.00645,1979
ago,0.0067,1980
ago,0.00647,1981
ago,0.00662,1982
ago,0.00585,1983
ago,0.00588,1984
ago,0.00665,1985
ago,0.00647,1986
ago,0.0063,1987
ago,0.00615,1988
ago,0.00607,1989
ago,0.00603,1990
ago,0.00623,1991
ago,0.00656,1992
ago,0.00673,1993
ago,0.00655,1994
ago,0.00639,1995
ago,0.00639,1996
ago,0.00588,1997
ago,0.00694,1998
ago,0.00569,1999
ago,0.00563,2000
ago,0.00608,2001
ago,0.0066,2002
ago,0.00692,2003
ago,0.00943,2004
ago,0.01157,2005
ago,0.01347,2006
ago,0.01225,2007
ago,0.01494,2008
ago,0.01434,2009
ago,0.01593,2010
arg,0.00545,1971
arg,0.00522,1972
arg,0.01021,1973
arg,0.01685,1974
arg,0.01715,1975
arg,0.01627,1976
arg,0.01843,1977
arg,0.02441,1978
arg,0.03308,1979
arg,0.04629,1980
arg,0.04421,1981
arg,0.05216,1982
arg,0.05378,1983
arg,0.05717,1984
arg,0.05848,1985
arg,0.05863,1986
arg,0.06006,1987
arg,0.04074,1988
arg,0.03463,1989
arg,0.04709,1990
arg,0.04215,1991
arg,0.04969,1992
arg,0.06039,1993
arg,0.06835,1994
arg,0.06619,1995
arg,0.05583,1996
arg,0.06745,1997
arg,0.0629,1998
arg,0.05034,1999
arg,0.06699,2000
arg,0.08534,2001
arg,0.08186,2002
arg,0.07651,2003
arg,0.06827,2004
arg,0.07559,2005
arg,0.08362,2006
arg,0.06633,2007
arg,0.06586,2008
arg,0.07269,2009
arg,0.07146,2010
arm,0.03772,1990
arm,0.03785,1991
arm,0.07587,1992
arm,0.1095,1993
arm,0.09182,1994
arm,0.05119,1995
arm,0.04261,1996
arm,0.03813,1997
arm,0.04251,1998
arm,0.03339,1999
arm,0.03525,2000
arm,0.02715,2001
arm,0.04657,2002
arm,0.05568,2003
arm,0.05609,2004
arm,0.04972,2005
arm,0.05112,2006
arm,0.05183,2007
arm,0.05018,2008
arm,0.05627,2009
arm,0.07108,2010
aus,0.03342,1960
aus,0.03786,1961
aus,0.03952,1962
aus,0.05204,1963
aus,0.05288,1964
aus,0.06277,1965
aus,0.05228,1966
aus,0.05511,1967
aus,0.05372,1968
aus,0.05779,1969
aus,0.06004,1970
aus,0.07667,1971
aus,0.07518,1972
aus,0.07283,1973
aus,0.08291,1974
aus,0.0909,1975
aus,0.09208,1976
aus,0.07945,1977
aus,0.08301,1978
aus,0.09091,1979
aus,0.07565,1980
aus,0.08122,1981
aus,0.07737,1982
aus,0.06803,1983
aus,0.06675,1984
aus,0.07429,1985
aus,0.07761,1986
aus,0.07159,1987
aus,0.07408,1988
aus,0.07375,1989
aus,0.07116,1990
aus,0.07854,1991
aus,0.07529,1992
aus,0.08022,1993
aus,0.07847,1994
aus,0.07539,1995
aus,0.07232,1996
aus,0.07664,1997
aus,0.0706,1998
aus,0.07353,1999
aus,0.0734,2000
aus,0.07348,2001
aus,0.06964,2002
aus,0.0706,2003
aus,0.06863,2004
aus,0.0643,2005
aus,0.06508,2006
aus,0.05813,2007
aus,0.0476,2008
aus,0.04313,2009
aus,0.04815,2010
aus,0.05637,2011
aut,0.1387,1960
aut,0.136,1961
aut,0.1398,1962
aut,0.1363,1963
aut,0.1514,1964
aut,0.1857,1965
aut,0.2004,1966
aut,0.2033,1967
aut,0.2074,1968
aut,0.1887,1969
aut,0.2389,1970
aut,0.186,1971
aut,0.1916,1972
aut,0.2135,1973
aut,0.2521,1974
aut,0.2663,1975
aut,0.2271,1976
aut,0.2782,1977
aut,0.2784,1978
aut,0.314,1979
aut,0.3272,1980
aut,0.3516,1981
aut,0.3522,1982
aut,0.3488,1983
aut,0.3287,1984
aut,0.3519,1985
aut,0.3534,1986
aut,0.4084,1987
aut,0.4048,1988
aut,0.3975,1989
aut,0.3532,1990
aut,0.3502,1991
aut,0.3852,1992
aut,0.4026,1993
aut,0.3889,1994
aut,0.4016,1995
aut,0.3696,1996
aut,0.3894,1997
aut,0.4006,1998
aut,0.4383,1999
aut,0.4494,2000
aut,0.4327,2001
aut,0.4279,2002
aut,0.3511,2003
aut,0.3862,2004
aut,0.3831,2005
aut,0.3725,2006
aut,0.3839,2007
aut,0.3953,2008
aut,0.4202,2009
aut,0.3934,2010
aut,0.3446,2011
aze,0.00835,1990
aze,0.02063,1991
aze,0.02017,1992
aze,0.02729,1993
aze,0.0205,1994
aze,0.01723,1995
aze,0.01686,1996
aze,0.0186,1997
aze,0.02103,1998
aze,0.01611,1999
aze,0.01626,2000
aze,0.01366,2001
aze,0.02098,2002
aze,0.02534,2003
aze,0.02794,2004
aze,0.03013,2005
aze,0.02488,2006
aze,0.02302,2007
aze,0.02146,2008
aze,0.0219,2009
aze,0.03225,2010
bgd,0.00022,1971
bgd,0.00022,1972
bgd,0.00041,1973
bgd,0.0003,1974
bgd,0.00053,1975
bgd,0.00059,1976
bgd,0.00051,1977
bgd,0.00057,1978
bgd,0.00064,1979
bgd,0.00062,1980
bgd,0.00065,1981
bgd,0.00053,1982
bgd,0.00065,1983
bgd,0.00086,1984
bgd,0.00069,1985
bgd,0.00041,1986
bgd,0.00046,1987
bgd,0.00058,1988
bgd,0.00077,1989
bgd,0.00072,1990
bgd,0.00067,1991
bgd,0.00062,1992
bgd,0.00046,1993
bgd,0.00063,1994
bgd,0.00027,1995
bgd,0.00053,1996
bgd,0.00051,1997
bgd,0.0006,1998
bgd,0.00056,1999
bgd,0.00063,2000
bgd,0.00065,2001
bgd,0.00068,2002
bgd,0.00071,2003
bgd,0.00076,2004
bgd,0.00079,2005
bgd,0.00084,2006
bgd,0.00083,2007
bgd,0.00087,2008
bgd,0.00091,2009
bgd,0.00096,2010
blr,0.00017,1990
blr,0.00015,1991
blr,0.00014,1992
blr,0.00016,1993
blr,0.00016,1994
blr,0.00017,1995
blr,0.00013,1996
blr,0.00018,1997
blr,0.00024,1998
blr,0.00016,1999
blr,0.00023,2000
blr,0.00026,2001
blr,0.00025,2002
blr,0.00024,2003
blr,0.00029,2004
blr,0.00032,2005
blr,0.00031,2006
blr,0.00031,2007
blr,0.00035,2008
blr,0.00039,2009
blr,0.0004,2010
bel,0.00162,1960
bel,0.00176,1961
bel,0.00151,1962
bel,0.00133,1963
bel,0.00105,1964
bel,0.00248,1965
bel,0.00271,1966
bel,0.00215,1967
bel,0.0022,1968
bel,0.00206,1969
bel,0.0022,1970
bel,0.00119,1971
bel,0.0016,1972
bel,0.00151,1973
bel,0.00211,1974
bel,0.00161,1975
bel,0.00096,1976
bel,0.00196,1977
bel,0.00195,1978
bel,0.00204,1979
bel,0.00243,1980
bel,0.00333,1981
bel,0.00291,1982
bel,0.00294,1983
bel,0.00307,1984
bel,0.00251,1985
bel,0.00299,1986
bel,0.00374,1987
bel,0.00312,1988
bel,0.00264,1989
bel,0.0023,1990
bel,0.00197,1991
bel,0.00293,1992
bel,0.00218,1993
bel,0.00296,1994
bel,0.00288,1995
bel,0.00203,1996
bel,0.00259,1997
bel,0.0033,1998
bel,0.00289,1999
bel,0.00389,2000
bel,0.00371,2001
bel,0.00302,2002
bel,0.00206,2003
bel,0.00263,2004
bel,0.00238,2005
bel,0.00295,2006
bel,0.00317,2007
bel,0.00332,2008
bel,0.00265,2009
bel,0.0025,2010
bel,0.00159,2011
ben,0.00003,1997
ben,0.00003,1998
ben,0.00003,1999
ben,0.00003,2000
ben,0.00003,2001
ben,0.00002,2002
ben,0.00002,2003
ben,0.00001,2004
ben,0.00001,2005
bol,0.01788,1971
bol,0.01844,1972
bol,0.01843,1973
bol,0.01913,1974
bol,0.0194,1975
bol,0.01985,1976
bol,0.02047,1977
bol,0.02117,1978
bol,0.02113,1979
bol,0.01708,1980
bol,0.01817,1981
bol,0.01761,1982
bol,0.01722,1983
bol,0.01717,1984
bol,0.01648,1985
bol,0.01573,1986
bol,0.01466,1987
bol,0.01571,1988
bol,0.01542,1989
bol,0.01524,1990
bol,0.01644,1991
bol,0.0156,1992
bol,0.01809,1993
bol,0.01549,1994
bol,0.01454,1995
bol,0.01604,1996
bol,0.01724,1997
bol,0.01678,1998
bol,0.01887,1999
bol,0.02013,2000
bol,0.0216,2001
bol,0.02191,2002
bol,0.01938,2003
bol,0.02057,2004
bol,0.01846,2005
bol,0.01995,2006
bol,0.02107,2007
bol,0.02065,2008
bol,0.0202,2009
bol,0.01889,2010
bih,0.06103,1990
bih,0.1063,1991
bih,0.07454,1992
bih,0.05535,1993
bih,0.08591,1994
bih,0.09401,1995
bih,0.1341,1996
bih,0.1189,1997
bih,0.1126,1998
bih,0.1321,1999
bih,0.1186,2000
bih,0.1188,2001
bih,0.12,2002
bih,0.1023,2003
bih,0.136,2004
bih,0.1364,2005
bih,0.1332,2006
bih,0.09103,2007
bih,0.1109,2008
bih,0.1424,2009
bih,0.1835,2010
bra,0.03773,1971
bra,0.04322,1972
bra,0.04821,1973
bra,0.05343,1974
bra,0.05743,1975
bra,0.06434,1976
bra,0.07085,1977
bra,0.07607,1978
bra,0.08431,1979
bra,0.09107,1980
bra,0.09025,1981
bra,0.09517,1982
