income_per_person_long_series,geo,time
634.4,afg,1800
634.4,afg,1801
634.4,afg,1802
634.4,afg,1803
634.4,afg,1804
634.4,afg,1805
634.4,afg,1806
634.4,afg,1807
634.4,afg,1808
634.4,afg,1809
634.4,afg,1810
634.4,afg,1811
634.4,afg,1812
634.4,afg,1813
634.4,afg,1814
634.4,afg,1815
634.4,afg,1816
634.4,afg,1817
634.4,afg,1818
634.4,afg,1819
634.4,afg,1820
636.5,afg,1821
638.5,afg,1822
640.6,afg,1823
642.7,afg,1824
644.8,afg,1825
646.9,afg,1826
649,afg,1827
651.1,afg,1828
653.2,afg,1829
655.3,afg,1830
657.5,afg,1831
659.6,afg,1832
661.7,afg,1833
663.9,afg,1834
666,afg,1835
668.2,afg,1836
670.4,afg,1837
672.6,afg,1838
674.8,afg,1839
676.9,afg,1840
679.1,afg,1841
681.4,afg,1842
683.6,afg,1843
685.8,afg,1844
688,afg,1845
690.3,afg,1846
692.5,afg,1847
694.8,afg,1848
697,afg,1849
699.3,afg,1850
701.6,afg,1851
703.8,afg,1852
706.1,afg,1853
708.4,afg,1854
710.7,afg,1855
713,afg,1856
715.3,afg,1857
717.7,afg,1858
720,afg,1859
722.3,afg,1860
724.7,afg,1861
727,afg,1862
729.4,afg,1863
731.8,afg,1864
734.2,afg,1865
736.5,afg,1866
738.9,afg,1867
741.3,afg,1868
743.8,afg,1869
746.2,afg,1870
748.6,afg,1871
751,afg,1872
753.5,afg,1873
755.9,afg,1874
758.4,afg,1875
760.8,afg,1876
763.3,afg,1877
765.8,afg,1878
768.3,afg,1879
770.8,afg,1880
773.3,afg,1881
775.8,afg,1882
778.3,afg,1883
780.9,afg,1884
783.4,afg,1885
785.9,afg,1886
788.5,afg,1887
791.1,afg,1888
793.6,afg,1889
796.2,afg,1890
798.8,afg,1891
801.4,afg,1892
804,afg,1893
806.6,afg,1894
809.2,afg,1895
811.9,afg,1896
814.5,afg,1897
817.2,afg,1898
819.8,afg,1899
822.5,afg,1900
825.2,afg,1901
827.8,afg,1902
830.5,afg,1903
833.2,afg,1904
835.9,afg,1905
838.7,afg,1906
841.4,afg,1907
844.1,afg,1908
846.9,afg,1909
849.6,afg,1910
852.4,afg,1911
855.1,afg,1912
857.9,afg,1913
861.9,afg,1914
865.9,afg,1915
869.9,afg,1916
873.9,afg,1917
878,afg,1918
882,afg,1919
886.1,afg,1920
890.2,afg,1921
894.3,afg,1922
898.5,afg,1923
902.6,afg,1924
906.8,afg,1925
911,afg,1926
915.2,afg,1927
919.5,afg,1928
923.7,afg,1929
928,afg,1930
932.3,afg,1931
936.6,afg,1932
940.9,afg,1933
945.3,afg,1934
949.7,afg,1935
954.1,afg,1936
958.5,afg,1937
962.9,afg,1938
967.4,afg,1939
971.8,afg,1940
976.3,afg,1941
980.9,afg,1942
985.4,afg,1943
990,afg,1944
994.5,afg,1945
999.1,afg,1946
