geo,income_per_person_with_projections,time
afg,472.1,1800
afg,472.1,1820
afg,638.4,1913
afg,757.3,1950
afg,766.8,1951
afg,779.4,1952
afg,812.9,1953
afg,815.4,1954
afg,816.4,1955
afg,837.1,1956
afg,820.9,1957
afg,849.7,1958
afg,856.2,1959
afg,868.5,1960
afg,857.4,1961
afg,853.1,1962
afg,849.4,1963
afg,846.3,1964
afg,845.2,1965
afg,833.6,1966
afg,836.2,1967
afg,845.1,1968
afg,837.6,1969
afg,833.3,1970
afg,773.7,1971
afg,740,1972
afg,803.5,1973
afg,825.6,1974
afg,846.4,1975
afg,866.2,1976
afg,786.1,1977
afg,827.1,1978
afg,809.1,1979
afg,810.4,1980
afg,896.9,1981
afg,978,1982
afg,1013,1983
afg,994.6,1984
afg,961.9,1985
afg,1031,1986
afg,852.4,1987
afg,770,1988
afg,751.4,1989
afg,709.5,1990
afg,705.4,1991
afg,649.3,1992
afg,558.9,1993
afg,500.4,1994
afg,601.9,1995
afg,617.9,1996
afg,635.3,1997
afg,653.3,1998
afg,671,1999
afg,663.9,2000
afg,595,2001
afg,726.7,2002
afg,785.1,2003
afg,804.7,2004
afg,874,2005
afg,887.9,2006
afg,983.7,2007
afg,984.8,2008
afg,1155,2009
afg,1215,2010
afg,1261,2011
afg,1350,2012
afg,1351,2013
afg,1374,2014
afg,1418,2015
afg,1462,2016
afg,1501,2017
afg,1527,2018
alb,601.2,1800
alb,613.8,1820
alb,682.7,1870
alb,914.8,1890
alb,1048,1900
alb,1194,1910
alb,1241,1913
alb,1418,1929
alb,1532,1950
alb,1598,1951
alb,1601,1952
alb,1666,1953
alb,1715,1954
alb,1807,1955
alb,1825,1956
alb,1942,1957
alb,2030,1958
alb,2113,1959
alb,2220,1960
alb,2239,1961
alb,2313,1962
alb,2392,1963
alb,2474,1964
alb,2564,1965
alb,2660,1966
alb,2760,1967
alb,2860,1968
alb,2957,1969
alb,3066,1970
alb,3189,1971
alb,3313,1972
alb,3478,1973
alb,3491,1974
alb,3504,1975
alb,3518,1976
alb,3533,1977
alb,3549,1978
alb,3567,1979
alb,3592,1980
alb,3611,1981
alb,3631,1982
alb,3652,1983
alb,3673,1984
alb,3692,1985
alb,3716,1986
alb,3739,1987
alb,3763,1988
alb,3791,1989
alb,3825,1990
alb,2718,1991
alb,2497,1992
alb,2717,1993
alb,2919,1994
alb,3286,1995
alb,3570,1996
alb,3193,1997
alb,3585,1998
alb,3928,1999
alb,4195,2000
alb,4476,2001
alb,4604,2002
alb,4855,2003
alb,5115,2004
alb,5369,2005
alb,5652,2006
alb,5958,2007
alb,6366,2008
alb,6551,2009
alb,6746,2010
alb,6914,2011
alb,6969,2012
alb,7059,2013
alb,7200,2014
alb,7343,2015
alb,7489,2016
alb,7638,2017
alb,7790,2018
dza,766.3,1800
dza,765.9,1820
dza,1273,1870
dza,2071,1913
dza,2429,1950
dza,2398,1951
dza,2449,1952
dza,2436,1953
dza,2558,1954
dza,2572,1955
dza,2764,1956
dza,3014,1957
dza,3060,1958
dza,3548,1959
dza,3717,1960
dza,3203,1961
dza,2551,1962
dza,3147,1963
dza,3214,1964
dza,3328,1965
dza,3071,1966
dza,3247,1967
dza,3520,1968
dza,3748,1969
dza,4004,1970
dza,3559,1971
dza,4183,1972
dza,4195,1973
dza,4321,1974
dza,4489,1975
dza,4643,1976
dza,4910,1977
dza,5373,1978
dza,5682,1979
dza,5610,1980
dza,5573,1981
dza,5745,1982
dza,5854,1983
dza,5987,1984
dza,6107,1985
dza,5876,1986
dza,5681,1987
dza,5416,1988
dza,5458,1989
dza,5245,1990
dza,5061,1991
dza,5023,1992
dza,4800,1993
dza,4653,1994
dza,4732,1995
dza,4824,1996
dza,4797,1997
dza,4965,1998
dza,5049,1999
dza,5099,2000
dza,5156,2001
dza,5288,2002
dza,5577,2003
dza,5791,2004
dza,6011,2005
dza,6022,2006
dza,6134,2007
dza,6163,2008
dza,6174,2009
dza,6301,2010
dza,6355,2011
dza,6419,2012
dza,6535,2013
dza,6659,2014
dza,6797,2015
dza,6948,2016
dza,7108,2017
dza,7274,2018
asm,674.5,1800
asm,674.5,1820
asm,911.8,1913
asm,4465,1950
asm,6284,1973
asm,6497,1990
asm,7776,2001
asm,9618,2005
asm,11300,2006
asm,13270,2007
and,1260,1800
and,1303,1820
and,3856,1913
and,32390,1970
and,32190,1971
and,33080,1972
and,33950,1973
and,34250,1974
and,33020,1975
and,32840,1976
and,32630,1977
and,32010,1978
and,30830,1979
and,30180,1980
and,28680,1981
and,27520,1982
and,26570,1983
and,25820,1984
and,25470,1985
and,25620,1986
and,26580,1987
and,27520,1988
and,28280,1989
and,28510,1990
and,28090,1991
and,27040,1992
and,25510,1993
and,25090,1994
and,25060,1995
and,25840,1996
and,28060,1997
and,28980,1998
and,30140,1999
and,30270,2000
and,33290,2001
and,34490,2002
and,35930,2003
and,37430,2004
and,39000,2005
and,39920,2006
and,39240,2007
and,37050,2008
and,34710,2009
and,33050,2010
and,31630,2011
ago,359.9,1800
ago,359.9,1820
ago,556.1,1913
ago,3363,1950
ago,3441,1951
ago,3521,1952
ago,3599,1953
ago,3451,1954
ago,3672,1955
ago,3549,1956
ago,3828,1957
ago,3966,1958
ago,3918,1959
ago,4006,1960
ago,4464,1961
ago,4269,1962
ago,4414,1963
ago,4826,1964
ago,5102,1965
ago,5308,1966
ago,5523,1967
ago,5347,1968
ago,5408,1969
ago,5652,1970
ago,5526,1971
ago,5473,1972
ago,5722,1973
ago,5470,1974
ago,3431,1975
ago,3050,1976
ago,3009,1977
ago,3071,1978
ago,3065,1979
ago,3075,1980
ago,2953,1981
ago,2757,1982
ago,2585,1983
ago,2527,1984
ago,2493,1985
ago,2221,1986
ago,2430,1987
ago,2729,1988
ago,2731,1989
ago,2777,1990
ago,2731,1991
ago,2628,1992
ago,1870,1993
ago,1851,1994
ago,1989,1995
ago,2157,1996
ago,2277,1997
ago,2384,1998
ago,2417,1999
ago,2447,2000
ago,2480,2001
ago,2773,2002
ago,2785,2003
ago,3007,2004
ago,3533,2005
ago,4148,2006
ago,4950,2007
ago,5488,2008
ago,5476,2009
ago,5498,2010
ago,5547,2011
ago,5838,2012
ago,6018,2013
ago,6268,2014
ago,6512,2015
ago,6744,2016
ago,6729,2017
ago,6928,2018
aia,775.7,1800
aia,775.7,1820
aia,1431,1913
aia,5689,1970
aia,5475,1971
aia,6032,1972
aia,6214,1973
aia,6149,1974
aia,6318,1975
aia,6394,1976
aia,6391,1977
aia,6858,1978
aia,7507,1979
aia,7867,1980
aia,8152,1981
aia,8050,1982
aia,8016,1983
aia,8264,1984
aia,8976,1985
aia,9911,1986
aia,10600,1987
aia,11610,1988
aia,12220,1989
aia,12340,1990
aia,11710,1991
aia,12200,1992
aia,12770,1993
aia,13480,1994
aia,12890,1995
aia,12960,1996
aia,14100,1997
aia,15300,1998
aia,15610,1999
aia,15550,2000
aia,15680,2001
aia,15180,2002
aia,15300,2003
aia,18280,2004
aia,19480,2005
aia,22720,2006
aia,25040,2007
aia,24150,2008
aia,19310,2009
aia,18220,2010
aia,18600,2011
atg,538.4,1800
atg,538.4,1820
atg,993.3,1913
atg,3949,1970
atg,4138,1971
atg,4334,1972
atg,4598,1973
atg,4676,1974
atg,4382,1975
atg,3992,1976
atg,4320,1977
atg,4535,1978
atg,5106,1979
atg,5532,1980
atg,5882,1981
atg,5973,1982
atg,6453,1983
atg,7024,1984
atg,7694,1985
atg,8514,1986
atg,9474,1987
atg,10430,1988
atg,11210,1989
atg,11570,1990
atg,11750,1991
atg,11680,1992
atg,12040,1993
atg,12480,1994
atg,11650,1995
atg,12100,1996
atg,12390,1997
atg,12610,1998
atg,12830,1999
atg,12740,2000
atg,12770,2001
atg,12870,2002
atg,13350,2003
atg,14110,2004
atg,14580,2005
atg,16220,2006
atg,17160,2007
atg,17230,2008
atg,15220,2009
atg,13920,2010
atg,13510,2011
atg,13720,2012
atg,13950,2013
atg,14400,2014
atg,14880,2015
atg,15400,2016
atg,15940,2017
atg,16500,2018
arg,871.6,1800
arg,871.6,1820
arg,1885,1875
arg,1867,1876
arg,2002,1877
arg,1840,1878
arg,1863,1879
arg,1770,1880
arg,1743,1881
arg,2141,1882
arg,2334,1883
arg,2426,1884
arg,2770,1885
arg,2695,1886
arg,2795,1887
arg,3157,1888
arg,3365,1889
arg,2983,1890
arg,2730,1891
arg,3176,1892
arg,3267,1893
arg,3665,1894
arg,3949,1895
arg,4246,1896
arg,3317,1897
arg,3499,1898
arg,4011,1899
arg,3420,1900
arg,3612,1901
arg,3437,1902
arg,3831,1903
arg,4131,1904
arg,4562,1905
arg,4580,1906
arg,4464,1907
arg,4694,1908
arg,4708,1909
arg,4832,1910
arg,4726,1911
arg,4923,1912
arg,4778,1913
arg,4092,1914
arg,3950,1915
arg,3768,1916
arg,3398,1917
arg,3962,1918
arg,4039,1919
arg,4263,1920
arg,4242,1921
arg,4452,1922
arg,4807,1923
arg,5036,1924
arg,4861,1925
arg,4962,1926
arg,5178,1927
arg,5357,1928
arg,5457,1929
arg,5081,1930
arg,4634,1931
arg,4394,1932
arg,4518,1933
arg,4790,1934
arg,4909,1935
arg,4873,1936
arg,5150,1937
arg,5085,1938
arg,5200,1939
arg,5202,1940
arg,5393,1941
arg,5368,1942
arg,5248,1943
arg,5758,1944
arg,5483,1945
arg,5845,1946
arg,6360,1947
arg,6560,1948
arg,6323,1949
arg,6253,1950
arg,6362,1951
arg,5911,1952
arg,6108,1953
arg,6243,1954
arg,6567,1955
arg,6630,1956
arg,6857,1957
arg,7158,1958
arg,6575,1959
arg,6985,1960
arg,7367,1961
arg,7133,1962
arg,6853,1963
arg,7453,1964
arg,8022,1965
arg,7956,1966
arg,8053,1967
arg,8284,1968
arg,8871,1969
arg,9212,1970
arg,9408,1971
arg,9443,1972
arg,9633,1973
arg,9990,1974
arg,9766,1975
arg,9612,1976
arg,10080,1977
arg,9603,1978
arg,10120,1979
arg,10130,1980
arg,9422,1981
arg,8998,1982
arg,9239,1983
arg,9302,1984
arg,8526,1985
arg,9027,1986
arg,9140,1987
arg,8846,1988
arg,8108,1989
arg,7847,1990
arg,8576,1991
arg,9308,1992
arg,9742,1993
arg,10210,1994
arg,9808,1995
arg,10250,1996
arg,10970,1997
arg,11270,1998
arg,10770,1999
arg,10570,2000
arg,9993,2001
arg,8798,2002
arg,9481,2003
arg,10230,2004
arg,11060,2005
arg,11870,2006
arg,12750,2007
arg,13460,2008
arg,13420,2009
arg,14490,2010
arg,15600,2011
arg,15710,2012
arg,15970,2013
arg,16340,2014
arg,16640,2015
arg,16950,2016
arg,17260,2017
arg,17580,2018
arm,378.4,1800
arm,378.4,1820
arm,481.3,1885
arm,461.7,1886
arm,538.6,1887
arm,517,1888
arm,479.6,1889
arm,476.6,1890
arm,435.6,1891
arm,475.7,1892
arm,537.9,1893
arm,610.2,1894
arm,563.4,1895
arm,619.2,1896
arm,607.4,1897
arm,622.2,1898
arm,658.8,1899
arm,643.2,1900
arm,657.7,1901
arm,713.1,1902
arm,662.4,1903
arm,730.9,1904
arm,645.5,1905
arm,615.6,1906
arm,590.2,1907
arm,643.1,1908
arm,666.2,1909
arm,709.2,1910
arm,653.8,1911
arm,704.8,1912
arm,738.8,1913
arm,703.9,1914
arm,722.8,1915
arm,700,1916
arm,583.3,1917
arm,486,1918
arm,405,1919
arm,384.5,1920
arm,365,1921
arm,395.9,1922
arm,429.3,1923
arm,465.6,1924
arm,505,1925
arm,547.6,1926
arm,593.9,1927
arm,644.1,1928
arm,698.6,1929
arm,728.5,1930
arm,733.4,1931
arm,720.5,1932
arm,745.9,1933
arm,812.5,1934
arm,926.9,1935
arm,987.8,1936
arm,1067,1937
arm,1062,1938
arm,1102,1939
arm,1054,1940
arm,928.4,1946
arm,1029,1947
arm,1160,1948
arm,1264,1949
arm,1366,1950
arm,1346,1951
arm,1406,1952
arm,1439,1953
arm,1480,1954
arm,1575,1955
arm,1692,1956
arm,1693,1957
arm,1784,1958
arm,1729,1959
arm,1855,1960
arm,1927,1961
arm,1947,1962
arm,1874,1963
arm,2087,1964
arm,2179,1965
arm,2259,1966
arm,2334,1967
arm,2446,1968
arm,2457,1969
arm,2621,1970
arm,2665,1971
arm,2653,1972
arm,2849,1973
arm,2880,1974
arm,2836,1975
arm,2917,1976
arm,2934,1977
arm,2957,1978
arm,2893,1979
arm,2849,1980
arm,2828,1981
arm,2849,1982
arm,2890,1983
arm,2875,1984
arm,2851,1985
arm,2917,1986
arm,2905,1987
arm,2918,1988
arm,2922,1989
arm,2809,1990
arm,2437,1991
arm,1443,1992
arm,1376,1993
arm,1499,1994
arm,1632,1995
arm,1732,1996
arm,1791,1997
arm,1928,1998
arm,1993,1999
arm,2114,2000
arm,2328,2001
arm,2692,2002
arm,3079,2003
arm,3414,2004
arm,3903,2005
arm,4413,2006
arm,5012,2007
arm,5347,2008
arm,4545,2009
arm,4599,2010
arm,4767,2011
arm,5059,2012
arm,5224,2013
arm,5385,2014
arm,5561,2015
arm,5742,2016
arm,5930,2017
arm,6124,2018
abw,575.9,1800
abw,575.9,1820
abw,1062,1913
abw,4224,1970
abw,4568,1971
abw,4940,1972
abw,5344,1973
abw,5786,1974
abw,6270,1975
abw,6804,1976
abw,7390,1977
abw,8026,1978
abw,8702,1979
