internet_users_total_number,geo,time
0,afg,1990
1118,afg,2001
1124,afg,2002
22570,afg,2003
28240,afg,2004
338000,afg,2005
598900,afg,2006
553800,afg,2007
549100,afg,2008
1086000,afg,2009
1256000,afg,2010
0,alb,1990
350.8,alb,1995
1002,alb,1996
1502,alb,1997
2002,alb,1998
2502,alb,1999
3505,alb,2000
10030,alb,2001
12050,alb,2002
30190,alb,2003
75630,alb,2004
189900,alb,2005
303300,alb,2006
476600,alb,2007
759100,alb,2008
1315000,alb,2009
1442000,alb,2010
0,dza,1990
100.1,dza,1994
500.5,dza,1995
500.5,dza,1996
3003,dza,1997
6006,dza,1998
60050,dza,1999
150100,dza,2000
200200,dza,2001
500400,dza,2002
700600,dza,2003
1501000,dza,2004
1922000,dza,2005
2463000,dza,2006
3205000,dza,2007
3505000,dza,2008
3925000,dza,2009
4434000,dza,2010
0,asm,1990
0,and,1990
995.8,and,1996
1980,and,1997
4424,and,1998
4886,and,1999
6812,and,2000
7775,and,2002
9781,and,2003
20210,and,2004
29290,and,2005
39090,and,2006
57680,and,2007
57840,and,2008
65710,and,2009
68740,and,2010
0,ago,1990
96.62,ago,1996
725.8,ago,1997
2424,ago,1998
9723,ago,1999
14630,ago,2000
19570,ago,2001
40260,ago,2002
57160,ago,2003
74170,ago,2004
188500,ago,2005
324500,ago,2006
560800,ago,2007
829700,ago,2008
1113000,ago,2009
1908000,ago,2010
0,atg,1990
1511,atg,1995
2014,atg,1996
2517,atg,1997
3021,atg,1998
4028,atg,1999
5034,atg,2000
7045,atg,2001
10060,atg,2002
14080,atg,2003
20100,atg,2004
29130,atg,2005
53210,atg,2006
60210,atg,2007
65190,atg,2008
65150,atg,2009
70970,atg,2010
0,arg,1990
1004,arg,1992
10030,arg,1993
15040,arg,1994
30070,arg,1995
50090,arg,1996
100100,arg,1997
300200,arg,1998
1200000,arg,1999
2599000,arg,2000
3648000,arg,2001
4098000,arg,2002
4527000,arg,2003
6149000,arg,2004
6855000,arg,2005
8167000,arg,2006
10210000,arg,2007
11160000,arg,2008
13620000,arg,2009
14550000,arg,2010
0,arm,1990
300,arm,1994
1700,arm,1995
3000,arm,1996
3500,arm,1997
4000,arm,1998
30000,arm,1999
40000,arm,2000
50010,arm,2001
60010,arm,2002
140000,arm,2003
150000,arm,2004
161100,arm,2005
172900,arm,2006
185100,arm,2007
191200,arm,2008
472000,arm,2009
1361000,arm,2010
0,abw,1990
2300,abw,1996
3985,abw,1999
13940,abw,2000
15790,abw,2001
17780,abw,2002
20150,abw,2003
22780,abw,2004
25650,abw,2005
28760,abw,2006
32210,abw,2007
36090,abw,2008
40190,abw,2009
45140,abw,2010
100000,aus,1990
190000,aus,1991
310100,aus,1992
350000,aus,1993
400000,aus,1994
500000,aus,1995
600000,aus,1996
3032000,aus,1997
5773000,aus,1998
7728000,aus,1999
8961000,aus,2000
10210000,aus,2001
12850000,aus,2005
13690000,aus,2006
14670000,aus,2007
15420000,aus,2008
16260000,aus,2009
16920000,aus,2010
10000,aut,1990
20000,aut,1991
50000,aut,1992
60000,aut,1993
110000,aut,1994
150000,aut,1995
550000,aut,1996
760000,aut,1997
1230000,aut,1998
1840000,aut,1999
2700000,aut,2000
3150000,aut,2001
2955000,aut,2002
3473000,aut,2003
4443000,aut,2004
4775000,aut,2005
5262000,aut,2006
5764000,aut,2007
6079000,aut,2008
6147000,aut,2009
6102000,aut,2010
0,aze,1990
109.8,aze,1994
159.6,aze,1995
498.5,aze,1996
1993,aze,1997
2990,aze,1998
7977,aze,1999
11980,aze,2000
25030,aze,2001
414000,aze,2002
689600,aze,2005
1044000,aze,2006
1283000,aze,2007
1528000,aze,2008
2484000,aze,2009
4226000,aze,2010
0,bhs,1990
2686,bhs,1995
4956,bhs,1996
3915,bhs,1997
6787,bhs,1998
11070,bhs,1999
23810,bhs,2000
35590,bhs,2001
55040,bhs,2002
62040,bhs,2003
69240,bhs,2004
79840,bhs,2005
84260,bhs,2006
88790,bhs,2007
105200,bhs,2008
114600,bhs,2009
147400,bhs,2010
0,bhr,1990
1936,bhr,1995
4848,bhr,1996
9762,bhr,1997
19670,bhr,1998
29590,bhr,1999
39270,bhr,2000
96620,bhr,2001
115900,bhr,2002
139500,bhr,2003
144200,bhr,2004
154400,bhr,2005
229200,bhr,2006
304700,bhr,2007
546700,bhr,2008
619900,bhr,2009
694000,bhr,2010
0,bgd,1990
919.1,bgd,1997
4599,bgd,1998
46010,bgd,1999
92060,bgd,2000
171300,bgd,2001
187900,bgd,2002
223700,bgd,2003
275900,bgd,2004
339700,bgd,2005
1424000,bgd,2006
2591000,bgd,2007
3637000,bgd,2008
4558000,bgd,2009
5502000,bgd,2010
0,brb,1990
20.42,brb,1995
1029,brb,1996
2077,brb,1997
5240,brb,1998
6339,brb,1999
10630,brb,2000
32010,brb,2001
74830,brb,2002
106900,brb,2003
134400,brb,2004
151700,brb,2005
170800,brb,2006
175700,brb,2007
181000,brb,2008
187400,brb,2009
191900,brb,2010
0,blr,1990
50.02,blr,1994
300.1,blr,1995
3001,blr,1996
5002,blr,1997
7503,blr,1998
50020,blr,1999
187100,blr,2000
430500,blr,2001
891800,blr,2002
1584000,blr,2006
1916000,blr,2007
2227000,blr,2008
2643000,blr,2009
3042000,blr,2010
100.2,bel,1990
2003,bel,1991
10010,bel,1992
20010,bel,1993
70000,bel,1994
99960,bel,1995
299800,bel,1996
499400,bel,1997
798800,bel,1998
1398000,bel,1999
2995000,bel,2000
3195000,bel,2001
4751000,bel,2002
5148000,bel,2003
5578000,bel,2004
6229000,bel,2005
6723000,bel,2006
7300000,bel,2007
6997000,bel,2008
7463000,bel,2009
8034000,bel,2010
0,blz,1990
100,blz,1995
1999,blz,1996
2995,blz,1997
4987,blz,1998
9966,blz,1999
14940,blz,2000
14930,blz,2002
15920,blz,2004
25880,blz,2005
29860,blz,2006
31830,blz,2007
33840,blz,2008
35820,blz,2009
43630,blz,2010
0,ben,1990
98.57,ben,1996
1476,ben,1997
2947,ben,1998
9805,ben,1999
14680,ben,2000
24430,ben,2001
48770,ben,2002
68160,ben,2003
87480,ben,2004
97030,ben,2005
121100,ben,2006
145200,ben,2007
154600,ben,2008
192700,ben,2009
277000,ben,2010
0,bmu,1990
4199,bmu,1995
9997,bmu,1996
14990,bmu,1997
19990,bmu,1998
24990,bmu,1999
26990,bmu,2000
29980,bmu,2001
32980,bmu,2002
35980,bmu,2003
38980,bmu,2004
41970,bmu,2005
44970,bmu,2006
47960,bmu,2007
53210,bmu,2008
53950,bmu,2009
54690,bmu,2010
0,btn,1990
764,btn,1999
2290,btn,2000
5084,btn,2001
10160,btn,2002
15220,btn,2003
20280,btn,2004
25360,btn,2005
30480,btn,2006
40760,btn,2007
45940,btn,2008
51170,btn,2009
98730,btn,2010
0,bol,1990
4991,bol,1995
14980,bol,1996
34950,bol,1997
49940,bol,1998
79910,bol,1999
119900,bol,2000
179700,bol,2001
269500,bol,2002
309300,bol,2003
398800,bol,2004
478100,bol,2005
577100,bol,2006
993600,bol,2007
1042000,bol,2008
1398000,bol,2009
1986000,bol,2010
0,bih,1990
500,bih,1996
2000,bih,1997
5000,bih,1998
7000,bih,1999
40000,bih,2000
45000,bih,2001
100000,bih,2002
150000,bih,2003
584900,bih,2004
806400,bih,2005
950000,bih,2006
1055000,bih,2007
1308000,bih,2008
1422000,bih,2009
1955000,bih,2010
0,bwa,1990
0,bwa,1991
1023,bwa,1995
2557,bwa,1996
5110,bwa,1997
10210,bwa,1998
19400,bwa,1999
51030,bwa,2000
61220,bwa,2001
61220,bwa,2002
61220,bwa,2003
61210,bwa,2004
61190,bwa,2005
81550,bwa,2006
101800,bwa,2007
122200,bwa,2008
121900,bwa,2009
120400,bwa,2010
0,bra,1990
5003,bra,1991
20010,bra,1992
40030,bra,1993
60050,bra,1994
170200,bra,1995
740800,bra,1996
1312000,bra,1997
2504000,bra,1998
3505000,bra,1999
5007000,bra,2000
8010000,bra,2001
16400000,bra,2002
23990000,bra,2003
35070000,bra,2004
39100000,bra,2005
52960000,bra,2006
58610000,bra,2007
64800000,bra,2008
75790000,bra,2009
79250000,bra,2010
0,brn,1990
2946,brn,1995
9817,brn,1996
14720,brn,1997
19620,brn,1998
24520,brn,1999
29420,brn,2000
43190,brn,2001
52360,brn,2002
68340,brn,2003
105800,brn,2004
132400,brn,2005
156200,brn,2006
168700,brn,2007
177000,brn,2008
192000,brn,2009
199500,brn,2010
0,bgr,1990
200,bgr,1993
1650,bgr,1994
10000,bgr,1995
60000,bgr,1996
100000,bgr,1997
150000,bgr,1998
234600,bgr,1999
430000,bgr,2000
605000,bgr,2001
716700,bgr,2002
944000,bgr,2003
1412000,bgr,2004
1546000,bgr,2005
2083000,bgr,2006
2570000,bgr,2007
3011000,bgr,2008
3394000,bgr,2009
