geo,year,life_expectancy
afg,1800,28.211
afg,1801,28.20075333
afg,1802,28.19050667
afg,1803,28.18026
afg,1804,28.17001333
afg,1805,28.15976667
afg,1806,28.14952
afg,1807,28.13927333
afg,1808,28.12902667
afg,1809,28.11878
afg,1810,28.10853333
afg,1811,28.09828667
afg,1812,28.08804
afg,1813,28.07779333
afg,1814,28.06754667
afg,1815,28.0573
afg,1816,28.04705333
afg,1817,28.03680667
afg,1818,28.02656
afg,1819,28.01631333
afg,1820,28.00606667
afg,1821,27.99582
afg,1822,27.98557333
afg,1823,27.97532667
afg,1824,27.96508
afg,1825,27.95483333
afg,1826,27.94458667
afg,1827,27.93434
afg,1828,27.92409333
afg,1829,27.91384667
afg,1830,27.9036
afg,1831,27.89335333
afg,1832,27.88310667
afg,1833,27.87286
afg,1834,27.86261333
afg,1835,27.85236667
afg,1836,27.84212
afg,1837,27.83187333
afg,1838,27.82162667
afg,1839,27.81138
afg,1840,27.80113333
afg,1841,27.79088667
afg,1842,27.78064
afg,1843,27.77039333
afg,1844,27.76014667
afg,1845,27.7499
afg,1846,27.73965333
afg,1847,27.72940667
afg,1848,27.71916
afg,1849,27.70891333
afg,1850,27.69866667
afg,1851,27.68842
afg,1852,27.67817333
afg,1853,27.66792667
afg,1854,27.65768
afg,1855,27.64743333
afg,1856,27.63718667
afg,1857,27.62694
afg,1858,27.61669333
afg,1859,27.60644667
afg,1860,27.5962
afg,1861,27.58595333
afg,1862,27.57570667
afg,1863,27.56546
afg,1864,27.55521333
afg,1865,27.54496667
afg,1866,27.53472
afg,1867,27.52447333
afg,1868,27.51422667
afg,1869,27.50398
afg,1870,27.49373333
afg,1871,27.48348667
afg,1872,27.47324
afg,1873,27.46299333
afg,1874,27.45274667
afg,1875,27.4425
afg,1876,27.43225333
afg,1877,27.42200667
afg,1878,27.41176
afg,1879,27.40151333
afg,1880,27.39126667
afg,1881,27.38102
afg,1882,27.37077333
afg,1883,27.36052667
afg,1884,27.35028
afg,1885,27.34003333
afg,1886,27.32978667
afg,1887,27.31954
afg,1888,27.30929333
afg,1889,27.29904667
afg,1890,27.2888
afg,1891,27.27855333
afg,1892,27.26830667
afg,1893,27.25806
afg,1894,27.24781333
afg,1895,27.23756667
afg,1896,27.22732
afg,1897,27.21707333
afg,1898,27.20682667
afg,1899,27.19658
afg,1900,27.18633333
afg,1901,27.17608667
afg,1902,27.16584
afg,1903,27.15559333
afg,1904,27.14534667
afg,1905,27.1351
afg,1906,27.12485333
afg,1907,27.11460667
afg,1908,27.10436
afg,1909,27.09411333
afg,1910,27.08386667
afg,1911,27.07362
afg,1912,27.06337333
afg,1913,27.05312667
afg,1914,27.04288
afg,1915,27.03263333
afg,1916,27.02238667
afg,1917,27.01214
afg,1918,7.04506271
afg,1919,26.99164667
afg,1920,26.9814
afg,1921,27.07389333
afg,1922,27.16638667
afg,1923,27.25888
afg,1924,27.35137333
afg,1925,27.44386667
afg,1926,27.53636
afg,1927,27.62885333
afg,1928,27.72134667
afg,1929,27.81384
afg,1930,27.90633333
afg,1931,27.99882667
afg,1932,28.09132
afg,1933,28.18381333
afg,1934,28.27630667
afg,1935,28.3688
afg,1936,28.46129333
afg,1937,28.55378667
afg,1938,28.64628
afg,1939,28.73877333
afg,1940,28.83126667
afg,1941,28.92376
afg,1942,29.01625333
afg,1943,29.10874667
afg,1944,29.20124
afg,1945,29.29373333
afg,1946,29.38622667
afg,1947,29.47872
afg,1948,29.57121333
afg,1949,29.66370667
afg,1950,29.7562
afg,1951,30.11694
afg,1952,30.73568
afg,1953,31.35442
afg,1954,31.97316
afg,1955,32.5909
afg,1956,33.20964
