geo,malaria_cases_per_100000_reported,time
dza,0.6012,1990
dza,0.8838,1991
dza,0.3995,1992
dza,0.3094,1993
dza,0.743,1994
dza,0.3786,1995
dza,0.7684,1996
dza,0.6743,1997
dza,2.331,1999
dza,1.773,2000
dza,1.405,2001
dza,0.9773,2002
ago,2313,1990
ago,10530,1991
ago,6981,1992
ago,6236,1993
ago,5578,1994
ago,1271,1995
ago,6896,1997
ago,8818,1998
ago,10840,1999
ago,11740,2000
ago,8729,2001
ago,12640,2002
ago,21380,2003
ago,15920,2004
ago,14470,2005
ago,13790,2006
ben,1793,1990
ben,2212,1991
ben,5217,1992
ben,6969,1993
ben,9113,1994
ben,9331,1995
ben,9725,1996
ben,10150,1997
ben,9554,1998
ben,10120,1999
ben,9788,2000
ben,9615,2001
ben,10160,2002
ben,10290,2003
ben,10370,2004
ben,9463,2005
ben,9839,2006
bwa,786.3,1990
bwa,1021,1991
bwa,344.9,1992
bwa,3717,1993
bwa,1936,1994
bwa,1124,1995
bwa,4992,1996
bwa,6221,1997
bwa,3573,1998
bwa,4270,1999
bwa,4130,2000
bwa,2751,2001
bwa,1626,2002
bwa,13190,2003
bwa,1234,2004
bwa,612.3,2005
bwa,1023,2006
bfa,5597,1990
bfa,4915,1991
bfa,4467,1992
bfa,5184,1993
bfa,4735,1994
bfa,4878,1995
bfa,5512,1996
bfa,6186,1997
bfa,6446,1998
bfa,7530,1999
bfa,8693,2000
bfa,2875,2001
bfa,9388,2002
bfa,11030,2003
bfa,11450,2004
bfa,11600,2005
bfa,14350,2006
bdi,1632,1990
bdi,9766,1991
bdi,13000,1992
bdi,13670,1993
bdi,13510,1994
bdi,14940,1995
bdi,15430,1996
bdi,10520,1997
bdi,10660,1998
bdi,29620,1999
bdi,45850,2000
bdi,49210,2001
bdi,37580,2002
bdi,30980,2003
bdi,23130,2004
bdi,30050,2005
bdi,26450,2006
cmr,7101,1990
cmr,6252,1991
cmr,5125,1992
cmr,3591,1993
cmr,1380,1994
cmr,5579,1995
cmr,6460,1996
cmr,5332,1997
cmr,4391,1998
cmr,1559,2005
cmr,3491,2006
cpv,19.42,1990
cpv,21.99,1991
cpv,10.19,1992
cpv,11.52,1993
cpv,5.363,1994
cpv,31.66,1995
cpv,18.75,1996
cpv,4.758,1997
cpv,9.531,1998
cpv,6.588,1999
cpv,3.251,2001
cpv,0.4234,2002
cpv,1.241,2003
cpv,0.8078,2004
cpv,1.381,2005
cpv,1.35,2006
caf,5799,1990
caf,4048,1991
caf,2831,1992
caf,2512,1993
caf,2442,1994
caf,2926,1995
caf,2692,1996
caf,2751,1997
caf,2849,1998
caf,3377,1999
caf,2319,2000
caf,3135,2001
caf,1924,2003
caf,3137,2004
caf,3146,2005
caf,2682,2006
tcd,3477,1990
tcd,3907,1991
tcd,3527,1992
tcd,3500,1993
tcd,4017,1994
tcd,4105,1995
tcd,3764,1996
tcd,4496,1997
tcd,5007,1998
tcd,4808,1999
tcd,4362,2000
tcd,4715,2001
tcd,5074,2002
tcd,4895,2003
tcd,4026,2004
tcd,3927,2005
tcd,3822,2006
com,2095,1993
com,2349,1994
com,2587,1995
com,2483,1996
com,581.4,1998
com,1440,1999
com,517.6,2001
com,5648,2004
com,3704,2005
com,6699,2006
cog,1339,1990
cog,1300,1991
cog,823.5,1992
cog,587.5,1993
cog,1324,1994
cog,1003,1995
cog,487.3,1996
cog,321.2,1997
cog,563.7,1998
cog,4276,2006
civ,4006,1990
civ,3529,1991
civ,4051,1992
civ,2983,1993
civ,5043,1995
civ,7191,1996
civ,6200,1997
civ,8751,2000
civ,6864,2001
civ,6273,2002
civ,6322,2003
civ,6977,2004
civ,6892,2005
civ,6627,2006
cod,425.9,1996
cod,291.5,1998
cod,3046,1999
cod,1903,2000
cod,4226,2001
cod,7950,2003
cod,8260,2006
gnq,7522,1990
gnq,6514,1991
gnq,7070,1992
gnq,4911,1993
gnq,3976,1994
gnq,3280,1995
eri,2526,1995
eri,3978,1996
eri,7423,1998
eri,4140,1999
eri,3234,2000
eri,3280,2001
eri,1872,2002
eri,1569,2003
eri,638.2,2004
eri,534.4,2005
eri,216.3,2006
eth,377,1992
eth,540.2,1993
eth,613.4,1994
eth,684.3,1995
eth,770.1,1996
eth,797.4,1997
eth,920.3,1998
eth,959.1,1999
eth,552.5,2000
eth,3178,2001
eth,3439,2002
eth,4188,2003
eth,7411,2004
eth,4256,2005
eth,4641,2006
gab,6259,1990
gab,8487,1991
gab,10340,1992
gab,7084,1993
gab,7994,1994
gab,5194,1995
gab,6864,1996
gab,5182,1997
gab,7077,1998
gab,8044,2001
gab,7771,2005
gab,9010,2006
gmb,23120,1990
gmb,21550,1991
gmb,18120,1992
gmb,26830,1994
gmb,11720,1995
gmb,22140,1996
gmb,26110,1997
gmb,9560,1999
gmb,10000,2005
gmb,16010,2006
gha,9235,1990
gha,8565,1991
gha,8775,1992
gha,10010,1993
gha,9600,1994
gha,10780,1995
gha,11940,1996
gha,11860,1997
gha,9072,1998
gha,14700,1999
gha,16630,2000
gha,14770,2001
gha,14890,2002
gha,16470,2003
gha,15490,2004
gha,15320,2005
gha,15260,2006
gin,360.7,1990
gin,282.4,1991
gin,8579,1994
gin,8197,1995
gin,10260,1996
gin,10390,1997
gin,10370,1998
gin,10040,1999
gin,10190,2001
gin,9986,2002
gin,8441,2003
gin,9927,2004
gin,9445,2005
gin,9093,2006
gnb,8050,1990
gnb,6116,1991
gnb,5179,1992
gnb,14190,1993
gnb,16570,1995
gnb,526.6,1996
gnb,843.4,1997
gnb,163.1,1998
gnb,14830,1999
gnb,17970,2000
gnb,17450,2001
gnb,13900,2002
gnb,12980,2003
gnb,10480,2004
gnb,11620,2005
gnb,9038,2006
ken,22950,1994
ken,15860,1995
ken,13420,1996
ken,272,1998
ken,403.2,1999
ken,237.4,2000
ken,10170,2001
ken,10090,2002
ken,15070,2003
ken,21760,2004
ken,25790,2005
ken,21770,2006
lbr,10520,1996
lbr,33360,1997
lbr,28820,1998
lbr,3390,2005
lbr,30880,2006
mdg,1408,1995
mdg,7262,1999
mdg,8141,2001
mdg,9325,2002
mdg,12460,2003
mdg,8042,2004
mdg,6585,2005
mdg,5285,2006
mwi,40980,1990
mwi,47520,1993
mwi,47630,1994
mwi,59930,1996
mwi,26030,1997
mwi,27290,1998
mwi,37150,1999
mwi,32480,2000
mwi,32010,2001
mwi,22710,2002
mwi,26710,2003
mwi,22270,2004
mwi,27890,2005
mwi,30980,2006
mli,3246,1990
mli,3588,1991
mli,3475,1992
mli,3569,1993
mli,3092,1994
mli,1092,1995
mli,332.4,1996
mli,4179,1997
mli,129.3,1998
mli,5451,1999
mli,5464,2000
mli,5952,2001
mli,6817,2002
mli,7406,2003
mli,17480,2004
mli,8291,2005
mli,8544,2006
mrt,1383,1990
mrt,2109,1991
mrt,2228,1992
mrt,2084,1993
mrt,7210,1994
mrt,9637,1995
mrt,7918,1996
mrt,8053,1997
mrt,6942,1998
mrt,10170,1999
mrt,10100,2000
mrt,9232,2001
mrt,8255,2002
mrt,11360,2003
mrt,7801,2004
mrt,7542,2005
mrt,6178,2006
mus,5.11,1990
mus,4.492,1991
mus,6.101,1992
mus,4.926,1993
mus,5.852,1994
mus,4.09,1995
mus,7.207,1996
mus,5.65,1997
mus,4.473,1998
mus,6.217,1999
mus,5.228,2000
mus,5.095,2001
moz,77.89,1996
moz,1121,1998
moz,13170,1999
moz,18020,2000
moz,21150,2001
moz,24000,2002
moz,24800,2003
moz,27950,2004
moz,28720,2005
moz,30210,2006
nam,24310,1993
nam,24930,1994
nam,16620,1995
nam,20260,1996
nam,22300,1997
nam,19640,1998
nam,23340,1999
nam,27620,2000
nam,28150,2001
nam,22950,2002
nam,23790,2003
nam,30630,2004
nam,16790,2005
nam,12980,2006
ner,14870,1990
ner,10010,1991
ner,10360,1992
ner,8396,1993
ner,8995,1994
ner,8380,1995
ner,12080,1996
ner,9807,1997
ner,8434,1998
ner,7603,1999
ner,5814,2000
ner,11630,2001
ner,7440,2002
ner,5513,2003
ner,5939,2004
ner,6165,2005
ner,6454,2006
nga,1183,1990
nga,935.4,1991
nga,1218,1992
nga,953.2,1993
nga,1109,1994
nga,1040,1995
nga,1026,1996
nga,997.1,1997
nga,1794,1998
nga,1617,1999
nga,1985,2000
nga,1760,2001
nga,1984,2002
nga,1937,2003
nga,2399,2004
nga,2499,2005
nga,2752,2006
rwa,17580,1990
rwa,18890,1991
rwa,20790,1992
rwa,12010,1993
rwa,6471,1994
rwa,24660,1995
rwa,19520,1996
rwa,20920,1997
rwa,18240,1998
rwa,11840,1999
rwa,11700,2001
rwa,12180,2002
rwa,13530,2003
rwa,14240,2004
rwa,17740,2005
rwa,14990,2006
stp,40600,1995
stp,36120,1996
stp,35970,1997
stp,34040,1998
stp,26900,1999
stp,31030,2000
stp,30880,2001
stp,35110,2002
stp,32400,2003
stp,35920,2004
stp,14660,2005
stp,4701,2006
sen,5106,1994
sen,6945,1995
sen,9020,1997
sen,9678,1998
sen,11380,1999
sen,10840,2000
sen,8782,2001
sen,8819,2002
sen,12650,2003
sen,10420,2004
sen,11440,2005
sen,12880,2006
sle,172.4,1996
sle,4964,1997
sle,5830,1998
sle,9346,1999
sle,9521,2001
sle,10300,2002
sle,10170,2003
sle,6598,2004
sle,4186,2005
sle,2798,2006
zaf,18.65,1990
zaf,12.52,1991
zaf,7.462,1992
zaf,33.62,1993
zaf,25.38,1994
zaf,21.08,1995
zaf,63.76,1996
zaf,53.48,1997
zaf,60.09,1998
zaf,115,1999
zaf,142.3,2000
zaf,57.6,2001
zaf,33.6,2002
zaf,28.58,2003
zaf,28.18,2004
zaf,16.18,2005
zaf,25.06,2006
swz,3974,1996
swz,2378,1997
swz,432.4,1998
swz,2925,1999
swz,4307,2000
swz,1749,2001
swz,1364,2002
swz,1040,2003
swz,851.3,2004
swz,789.9,2005
swz,331.4,2006
tgo,20460,1990
tgo,19200,1991
tgo,15220,1992
tgo,13150,1993
tgo,7495,1994
tgo,7542,1996
tgo,7566,1997
tgo,7321,1998
tgo,7903,1999
tgo,7368,2000
tgo,8945,2001
tgo,10170,2002
tgo,8300,2003
tgo,8515,2004
tgo,7015,2005
tgo,8836,2006
uga,12750,1992
uga,7401,1993
uga,10660,1994
uga,6739,1995
uga,10270,1997
uga,12240,1998
uga,12820,1999
uga,35340,2001
uga,37280,2002
uga,40530,2003
uga,42810,2004
uga,55270,2005
uga,42790,2006
tza,42030,1990
tza,33080,1991
tza,28200,1992
tza,31180,1993
tza,27470,1994
tza,8153,1995
tza,16180,1996
tza,3593,1997
tza,94580,1998
tza,1284,1999
tza,935.1,2001
tza,1037,2002
tza,31130,2003
tza,31720,2004
tza,29740,2005
tza,26780,2006
zmb,23810,1990
zmb,28040,1991
zmb,34450,1992
zmb,39940,1993
zmb,38930,1994
zmb,29620,1995
zmb,33860,1996
zmb,34040,1998
zmb,33110,1999
zmb,34470,2000
zmb,35990,2001
zmb,34590,2002
zmb,39270,2003
zmb,36190,2004
zmb,35910,2005
zmb,40450,2006
zwe,6318,1990
zwe,5390,1991
zwe,3799,1992
zwe,7753,1993
zwe,2803,1994
zwe,6461,1995
zwe,14130,1996
zwe,15170,1997
zwe,13900,1998
zwe,14410,1999
zwe,12120,2000
zwe,5333,2001
zwe,10480,2002
zwe,14070,2003
zwe,13940,2004
zwe,11410,2005
zwe,11610,2006
arg,5.095,1990
arg,2.431,1991
arg,1.92,1992
arg,2.233,1993
arg,2.756,1994
arg,3.057,1995
arg,5.807,1996
arg,1.659,1997
arg,0.939,1998
arg,0.6081,1999
arg,1.193,2000
arg,0.5768,2001
arg,0.3321,2002
arg,0.321,2003
arg,0.2997,2004
arg,0.6684,2005
arg,0.5341,2006
blz,1633,1990
blz,1737,1991
blz,2718,1992
blz,4245,1993
blz,4784,1994
blz,4396,1995
blz,3001,1996
blz,1774,1997
blz,1125,1998
blz,775.8,1999
blz,607.4,2000
blz,437.3,2001
blz,361,2002
blz,392.3,2004
blz,572.3,2005
blz,294,2006
bol,295.1,1990
bol,278.9,1991
bol,350.5,1992
bol,384.3,1993
bol,475,1994
bol,627,1995
bol,837,1996
bol,658.8,1997
bol,926.3,1998
bol,614.2,1999
bol,378.4,2000
bol,1448,2001
bol,1588,2002
bol,1792,2003
bol,1813,2004
bol,2200,2005
bol,2230,2006
bra,374.8,1990
bra,404.2,1991
bra,394.9,1992
bra,297.3,1993
bra,354.5,1994
bra,350,1995
bra,277.4,1996
bra,235.9,1997
bra,279.1,1998
bra,355.2,1999
bra,350.8,2000
bra,219.8,2001
bra,194.3,2002
bra,224.9,2003
bra,252.1,2004
bra,322.8,2005
bra,290.1,2006
col,285.3,1990
col,518.1,1991
col,508.1,1992
col,350.7,1993
col,338.6,1994
