geo,maternal_mortality_ratio_per_100000_live_births,time
afg,1640,1980
afg,1200,1990
afg,1200,1995
afg,1100,2000
afg,730,2005
afg,500,2010
afg,400,2013
alb,57.7,1980
alb,31,1990
alb,29,1995
alb,28,2000
alb,24,2005
alb,21,2010
alb,21,2013
dza,396.2,1980
dza,160,1990
dza,140,1995
dza,120,2000
dza,100,2005
dza,92,2010
dza,89,2013
and,6.2,1990
and,6.3,2000
ago,1309,1980
ago,1400,1990
ago,1400,1995
ago,1100,2000
ago,750,2005
ago,530,2010
ago,460,2013
atg,49.7,1990
atg,25.2,2000
arg,80.4,1980
arg,71,1990
arg,60,1995
arg,63,2000
arg,70,2005
arg,76,2010
arg,69,2013
arm,31,1980
arm,47,1990
arm,51,1995
arm,43,2000
arm,37,2005
arm,31,2010
arm,29,2013
aus,643,1875
aus,592,1885
aus,560,1895
aus,609,1903
aus,538,1906
aus,556.4,1907
aus,543.3,1908
aus,505.8,1909
aus,505.1,1910
aus,503.3,1911
aus,483.9,1912
aus,488.5,1913
aus,459.5,1914
aus,425.6,1915
aus,527.3,1916
aus,563.2,1917
aus,470.8,1918
aus,466.1,1919
aus,500,1920
aus,472.1,1921
aus,451.6,1922
aus,511,1923
aus,547,1924
aus,564.1,1925
aus,530.2,1926
aus,592.4,1927
aus,598.2,1928
aus,508.2,1929
aus,529.6,1930
aus,548.5,1931
aus,555.3,1932
aus,513.2,1933
aus,576.4,1934
aus,421.3,1935
aus,599.6,1936
aus,462.5,1937
aus,466.7,1938
aus,409.3,1939
aus,407.6,1940
aus,364.2,1941
aus,359.2,1942
aus,332.9,1943
aus,285,1944
aus,215.5,1945
aus,185.4,1946
aus,187,1947
aus,140.5,1948
aus,121.4,1949
aus,109.1,1950
aus,105,1951
aus,94.2,1952
aus,62.3,1953
aus,68.7,1954
aus,64,1955
aus,56.1,1956
aus,62.6,1957
aus,49.9,1958
aus,45.8,1959
aus,52.5,1960
aus,45,1961
aus,35.9,1962
aus,27.2,1963
aus,32.7,1964
aus,33.2,1965
aus,29.5,1966
aus,23.1,1967
aus,28.2,1968
aus,17.6,1969
aus,20.6,1970
aus,18.8,1971
aus,14.1,1972
aus,11.7,1973
aus,9.4,1974
aus,10.1,1975
aus,8.9,1976
aus,9.3,1977
aus,7.6,1978
aus,7.6,1979
aus,8.6,1980
aus,7,1990
aus,8,1995
aus,9,2000
aus,6,2005
aus,5,2010
aus,6,2013
aut,13.9,1980
aut,10,1990
aut,7,1995
aut,5,2000
aut,5,2005
aut,3,2010
aut,4,2013
aze,70.6,1980
aze,60,1990
aze,83,1995
aze,57,2000
aze,36,2005
aze,27,2010
aze,26,2013
bhs,119.5,1980
bhs,43,1990
bhs,44,1995
bhs,44,2000
bhs,40,2005
bhs,38,2010
bhs,37,2013
bhr,132.3,1980
bhr,21,1990
bhr,22,1995
bhr,27,2000
bhr,16,2005
bhr,24,2010
bhr,22,2013
bgd,1329,1980
bgd,550,1990
bgd,440,1995
bgd,340,2000
bgd,260,2005
bgd,200,2010
bgd,170,2013
brb,99.3,1980
brb,120,1990
brb,38,1995
brb,42,2000
brb,33,2005
brb,83,2010
brb,52,2013
blr,29.6,1980
blr,37,1990
blr,29,1995
blr,32,2000
blr,21,2005
blr,2,2010
blr,1,2013
bel,660,1851
bel,550,1855
bel,440,1858
bel,833,1864
bel,761.9,1865
bel,637.1,1866
bel,536.8,1867
bel,650.6,1868
bel,702,1869
bel,772.5,1870
bel,936.3,1871
bel,820.9,1872
bel,728.4,1874
bel,836.4,1875
bel,768.8,1876
bel,687.5,1877
bel,698.6,1878
bel,675.1,1879
bel,702.8,1880
bel,735.6,1881
bel,714.5,1882
bel,775.8,1883
bel,789.2,1884
bel,765.1,1886
bel,753.3,1887
bel,665,1888
bel,641,1889
bel,554.1,1890
bel,587.5,1891
bel,645.1,1892
bel,662,1893
bel,574.3,1894
bel,462.1,1895
bel,557.4,1896
bel,497.7,1897
bel,510.4,1898
bel,535.4,1900
bel,523.3,1901
bel,547.1,1902
bel,622,1903
bel,460.7,1904
bel,527,1905
bel,548.1,1906
bel,564.3,1907
bel,505.5,1908
bel,584.1,1909
bel,543.7,1910
bel,591.4,1911
bel,650.4,1912
bel,551.1,1913
bel,604.4,1920
bel,571.7,1921
bel,534.9,1922
bel,563.2,1923
bel,576.3,1924
bel,498.3,1925
bel,613.9,1926
bel,566.7,1927
bel,603.1,1928
bel,619.1,1929
bel,521.9,1930
bel,493.1,1931
bel,480.7,1932
bel,514.8,1933
bel,535.5,1934
bel,415.8,1935
bel,457.1,1936
bel,383.9,1937
bel,401.9,1938
bel,381.5,1939
bel,376,1940
bel,392.6,1941
bel,371.1,1942
bel,381,1943
bel,361.9,1944
bel,342.5,1945
bel,286.3,1946
bel,241,1947
bel,208.1,1948
bel,160.3,1949
bel,148.3,1950
bel,112.4,1951
bel,89.7,1952
bel,84.2,1953
bel,94.3,1954
bel,80.4,1955
bel,57.3,1956
bel,71.3,1957
bel,59.3,1958
bel,51.2,1959
bel,40.7,1960
bel,34.7,1961
bel,32.9,1962
bel,30.8,1963
bel,29.8,1964
bel,23.2,1965
bel,27.1,1966
bel,17.8,1967
bel,21.8,1968
bel,20.5,1969
bel,20.4,1970
bel,18,1971
bel,15.4,1972
bel,14.2,1973
bel,14,1974
bel,11.8,1975
bel,9.7,1976
bel,9.9,1977
bel,10.9,1978
bel,10.9,1979
bel,12.7,1980
bel,10,1990
bel,10,1995
bel,9,2000
bel,7,2005
bel,7,2010
bel,6,2013
blz,119.9,1980
blz,75,1990
blz,35,1995
blz,110,2000
blz,79,2005
blz,60,2010
blz,45,2013
ben,829.2,1980
ben,600,1990
ben,520,1995
ben,490,2000
ben,420,2005
ben,370,2010
ben,340,2013
btn,2116,1980
btn,900,1990
btn,610,1995
btn,390,2000
btn,240,2005
btn,140,2010
btn,120,2013
bol,546.6,1980
bol,510,1990
bol,420,1995
bol,330,2000
bol,270,2005
bol,230,2010
bol,200,2013
bih,58.3,1980
bih,19,1990
bih,16,1995
bih,11,2000
bih,10,2005
bih,9,2010
bih,8,2013
bwa,423.6,1980
bwa,360,1990
bwa,370,1995
bwa,390,2000
bwa,340,2005
bwa,210,2010
bwa,170,2013
bra,148.5,1980
bra,120,1990
bra,100,1995
bra,85,2000
bra,73,2005
bra,68,2010
bra,69,2013
brn,77.1,1980
brn,26,1990
brn,25,1995
brn,24,2000
brn,25,2005
brn,27,2010
brn,27,2013
bgr,36.4,1980
bgr,24,1990
bgr,22,1995
bgr,29,2000
bgr,14,2005
bgr,8,2010
bgr,5,2013
bfa,540.5,1980
bfa,770,1990
bfa,680,1995
bfa,580,2000
bfa,500,2005
bfa,440,2010
bfa,400,2013
bdi,775.9,1980
bdi,1300,1990
bdi,1300,1995
bdi,1000,2000
bdi,910,2005
bdi,820,2010
bdi,740,2013
khm,499.4,1980
khm,1200,1990
khm,860,1995
khm,540,2000
khm,320,2005
khm,200,2010
khm,170,2013
cmr,810.2,1980
cmr,720,1990
cmr,760,1995
cmr,740,2000
cmr,690,2005
cmr,640,2010
cmr,590,2013
can,7.5,1980
can,6,1990
can,7,1995
can,7,2000
can,11,2005
can,13,2010
can,11,2013
cpv,528.4,1980
cpv,230,1990
cpv,140,1995
cpv,84,2000
cpv,63,2005
cpv,58,2010
cpv,53,2013
caf,989.8,1980
caf,1200,1990
caf,1200,1995
caf,1200,2000
caf,1100,2005
caf,960,2010
caf,880,2013
tcd,978.3,1980
tcd,1700,1990
tcd,1600,1995
tcd,1500,2000
tcd,1200,2005
tcd,1100,2010
tcd,980,2013
chl,70.3,1980
chl,55,1990
chl,40,1995
chl,29,2000
chl,26,2005
chl,24,2010
chl,22,2013
chn,164.5,1980
chn,97,1990
chn,76,1995
chn,63,2000
chn,50,2005
chn,36,2010
chn,32,2013
col,115,1980
col,100,1990
col,81,1995
col,130,2000
col,97,2005
col,85,2010
col,83,2013
com,699.2,1980
com,630,1990
com,560,1995
com,480,2000
com,430,2005
com,380,2010
com,350,2013
cod,498,1980
cod,1000,1990
cod,1100,1995
cod,1100,2000
cod,930,2005
cod,810,2010
cod,730,2013
cog,897.4,1980
cog,670,1990
cog,650,1995
cog,610,2000
cog,530,2005
cog,450,2010
cog,410,2013
cri,39.2,1980
cri,38,1990
cri,45,1995
cri,44,2000
cri,46,2005
cri,33,2010
cri,38,2013
civ,589.9,1980
civ,740,1990
civ,710,1995
civ,670,2000
civ,750,2005
civ,750,2010
civ,720,2013
hrv,20.8,1980
hrv,8,1990
hrv,13,1995
hrv,11,2000
hrv,14,2005
hrv,15,2010
hrv,13,2013
cub,62.3,1980
cub,63,1990
cub,60,1995
cub,63,2000
cub,67,2005
cub,80,2010
cub,80,2013
cyp,148.2,1980
cyp,18,1990
cyp,18,1995
cyp,16,2000
cyp,13,2005
cyp,10,2010
cyp,10,2013
cze,20.2,1980
cze,15,1990
cze,9,1995
cze,7,2000
cze,7,2005
cze,5,2010
cze,5,2013
dnk,187,1921
dnk,263,1922
dnk,289,1923
dnk,244,1924
dnk,244,1925
dnk,275,1926
dnk,309,1927
dnk,271,1928
dnk,315,1929
dnk,380,1930
dnk,401,1931
dnk,347,1932
dnk,361,1933
dnk,383,1934
dnk,397,1935
dnk,382,1936
dnk,348,1937
dnk,309,1938
dnk,295,1939
dnk,239,1940
dnk,6.9,1970
