new_births_total_number_estimated,geo,time
157900,afg,1800
157900,afg,1801
157900,afg,1802
157900,afg,1803
157900,afg,1804
157900,afg,1805
157900,afg,1806
157900,afg,1807
157900,afg,1808
157900,afg,1809
157900,afg,1810
157900,afg,1811
158000,afg,1812
158100,afg,1813
158300,afg,1814
158500,afg,1815
158700,afg,1816
158900,afg,1817
159300,afg,1818
159600,afg,1819
160000,afg,1820
160400,afg,1821
160900,afg,1822
161400,afg,1823
161900,afg,1824
162500,afg,1825
163100,afg,1826
163800,afg,1827
164500,afg,1828
165200,afg,1829
166000,afg,1830
166800,afg,1831
167700,afg,1832
168500,afg,1833
169400,afg,1834
170200,afg,1835
171100,afg,1836
171900,afg,1837
172800,afg,1838
173600,afg,1839
174500,afg,1840
175400,afg,1841
176200,afg,1842
177100,afg,1843
178000,afg,1844
178900,afg,1845
179800,afg,1846
180700,afg,1847
181600,afg,1848
182500,afg,1849
183400,afg,1850
184200,afg,1851
185000,afg,1852
185700,afg,1853
186500,afg,1854
187300,afg,1855
188100,afg,1856
188900,afg,1857
189700,afg,1858
190500,afg,1859
191300,afg,1860
192100,afg,1861
193000,afg,1862
193800,afg,1863
194800,afg,1864
195700,afg,1865
196600,afg,1866
197600,afg,1867
198600,afg,1868
199700,afg,1869
200700,afg,1870
201800,afg,1871
202900,afg,1872
203900,afg,1873
205100,afg,1874
206300,afg,1875
207500,afg,1876
208700,afg,1877
210000,afg,1878
211400,afg,1879
212700,afg,1880
214100,afg,1881
215500,afg,1882
216800,afg,1883
218200,afg,1884
219600,afg,1885
221000,afg,1886
222400,afg,1887
223800,afg,1888
225300,afg,1889
226700,afg,1890
228200,afg,1891
229600,afg,1892
231100,afg,1893
232600,afg,1894
234100,afg,1895
235600,afg,1896
237100,afg,1897
238600,afg,1898
240200,afg,1899
241700,afg,1900
243300,afg,1901
244800,afg,1902
246400,afg,1903
247900,afg,1904
249500,afg,1905
251100,afg,1906
252700,afg,1907
254300,afg,1908
256000,afg,1909
257600,afg,1910
259200,afg,1911
260900,afg,1912
262800,afg,1913
264900,afg,1914
267200,afg,1915
269500,afg,1916
271900,afg,1917
274600,afg,1918
277200,afg,1919
279900,afg,1920
282500,afg,1921
285200,afg,1922
288000,afg,1923
290700,afg,1924
