geo,old_version_of_income_per_person_version_3,time
afg,644.8,1950
afg,652.8,1951
afg,663.6,1952
afg,692,1953
afg,694.2,1954
afg,695.1,1955
afg,712.7,1956
afg,698.8,1957
afg,723.4,1958
afg,729,1959
afg,739.4,1960
afg,729.9,1961
afg,726.3,1962
afg,723.2,1963
afg,720.5,1964
afg,719.6,1965
afg,709.7,1966
afg,711.9,1967
afg,719.5,1968
afg,713.1,1969
afg,709.5,1970
afg,658.7,1971
afg,630,1972
afg,684.1,1973
afg,702.9,1974
afg,720.6,1975
afg,737.4,1976
afg,669.3,1977
afg,704.2,1978
afg,688.8,1979
afg,690,1980
afg,763.6,1981
afg,832.6,1982
afg,862.5,1983
afg,846.7,1984
afg,819,1985
afg,877.7,1986
afg,725.7,1987
afg,655.6,1988
afg,639.8,1989
afg,604,1990
afg,600.6,1991
afg,552.8,1992
afg,475.8,1993
afg,426.1,1994
afg,512.4,1995
afg,526.1,1996
afg,540.9,1997
afg,556.2,1998
afg,571.3,1999
afg,565.2,2000
afg,506.6,2001
afg,618.7,2002
afg,668.4,2003
afg,660.2,2004
afg,717,2005
afg,739.9,2006
afg,799.6,2007
alb,446.1,1870
alb,597.8,1890
alb,685,1900
alb,780.3,1910
alb,810.7,1913
alb,926.3,1929
alb,1001,1950
alb,1045,1951
alb,1046,1952
alb,1089,1953
alb,1120,1954
alb,1181,1955
alb,1193,1956
alb,1269,1957
alb,1326,1958
alb,1381,1959
alb,1451,1960
alb,1463,1961
alb,1511,1962
alb,1563,1963
alb,1616,1964
alb,1675,1965
alb,1738,1966
alb,1804,1967
alb,1869,1968
alb,1932,1969
alb,2004,1970
alb,2084,1971
alb,2165,1972
alb,2273,1973
alb,2282,1974
alb,2289,1975
alb,2299,1976
alb,2309,1977
alb,2319,1978
alb,2331,1979
alb,2347,1980
alb,2360,1981
alb,2373,1982
alb,2387,1983
alb,2400,1984
alb,2413,1985
alb,2428,1986
alb,2443,1987
alb,2459,1988
alb,2477,1989
alb,2499,1990
alb,1776,1991
alb,1632,1992
alb,1775,1993
alb,1907,1994
alb,2147,1995
alb,2333,1996
alb,2087,1997
alb,2343,1998
alb,2567,1999
alb,2741,2000
alb,2925,2001
alb,3009,2002
alb,3173,2003
alb,3339,2004
alb,3501,2005
alb,3655,2006
alb,3853,2007
dza,430.3,1820
dza,715,1870
dza,1163,1913
dza,1365,1950
dza,1347,1951
dza,1376,1952
dza,1369,1953
dza,1437,1954
dza,1445,1955
dza,1553,1956
dza,1693,1957
dza,1719,1958
dza,1994,1959
dza,2088,1960
dza,1799,1961
dza,1433,1962
dza,1768,1963
dza,1806,1964
dza,1870,1965
dza,1725,1966
dza,1824,1967
dza,1977,1968
dza,2105,1969
dza,2249,1970
dza,2000,1971
dza,2350,1972
dza,2357,1973
dza,2428,1974
dza,2522,1975
dza,2608,1976
dza,2759,1977
dza,3019,1978
dza,3192,1979
dza,3152,1980
dza,3131,1981
dza,3228,1982
dza,3289,1983
dza,3363,1984
dza,3431,1985
dza,3301,1986
dza,3192,1987
dza,3043,1988
dza,3066,1989
dza,2946,1990
dza,2843,1991
dza,2822,1992
dza,2697,1993
dza,2614,1994
dza,2659,1995
dza,2710,1996
dza,2695,1997
dza,2789,1998
dza,2836,1999
dza,2865,2000
dza,2897,2001
dza,2971,2002
dza,3133,2003
dza,3247,2004
dza,3368,2005
dza,3418,2006
dza,3521,2007
asm,4058,2002
asm,4058,2003
asm,4058,2005
asm,4244,2006
and,27150,2002
and,27150,2003
and,27150,2005
and,28700,2006
and,28960,2007
ago,1052,1950
ago,1076,1951
ago,1101,1952
ago,1126,1953
ago,1079,1954
ago,1148,1955
ago,1110,1956
ago,1197,1957
ago,1241,1958
ago,1225,1959
ago,1253,1960
ago,1396,1961
ago,1335,1962
ago,1380,1963
ago,1510,1964
ago,1596,1965
ago,1660,1966
ago,1727,1967
ago,1672,1968
ago,1691,1969
ago,1768,1970
ago,1728,1971
ago,1712,1972
ago,1790,1973
ago,1711,1974
ago,1073,1975
ago,954,1976
ago,941,1977
ago,960.4,1978
ago,958.6,1979
ago,961.7,1980
ago,923.7,1981
ago,862.3,1982
ago,808.3,1983
ago,790.5,1984
ago,779.7,1985
ago,694.5,1986
ago,760.1,1987
ago,853.4,1988
ago,854,1989
ago,868.7,1990
ago,854.1,1991
ago,821.9,1992
ago,584.8,1993
ago,579.1,1994
ago,622.1,1995
ago,674.7,1996
ago,712.2,1997
ago,745.8,1998
ago,756,1999
ago,765.2,2000
ago,775.6,2001
ago,867.4,2002
ago,871.2,2003
ago,940.4,2004
ago,1102,2005
ago,1270,2006
ago,1496,2007
aia,6157,2002
aia,6157,2003
aia,6157,2004
aia,6561,2005
aia,7859,2006
aia,7989,2007
atg,1783,1950
atg,3711,1970
atg,3575,1971
atg,3769,1972
atg,3606,1973
atg,3712,1974
atg,3498,1975
atg,3170,1976
atg,3388,1977
atg,3506,1978
atg,3737,1979
atg,4037,1980
atg,4187,1981
atg,4184,1982
atg,4374,1983
atg,4800,1984
atg,5190,1985
atg,5868,1986
atg,6379,1987
atg,6749,1988
atg,7137,1989
atg,7276,1990
atg,7335,1991
atg,7271,1992
atg,7504,1993
atg,7804,1994
atg,7318,1995
atg,7650,1996
atg,7862,1997
atg,8052,1998
atg,8234,1999
atg,8366,2000
atg,8293,2001
atg,8369,2002
atg,8661,2003
atg,9156,2004
atg,9411,2005
atg,10360,2006
atg,10860,2007
arg,1311,1870
arg,2152,1890
arg,2756,1900
arg,2880,1901
arg,2717,1902
arg,2992,1903
arg,3191,1904
arg,3479,1905
arg,3518,1906
arg,3459,1907
arg,3657,1908
arg,3699,1909
arg,3822,1910
arg,3746,1911
arg,3904,1912
arg,3797,1913
arg,3302,1914
arg,3244,1915
arg,3091,1916
arg,2790,1917
arg,3248,1918
arg,3307,1919
arg,3473,1920
arg,3471,1921
arg,3636,1922
arg,3898,1923
arg,4055,1924
arg,3919,1925
arg,3994,1926
arg,4156,1927
arg,4291,1928
arg,4367,1929
arg,4080,1930
arg,3712,1931
arg,3522,1932
arg,3621,1933
arg,3845,1934
arg,3950,1935
arg,3912,1936
arg,4125,1937
arg,4072,1938
arg,4148,1939
arg,4161,1940
arg,4304,1941
arg,4284,1942
