geo,renewable_water_cu_meters_per_person,time
afg,6507,1962
afg,5875,1967
afg,5221,1972
afg,4710,1977
afg,4850,1982
afg,5448,1987
afg,4425,1992
afg,3337,1997
afg,2926,2002
afg,2492,2007
alb,24350,1962
alb,21100,1967
alb,18600,1972
alb,16630,1977
alb,15010,1982
alb,13390,1987
alb,12750,1992
alb,13450,1997
alb,13460,2002
alb,13150,2007
dza,1041,1962
dza,928,1967
dza,799.1,1972
dza,683.6,1977
dza,580.6,1982
dza,498.8,1987
dza,439.7,1992
dza,399.3,1997
dza,371.4,2002
dza,349.8,2007
ago,28430,1962
ago,25860,1967
ago,23310,1972
ago,20630,1977
ago,17630,1982
ago,15150,1987
ago,13190,1992
ago,11430,1997
ago,10040,2002
ago,8939,2007
atg,914.1,1962
atg,805.9,1967
atg,714.4,1972
atg,687.4,1977
atg,737.3,1982
atg,802.2,1987
atg,823.4,1992
atg,726.6,1997
atg,653.2,2002
atg,618.3,2007
arg,38240,1962
arg,35500,1967
arg,32870,1972
arg,30300,1977
arg,28110,1982
arg,26080,1987
arg,24300,1992
arg,22810,1997
arg,21620,2002
arg,20800,2007
arm,2251,1992
arm,2472,1997
arm,2547,2002
arm,2581,2007
aus,45710,1962
aus,40890,1967
aus,37540,1972
aus,35100,1977
aus,32710,1982
aus,30490,1987
aus,28330,1992
aus,26590,1997
aus,25100,2002
aus,23960,2007
aut,10900,1962
aut,10560,1967
aut,10320,1972
aut,10260,1977
aut,10290,1982
aut,10200,1987
aut,9885,1992
aut,9606,1997
aut,9508,2002
aut,9331,2007
aze,4652,1992
aze,4356,1997
aze,4214,2002
aze,4125,2007
bhs,164.8,1962
bhs,130.7,1967
bhs,112.3,1972
bhs,101.6,1977
bhs,91.16,1982
bhs,82.64,1987
bhs,75.45,1992
bhs,68.99,1997
bhs,64.23,2002
bhs,61.11,2007
bhr,683.6,1962
bhr,574.5,1967
bhr,489.4,1972
bhr,385.3,1977
bhr,310.3,1982
bhr,261.5,1987
bhr,220,1992
bhr,190.9,1997
bhr,170.6,2002
bhr,157,2007
bgd,21240,1962
bgd,18710,1967
bgd,16490,1972
bgd,14620,1977
bgd,12970,1982
bgd,11480,1987
bgd,10230,1992
bgd,9205,1997
bgd,8353,2002
bgd,7761,2007
brb,344.4,1962
brb,338.3,1967
brb,331.3,1972
brb,324.1,1977
brb,316.6,1982
brb,302.2,1987
brb,290.8,1992
brb,283,1997
brb,277.1,2002
brb,273.1,2007
blr,5634,1992
blr,5687,1997
blr,5829,2002
blr,5954,2007
bel,1972,1962
bel,1919,1967
bel,1887,1972
bel,1865,1977
bel,1864,1982
bel,1858,1987
bel,1831,1992
bel,1807,1997
bel,1782,2002
bel,1754,2007
blz,188900,1962
blz,163700,1967
blz,145400,1972
blz,135200,1977
blz,123200,1982
blz,108100,1987
blz,94420,1992
blz,82030,1997
blz,72180,2002
blz,65880,2007
ben,11010,1962
ben,9995,1967
ben,8886,1972
ben,7780,1977
ben,6656,1982
ben,5630,1987
ben,4734,1992
ben,3995,1997
ben,3425,2002
ben,3013,2007
btn,402900,1962
btn,351200,1967
btn,296800,1972
btn,247400,1977
btn,213500,1982
btn,185000,1987
btn,177600,1992
btn,183900,1997
btn,160800,2002
btn,146400,2007
bol,177700,1962
bol,158600,1967
bol,140800,1972
bol,124600,1977
bol,111300,1982
bol,99890,1987
bol,89120,1992
bol,79670,1997
bol,71870,2002
bol,66550,2007
bih,9458,1992
bih,10830,1997
bih,9663,2002
bih,9551,2007
bwa,21940,1962
bwa,19140,1967
bwa,16390,1972
bwa,13740,1977
bwa,11480,1982
bwa,9797,1987
bwa,8452,1992
bwa,7474,1997
bwa,6895,2002
bwa,6587,2007
bra,106600,1962
bra,92510,1967
bra,81730,1972
bra,72640,1977
bra,64620,1982
bra,58110,1987
bra,53310,1992
bra,49430,1997
bra,45930,2002
bra,43490,2007
brn,94890,1962
brn,75450,1967
brn,59940,1972
brn,48900,1977
brn,41460,1982
brn,36020,1987
brn,31260,1992
brn,27400,1997
brn,24320,2002
brn,22250,2007
bgr,2660,1962
bgr,2559,1967
bgr,2479,1972
bgr,2425,1977
bgr,2389,1982
bgr,2382,1987
bgr,2462,1992
bgr,2599,1997
bgr,2698,2002
bgr,2769,2007
bfa,2659,1962
bfa,2441,1967
bfa,2195,1972
bfa,1960,1977
bfa,1747,1982
bfa,1536,1987
bfa,1329,1992
bfa,1149,1997
bfa,987,2002
bfa,870.6,2007
bdi,4116,1962
bdi,3752,1967
bdi,3504,1972
bdi,3284,1977
bdi,2846,1982
bdi,2401,1987
bdi,2108,1992
bdi,1965,1997
bdi,1778,2002
bdi,1534,2007
khm,83560,1962
khm,73380,1967
khm,67050,1972
khm,69090,1977
khm,66780,1982
khm,54490,1987
khm,45830,1992
khm,39710,1997
khm,35910,2002
khm,33540,2007
cmr,50570,1962
cmr,45010,1967
cmr,39630,1972
cmr,34400,1977
cmr,29660,1982
cmr,25540,1987
cmr,22020,1992
cmr,19320,1997
cmr,17170,2002
cmr,15710,2007
can,155800,1962
can,141500,1967
can,129900,1972
can,122500,1977
can,116000,1982
can,109300,1987
can,102200,1992
can,97190,1997
can,92690,2002
can,89080,2007
cpv,1439,1962
cpv,1223,1967
cpv,1096,1972
cpv,1068,1977
cpv,1002,1982
cpv,901.5,1987
cpv,804.8,1992
cpv,713.7,1997
cpv,635.1,2002
cpv,578.5,2007
caf,90970,1962
caf,82150,1967
caf,74330,1972
caf,66990,1977
caf,58580,1982
caf,51470,1987
caf,45460,1992
caf,39830,1997
caf,36120,2002
caf,33860,2007
tcd,13880,1962
tcd,12470,1967
tcd,11120,1972
tcd,9924,1977
tcd,8904,1982
tcd,7741,1987
tcd,6609,1992
tcd,5633,1997
tcd,4715,2002
tcd,4108,2007
chl,114700,1962
chl,102100,1967
chl,92950,1972
chl,86050,1977
chl,80020,1982
chl,73680,1987
chl,67460,1992
chl,62180,1997
chl,58440,2002
chl,56000,2007
chn,4125,1962
chn,3667,1967
chn,3229,1972
chn,2937,1977
chn,2746,1982
chn,2560,1987
chn,2391,1992
chn,2274,1997
chn,2184,2002
chn,2130,2007
col,119200,1962
col,102800,1967
col,90250,1972
col,80480,1977
col,71970,1982
col,64850,1987
col,58860,1992
col,53790,1997
col,49560,2002
col,46800,2007
com,5364,1962
com,4748,1967
com,4141,1972
com,3497,1977
com,2894,1982
com,2482,1987
com,2153,1992
com,1867,1997
com,1626,2002
com,1466,2007
cog,788500,1962
cog,687600,1967
cog,591700,1972
cog,506500,1977
cog,434300,1982
cog,374500,1987
cog,324400,1992
cog,281600,1997
cog,247100,2002
cog,225500,2007
cri,78580,1962
cri,66890,1967
cri,58850,1972
cri,52020,1977
cri,45290,1982
cri,39500,1987
cri,34800,1992
cri,30750,1997
cri,27440,2002
cri,25550,2007
civ,21210,1962
civ,17390,1967
civ,14040,1972
civ,11220,1977
civ,8845,1982
civ,7108,1987
civ,5934,1992
civ,5117,1997
civ,4586,2002
civ,4290,2007
hrv,22990,1992
hrv,22840,1997
hrv,23410,2002
hrv,23160,2007
cub,5117,1962
cub,4615,1967
cub,4226,1972
cub,3960,1977
cub,3844,1982
cub,3708,1987
cub,3543,1992
cub,3457,1997
cub,3403,2002
cub,3383,2007
cyp,1350,1962
cyp,1310,1967
cyp,1266,1972
cyp,1286,1977
cyp,1252,1982
cyp,1181,1987
cyp,1116,1992
cyp,1036,1997
cyp,966.4,2002
cyp,922.4,2007
cze,1279,1997
cze,1289,2002
cze,1291,2007
prk,6720,1962
prk,5911,1967
prk,5131,1972
prk,4654,1977
prk,4333,1982
prk,3999,1987
prk,3713,1992
prk,3464,1997
prk,3315,2002
prk,3254,2007
cod,78850,1962
cod,68390,1967
cod,58630,1972
cod,50210,1977
cod,43120,1982
cod,37270,1987
cod,31370,1992
cod,26990,1997
cod,23960,2002
cod,21160,2007
dnk,1291,1962
dnk,1242,1967
dnk,1203,1972
dnk,1178,1977
dnk,1171,1982
dnk,1173,1987
dnk,1161,1992
dnk,1138,1997
dnk,1117,2002
dnk,1105,2007
dji,3137,1962
dji,2252,1967
dji,1652,1972
dji,1110,1977
dji,824.9,1982
dji,647.7,1987
dji,506.4,1992
dji,452.2,1997
dji,393.3,2002
dji,366.5,2007
dom,5862,1962
dom,4993,1967
dom,4318,1972
dom,3795,1977
dom,3385,1982
dom,3052,1987
dom,2770,1992
dom,2528,1997
dom,2324,2002
dom,2184,2007
ecu,90190,1962
ecu,77720,1967
ecu,67040,1972
ecu,58010,1977
ecu,50470,1982
ecu,44360,1987
ecu,39520,1992
ecu,36010,1997
ecu,33630,2002
ecu,32150,2007
egy,1956,1962
egy,1736,1967
egy,1560,1972
egy,1402,1977
egy,1252,1982
egy,1111,1987
egy,998.9,1992
egy,910.4,1997
egy,830.4,2002
egy,772.6,2007
slv,9219,1962
slv,7791,1967
slv,6613,1972
slv,5829,1977
slv,5398,1982
slv,5172,1987
