yearly_co2_emissions_1000_tonnes,geo,time
14.67,afg,1949
84.33,afg,1950
91.67,afg,1951
91.67,afg,1952
106.3,afg,1953
106.3,afg,1954
154,afg,1955
183.3,afg,1956
293.3,afg,1957
330,afg,1958
385,afg,1959
414.3,afg,1960
491.3,afg,1961
689.3,afg,1962
707.7,afg,1963
839.7,afg,1964
1008,afg,1965
1093,afg,1966
1283,afg,1967
1225,afg,1968
942.3,afg,1969
1672,afg,1970
1896,afg,1971
1533,afg,1972
1639,afg,1973
1918,afg,1974
2127,afg,1975
1987,afg,1976
2391,afg,1977
2160,afg,1978
2240,afg,1979
1760,afg,1980
1984,afg,1981
2101,afg,1982
2523,afg,1983
2831,afg,1984
3509,afg,1985
3142,afg,1986
3124,afg,1987
2867,afg,1988
2776,afg,1989
2677,afg,1990
2493,afg,1991
1426,afg,1992
1375,afg,1993
1320,afg,1994
1269,afg,1995
1199,afg,1996
1115,afg,1997
1056,afg,1998
832.3,afg,1999
781,afg,2000
645.3,afg,2001
359.3,afg,2002
583,afg,2003
733.3,afg,2004
1016,afg,2005
1338,afg,2006
1991,afg,2007
3927,afg,2008
6523,afg,2009
8235,afg,2010
7.333,alb,1933
7.333,alb,1934
18.33,alb,1935
128.3,alb,1936
297,alb,1937
348.3,alb,1938
432.7,alb,1939
693,alb,1940
627,alb,1941
744.3,alb,1942
462,alb,1943
154,alb,1944
121,alb,1945
484,alb,1946
927.7,alb,1947
704,alb,1948
1016,alb,1949
297,alb,1950
403.3,alb,1951
374,alb,1952
414.3,alb,1953
502.3,alb,1954
663.7,alb,1955
839.7,alb,1956
1507,alb,1957
1203,alb,1958
1445,alb,1959
2024,alb,1960
2281,alb,1961
2464,alb,1962
2083,alb,1963
2017,alb,1964
2174,alb,1965
2552,alb,1966
2680,alb,1967
3073,alb,1968
3245,alb,1969
3744,alb,1970
4352,alb,1971
5643,alb,1972
5291,alb,1973
4345,alb,1974
4594,alb,1975
4950,alb,1976
5720,alb,1977
6494,alb,1978
7586,alb,1979
5170,alb,1980
7341,alb,1981
7308,alb,1982
7630,alb,1983
7825,alb,1984
7880,alb,1985
8056,alb,1986
7443,alb,1987
7326,alb,1988
8983,alb,1989
7487,alb,1990
3971,alb,1991
2387,alb,1992
2343,alb,1993
1929,alb,1994
2086,alb,1995
2017,alb,1996
1544,alb,1997
1753,alb,1998
2985,alb,1999
3021,alb,2000
3223,alb,2001
3751,alb,2002
4294,alb,2003
4165,alb,2004
4253,alb,2005
3865,alb,2006
4055,alb,2007
4129,alb,2008
3879,alb,2009
4283,alb,2010
0,dza,1900
0,dza,1901
0,dza,1902
0,dza,1903
0,dza,1904
0,dza,1905
3.667,dza,1916
7.333,dza,1917
18.33,dza,1918
18.33,dza,1919
22,dza,1920
25.67,dza,1921
25.67,dza,1922
14.67,dza,1923
29.33,dza,1924
33,dza,1925
40.33,dza,1926
58.67,dza,1927
73.33,dza,1928
80.67,dza,1929
84.33,dza,1930
99,dza,1931
113.7,dza,1932
121,dza,1933
139.3,dza,1934
132,dza,1935
51.33,dza,1936
69.67,dza,1937
33,dza,1938
161.3,dza,1939
238.3,dza,1940
311.7,dza,1941
498.7,dza,1942
469.3,dza,1943
498.7,dza,1944
616,dza,1945
762.7,dza,1946
744.3,dza,1947
803,dza,1948
909.3,dza,1949
3788,dza,1950
4136,dza,1951
3894,dza,1952
4004,dza,1953
4158,dza,1954
4613,dza,1955
5001,dza,1956
5544,dza,1957
5221,dza,1958
5665,dza,1959
6160,dza,1960
6065,dza,1961
5669,dza,1962
5427,dza,1963
5650,dza,1964
6596,dza,1965
8430,dza,1966
8441,dza,1967
9060,dza,1968
11280,dza,1969
15070,dza,1970
18670,dza,1971
28350,dza,1972
38310,dza,1973
31900,dza,1974
32030,dza,1975
39170,dza,1976
41890,dza,1977
62520,dza,1978
45620,dza,1979
66510,dza,1980
46430,dza,1981
39270,dza,1982
52620,dza,1983
71100,dza,1984
72780,dza,1985
76270,dza,1986
84110,dza,1987
83940,dza,1988
80040,dza,1989
78890,dza,1990
81450,dza,1991
82250,dza,1992
82470,dza,1993
86340,dza,1994
94680,dza,1995
96560,dza,1996
88190,dza,1997
107100,dza,1998
92110,dza,1999
87920,dza,2000
84290,dza,2001
90850,dza,2002
92520,dza,2003
89480,dza,2004
107100,dza,2005
104000,dza,2006
112300,dza,2007
114600,dza,2008
124600,dza,2009
123500,dza,2010
128200,dza,2011
138100,dza,2012
407,and,1995
425.3,and,1996
458.3,and,1997
484,and,1998
513.3,and,1999
524.3,and,2000
524.3,and,2001
531.7,and,2002
535.3,and,2003
564.7,and,2004
