file,concept,geo,year
ddf--datapoints--child_mortality_rate_per1000--by--country--year.csv,child_mortality_rate_per1000,un_state,year
ddf--datapoints--child_mortality_rate_per1000--by--country--year.csv,child_mortality_rate_per1000,country,year
ddf--datapoints--child_mortality_rate_percent--by--country--year.csv,child_mortality_rate_percent,un_state,year
ddf--datapoints--child_mortality_rate_percent--by--country--year.csv,child_mortality_rate_percent,country,year
ddf--datapoints--child_mortality_rate_percent--by--global--year.csv,child_mortality_rate_percent,global,year
ddf--datapoints--child_mortality_rate_percent--by--world_4region--year.csv,child_mortality_rate_percent,world_4region,year
ddf--datapoints--fertility_rate--by--country--year.csv,fertility_rate,un_state,year
ddf--datapoints--fertility_rate--by--country--year.csv,fertility_rate,country,year
ddf--datapoints--fertility_rate--by--global--year.csv,fertility_rate,global,year
ddf--datapoints--fertility_rate--by--world_4region--year.csv,fertility_rate,world_4region,year
ddf--datapoints--gdp_const_ppp2011_dollar--by--country--year.csv,gdp_const_ppp2011_dollar,un_state,year
ddf--datapoints--gdp_const_ppp2011_dollar--by--country--year.csv,gdp_const_ppp2011_dollar,country,year
ddf--datapoints--gdp_const_ppp2011_dollar--by--global--year.csv,gdp_const_ppp2011_dollar,global,year
ddf--datapoints--gdp_const_ppp2011_dollar--by--world_4region--year.csv,gdp_const_ppp2011_dollar,world_4region,year
ddf--datapoints--gdp_p_cap_const_ppp2011_dollar--by--country--year.csv,gdp_p_cap_const_ppp2011_dollar,un_state,year
ddf--datapoints--gdp_p_cap_const_ppp2011_dollar--by--country--year.csv,gdp_p_cap_const_ppp2011_dollar,country,year
ddf--datapoints--gdp_p_cap_const_ppp2011_dollar--by--global--year.csv,gdp_p_cap_const_ppp2011_dollar,global,year
ddf--datapoints--gdp_p_cap_const_ppp2011_dollar--by--world_4region--year.csv,gdp_p_cap_const_ppp2011_dollar,world_4region,year
ddf--datapoints--life_expectancy--by--country--year.csv,life_expectancy,un_state,year
ddf--datapoints--life_expectancy--by--country--year.csv,life_expectancy,country,year
ddf--datapoints--life_expectancy--by--global--year.csv,life_expectancy,global,year
ddf--datapoints--life_expectancy--by--world_4region--year.csv,life_expectancy,world_4region,year
ddf--datapoints--population--by--country--year.csv,population,un_state,year
ddf--datapoints--population--by--country--year.csv,population,country,year
ddf--datapoints--population--by--global--year.csv,population,global,year
ddf--datapoints--population--by--world_4region--year.csv,population,world_4region,year
ddf--entities--geo--country.csv,is--country,geo,
ddf--entities--geo--country.csv,is--un_state,geo,
ddf--entities--geo--country.csv,world_4region,un_state,
ddf--entities--geo--country.csv,latitude,un_state,
ddf--entities--geo--country.csv,longitude,un_state,
ddf--entities--geo--country.csv,name,un_state,
ddf--entities--geo--country.csv,name,country,
ddf--entities--geo--country.csv,world_4region,country,
ddf--entities--geo--country.csv,latitude,country,
ddf--entities--geo--country.csv,longitude,country,
ddf--entities--geo--world_4region.csv,is--world_4region,geo,
ddf--entities--geo--world_4region.csv,name,world_4region,
ddf--entities--geo--world_4region.csv,name_short,world_4region,
ddf--entities--geo--world_4region.csv,name_long,world_4region,
ddf--entities--geo--world_4region.csv,description,world_4region,
ddf--entities--geo--world_4region.csv,latitude,world_4region,
ddf--entities--geo--world_4region.csv,longitude,world_4region,
ddf--entities--geo--world_4region.csv,color,world_4region,
ddf--entities--geo--global.csv,is--global,geo,
ddf--entities--geo--global.csv,name,global,
ddf--entities--geo--global.csv,latitude,global,
ddf--entities--geo--global.csv,longitude,global,
