@@,geo,time,improved_water_source_overall_access_percent,changes(%)
->,afg,1991,2->21.2,960.00
->,afg,1992,2->21.3,965.00
->,afg,1993,2->21.4,970.00
->,afg,1994,2->21.4,970.00
->,afg,1995,2->21.5,975.00
->,afg,1996,6->23.3,288.33
->,afg,1997,10->25,150.00
->,afg,1998,14->26.8,91.43
->,afg,1999,18->28.5,58.33
->,afg,2000,22->30.3,37.73
->,afg,2001,26->32,23.08
->,afg,2002,30->33.8,12.67
->,afg,2006,46->40.8,11.30
->,afg,2007,50->42.6,14.80
->,afg,2008,50->44.4,11.20
+++,afg,2011,49.8,
+++,afg,2012,51.6,
+++,afg,2013,53.4,
+++,afg,2014,55.2,
+++,afg,2015,55.3,
---,alb,1990,97,
---,alb,1991,97,
---,alb,1992,98,
---,alb,1993,98,
+++,alb,2011,95.5,
+++,alb,2012,95.4,
+++,alb,2013,95.2,
+++,alb,2014,95.1,
+++,alb,2015,95.1,
+++,dza,2011,85.3,
+++,dza,2012,84.9,
+++,dza,2013,84.5,
+++,dza,2014,84,
+++,dza,2015,83.6,
+++,asm,1990,93.6,
+++,asm,1991,94,
+++,asm,1992,94.4,
+++,asm,1993,94.8,
+++,asm,1994,95.3,
+++,asm,1995,95.7,
+++,asm,1996,96.1,
+++,asm,1997,96.5,
+++,asm,1998,96.9,
+++,asm,1999,97.4,
+++,asm,2000,97.8,
+++,asm,2001,98.2,
+++,asm,2002,98.6,
+++,asm,2003,99,
+++,asm,2004,99.4,
+++,asm,2005,99.9,
+++,asm,2006,100,
+++,asm,2007,100,
+++,asm,2008,100,
+++,asm,2009,100,
+++,asm,2010,100,
+++,asm,2011,100,
+++,asm,2012,100,
+++,asm,2013,100,
+++,asm,2014,100,
+++,asm,2015,100,
...,...,...,...,
+++,and,2011,100,
+++,and,2012,100,
+++,and,2013,100,
+++,and,2014,100,
+++,and,2015,100,
+++,ago,2011,47.5,
+++,ago,2012,47.8,
+++,ago,2013,48.2,
+++,ago,2014,48.6,
+++,ago,2015,49,
+++,atg,1990,97.4,
+++,atg,1991,97.5,
---,aia,1992,60,
---,aia,1993,60,
---,aia,1994,60,
---,aia,1995,60,
---,aia,1996,60,
---,aia,1997,60,
---,aia,1998,60,
---,aia,1999,60,
---,aia,2000,60,
---,aia,2001,60,
---,aia,2002,60,
---,aia,2003,60,
---,aia,2004,60,
+++,atg,2005,97.8,
+++,atg,2006,97.8,
+++,atg,2007,97.9,
+++,atg,2008,97.9,
+++,atg,2009,97.9,
+++,atg,2010,97.9,
+++,atg,2011,97.9,
+++,atg,2012,97.9,
+++,atg,2013,97.9,
+++,atg,2014,97.9,
+++,atg,2015,97.9,
+++,arg,2008,97.9,
+++,arg,2009,98.1,
+++,arg,2010,98.2,
+++,arg,2011,98.4,
+++,arg,2012,98.6,
+++,arg,2013,98.8,
+++,arg,2014,98.9,
+++,arg,2015,99.1,
+++,arm,2011,99,
+++,arm,2012,99.7,
+++,arm,2013,99.9,
+++,arm,2014,100,
+++,arm,2015,100,
+++,abw,2011,97.8,
+++,abw,2012,98.1,
+++,abw,2013,98.1,
+++,abw,2014,98.1,
+++,abw,2015,98.1,
...,...,...,...,
+++,aus,2011,100,
+++,aus,2012,100,
+++,aus,2013,100,
+++,aus,2014,100,
+++,aus,2015,100,
...,...,...,...,
+++,aut,2011,100,
+++,aut,2012,100,
+++,aut,2013,100,
+++,aut,2014,100,
+++,aut,2015,100,
+++,aze,2011,83.6,
+++,aze,2012,84.5,
+++,aze,2013,85.3,
+++,aze,2014,86.2,
+++,aze,2015,87,
---,bhs,1992,96,
+++,bhs,2005,97.3,
+++,bhs,2006,97.5,
+++,bhs,2007,97.6,
+++,bhs,2008,97.8,
+++,bhs,2009,97.9,
+++,bhs,2010,98.1,
+++,bhs,2011,98.2,
+++,bhs,2012,98.4,
+++,bhs,2013,98.4,
+++,bhs,2014,98.4,
+++,bhs,2015,98.4,
+++,bhr,1990,94.9,
+++,bhr,1991,94.9,
+++,bhr,1992,94.9,
+++,bhr,1993,94.9,
+++,bhr,1994,95.4,
+++,bhr,1995,96,
+++,bhr,1996,96.6,
+++,bhr,1997,97.1,
+++,bhr,1998,97.7,
+++,bhr,1999,98.3,
+++,bhr,2000,98.9,
+++,bhr,2001,99.4,
+++,bhr,2002,100,
+++,bhr,2003,100,
+++,bhr,2004,100,
+++,bhr,2005,100,
+++,bhr,2006,100,
+++,bhr,2007,100,
+++,bhr,2008,100,
+++,bhr,2009,100,
+++,bhr,2010,100,
+++,bhr,2011,100,
+++,bhr,2012,100,
+++,bhr,2013,100,
+++,bhr,2014,100,
+++,bhr,2015,100,
->,bgd,1990,77->68.1,11.56
->,bgd,1991,77->68.9,10.52
+++,bgd,2011,84.2,
+++,bgd,2012,84.8,
+++,bgd,2013,85.5,
+++,bgd,2014,86.2,
+++,bgd,2015,86.9,
+++,brb,2011,99.3,
+++,brb,2012,99.4,
+++,brb,2013,99.6,
+++,brb,2014,99.7,
+++,brb,2015,99.7,
+++,blr,2011,99.6,
+++,blr,2012,99.7,
+++,blr,2013,99.7,
+++,blr,2014,99.7,
+++,blr,2015,99.7,
...,...,...,...,
+++,bel,2011,100,
+++,bel,2012,100,
+++,bel,2013,100,
+++,bel,2014,100,
+++,bel,2015,100,
+++,blz,2011,98.5,
+++,blz,2012,99.3,
+++,blz,2013,99.5,
+++,blz,2014,99.5,
+++,blz,2015,99.5,
+++,ben,2011,75.3,
+++,ben,2012,76.2,
+++,ben,2013,77,
+++,ben,2014,77.8,
+++,ben,2015,77.9,
+++,btn,1990,72,
+++,btn,1991,72.2,
+++,btn,1992,72.4,
+++,btn,1993,73.9,
+++,btn,1994,75.4,
+++,btn,1995,76.9,
+++,btn,1996,78.3,
+++,btn,2011,97,
+++,btn,2012,98,
+++,btn,2013,99.1,
+++,btn,2014,100,
+++,btn,2015,100,
+++,bol,2011,87.7,
+++,bol,2012,88.5,
+++,bol,2013,89.2,
+++,bol,2014,90,
+++,bol,2015,90,
+++,bih,2011,99.4,
+++,bih,2012,99.5,
+++,bih,2013,99.7,
+++,bih,2014,99.9,
+++,bih,2015,99.9,
+++,bwa,2011,96,
+++,bwa,2012,96.1,
+++,bwa,2013,96.2,
+++,bwa,2014,96.2,
+++,bwa,2015,96.2,
+++,bra,2011,97.2,
+++,bra,2012,97.5,
+++,bra,2013,97.8,
+++,bra,2014,98.1,
+++,bra,2015,98.1,
---,vgb,1990,98,
---,vgb,1991,98,
---,vgb,1992,98,
---,vgb,1993,98,
---,vgb,1994,98,
---,vgb,2008,98,
---,vgb,2009,98,
---,vgb,2010,98,
+++,bgr,2011,99.5,
+++,bgr,2012,99.5,
+++,bgr,2013,99.5,
+++,bgr,2014,99.4,
+++,bgr,2015,99.4,
+++,bfa,2011,80,
+++,bfa,2012,81.7,
+++,bfa,2013,81.9,
+++,bfa,2014,82.1,
+++,bfa,2015,82.3,
+++,bdi,2011,75,
+++,bdi,2012,75.3,
+++,bdi,2013,75.5,
+++,bdi,2014,75.8,
+++,bdi,2015,75.9,
+++,cpv,2011,89.6,
+++,cpv,2012,90.3,
+++,cpv,2013,91,
+++,cpv,2014,91.7,
+++,cpv,2015,91.7,
->,khm,1990,31->23.4,24.52
->,khm,1991,31->23.5,24.19
->,khm,1992,32->23.5,26.56
->,khm,1993,32->25.8,19.37
->,khm,1994,32->28,12.50
->,khm,1995,34->30.3,10.88
+++,khm,2011,66.5,
+++,khm,2012,68.8,
+++,khm,2013,71.1,
