@@,geo,time,improved_water_source_urban_access_percent,changes(%)
->,afg,1991,6->43,616.67
->,afg,1992,6->43,616.67
->,afg,1993,6->43,616.67
->,afg,1994,6->43,616.67
->,afg,1995,6->43,616.67
->,afg,1996,12->44.8,273.33
->,afg,1997,18->46.7,159.44
->,afg,1998,24->48.5,102.08
->,afg,1999,30->50.4,68.00
->,afg,2000,36->52.2,45.00
->,afg,2001,42->54.1,28.81
->,afg,2002,48->55.9,16.46
->,afg,2006,72->63.3,12.08
->,afg,2007,78->65.2,16.41
->,afg,2008,78->67,14.10
->,afg,2009,78->68.9,11.67
+++,afg,2011,72.6,
+++,afg,2012,74.5,
+++,afg,2013,76.3,
+++,afg,2014,78.2,
+++,afg,2015,78.2,
...,...,...,...,
+++,alb,2011,96.1,
+++,alb,2012,95.7,
+++,alb,2013,95.3,
+++,alb,2014,94.9,
+++,alb,2015,94.9,
+++,dza,2011,86.7,
+++,dza,2012,86.1,
+++,dza,2013,85.5,
+++,dza,2014,84.9,
+++,dza,2015,84.3,
+++,asm,1990,93.6,
+++,asm,1991,94,
+++,asm,1992,94.4,
+++,asm,1993,94.8,
+++,asm,1994,95.3,
+++,asm,1995,95.7,
+++,asm,1996,96.1,
+++,asm,1997,96.5,
+++,asm,1998,96.9,
+++,asm,1999,97.4,
+++,asm,2000,97.8,
+++,asm,2001,98.2,
+++,asm,2002,98.6,
+++,asm,2003,99,
+++,asm,2004,99.4,
+++,asm,2005,99.9,
+++,asm,2006,100,
+++,asm,2007,100,
+++,asm,2008,100,
+++,asm,2009,100,
+++,asm,2010,100,
+++,asm,2011,100,
+++,asm,2012,100,
+++,asm,2013,100,
+++,asm,2014,100,
+++,asm,2015,100,
...,...,...,...,
+++,and,2011,100,
+++,and,2012,100,
+++,and,2013,100,
+++,and,2014,100,
+++,and,2015,100,
->,ago,1990,46->52.1,13.26
->,ago,1991,46->52.1,13.26
->,ago,1992,46->52.1,13.26
->,ago,1993,46->52.1,13.26
->,ago,1994,47->53.3,13.40
->,ago,1995,47->54.5,15.96
->,ago,1996,48->55.6,15.83
->,ago,1997,49->56.8,15.92
->,ago,1998,50->57.9,15.80
->,ago,1999,51->59.1,15.88
->,ago,2000,52->60.3,15.96
->,ago,2001,53->61.4,15.85
->,ago,2002,54->62.6,15.93
->,ago,2003,54->63.8,18.15
->,ago,2004,55->64.9,18.00
->,ago,2005,56->66.1,18.04
->,ago,2006,57->67.2,17.89
->,ago,2007,58->68.4,17.93
->,ago,2008,59->69.6,17.97
->,ago,2009,60->70.7,17.83
->,ago,2010,60->71.9,19.83
+++,ago,2011,73,
+++,ago,2012,74.2,
+++,ago,2013,75.4,
+++,ago,2014,75.4,
+++,ago,2015,75.4,
+++,atg,1990,97.4,
+++,atg,1991,97.5,
---,aia,1992,60,
---,aia,1993,60,
---,aia,1994,60,
---,aia,1995,60,
---,aia,1996,60,
---,aia,1997,60,
---,aia,1998,60,
---,aia,1999,60,
---,aia,2000,60,
---,aia,2001,60,
---,aia,2002,60,
---,aia,2003,60,
---,aia,2004,60,
+++,atg,2011,97.9,
+++,atg,2012,97.9,
+++,atg,2013,97.9,
+++,atg,2014,97.9,
+++,atg,2015,97.9,
+++,arg,2011,98.8,
+++,arg,2012,98.8,
+++,arg,2013,98.9,
+++,arg,2014,98.9,
+++,arg,2015,99,
+++,arm,2011,99.7,
+++,arm,2012,99.8,
+++,arm,2013,99.9,
+++,arm,2014,100,
+++,arm,2015,100,
+++,abw,2011,97.8,
+++,abw,2012,98.1,
+++,abw,2013,98.1,
+++,abw,2014,98.1,
+++,abw,2015,98.1,
...,...,...,...,
+++,aus,2011,100,
+++,aus,2012,100,
+++,aus,2013,100,
+++,aus,2014,100,
+++,aus,2015,100,
...,...,...,...,
+++,aut,2011,100,
+++,aut,2012,100,
+++,aut,2013,100,
+++,aut,2014,100,
+++,aut,2015,100,
+++,aze,2011,93,
+++,aze,2012,93.4,
+++,aze,2013,93.8,
+++,aze,2014,94.3,
+++,aze,2015,94.7,
---,bhs,1990,98,
---,bhs,1991,98,
---,bhs,1992,98,
+++,bhs,2011,98.2,
+++,bhs,2012,98.4,
+++,bhs,2013,98.4,
+++,bhs,2014,98.4,
+++,bhs,2015,98.4,
...,...,...,...,
+++,bhr,2011,100,
+++,bhr,2012,100,
+++,bhr,2013,100,
+++,bhr,2014,100,
+++,bhr,2015,100,
+++,bgd,2011,85.6,
+++,bgd,2012,85.9,
+++,bgd,2013,86.1,
+++,bgd,2014,86.3,
+++,bgd,2015,86.5,
+++,brb,2011,99.3,
+++,brb,2012,99.4,
+++,brb,2013,99.6,
+++,brb,2014,99.7,
+++,brb,2015,99.7,
+++,blr,2011,99.8,
+++,blr,2012,99.9,
+++,blr,2013,99.9,
+++,blr,2014,99.9,
+++,blr,2015,99.9,
...,...,...,...,
+++,bel,2011,100,
+++,bel,2012,100,
+++,bel,2013,100,
+++,bel,2014,100,
+++,bel,2015,100,
+++,blz,2011,97.9,
+++,blz,2012,98.4,
+++,blz,2013,98.9,
+++,blz,2014,98.9,
+++,blz,2015,98.9,
+++,ben,2011,83.7,
+++,ben,2012,84.2,
+++,ben,2013,84.7,
+++,ben,2014,85.2,
+++,ben,2015,85.2,
+++,btn,2011,99.6,
+++,btn,2012,99.7,
+++,btn,2013,99.9,
+++,btn,2014,100,
+++,btn,2015,100,
+++,bol,2011,95.9,
+++,bol,2012,96.2,
+++,bol,2013,96.4,
+++,bol,2014,96.7,
+++,bol,2015,96.7,
+++,bih,2011,99.6,
+++,bih,2012,99.6,
+++,bih,2013,99.7,
+++,bih,2014,99.7,
+++,bih,2015,99.7,
+++,bwa,2011,99.2,
+++,bwa,2012,99.2,
+++,bwa,2013,99.2,
+++,bwa,2014,99.2,
+++,bwa,2015,99.2,
+++,bra,2011,99.5,
+++,bra,2012,99.6,
+++,bra,2013,99.8,
+++,bra,2014,100,
+++,bra,2015,100,
---,vgb,1990,98,
---,vgb,1991,98,
---,vgb,1992,98,
---,vgb,1993,98,
---,vgb,1994,98,
---,vgb,2008,98,
---,vgb,2009,98,
---,vgb,2010,98,
...,...,...,...,
+++,bgr,2011,99.7,
+++,bgr,2012,99.6,
+++,bgr,2013,99.6,
+++,bgr,2014,99.6,
+++,bgr,2015,99.6,
...,...,...,...,
+++,bfa,2011,96.4,
+++,bfa,2012,97.5,
+++,bfa,2013,97.5,
+++,bfa,2014,97.5,
+++,bfa,2015,97.5,
->,bdi,2006,84->92.7,10.36
->,bdi,2007,83->92.5,11.45
->,bdi,2008,83->92.3,11.20
->,bdi,2009,83->92.1,10.96
->,bdi,2010,83->91.9,10.72
+++,bdi,2011,91.7,
+++,bdi,2012,91.5,
+++,bdi,2013,91.3,
+++,bdi,2014,91.1,
+++,bdi,2015,91.1,
+++,cpv,2011,91.9,
+++,cpv,2012,92.6,
+++,cpv,2013,93.3,
+++,cpv,2014,94,
+++,cpv,2015,94,
->,khm,1990,48->33.8,29.58
->,khm,1991,48->33.8,29.58
->,khm,1992,48->33.8,29.58
->,khm,1993,48->36.7,23.54
->,khm,1994,48->39.6,17.50
->,khm,1995,50->42.5,15.00
->,khm,1996,53->45.4,14.34
->,khm,1997,55->48.3,12.18
->,khm,1998,58->51.2,11.72
+++,khm,2011,89,
+++,khm,2012,91.9,
+++,khm,2013,94.8,
+++,khm,2014,97.8,
+++,khm,2015,100,
+++,cmr,2011,93.4,
+++,cmr,2012,94.1,
+++,cmr,2013,94.8,
+++,cmr,2014,94.8,
+++,cmr,2015,94.8,
...,...,...,...,
