@@,geo,time,income_share_of_2nd_richest_20percent,changes(%)
+++,alb,1996,23.29,
---,alb,1997,23.16,
+++,alb,2008,22.23,
+++,alb,2012,22.81,
---,dza,1988,20.67,
---,dza,1995,22.81,
+++,ago,2008,21.94,
+++,arg,1987,21.5,
+++,arg,1991,20.41,
+++,arg,1993,22.01,
+++,arg,1994,21.6,
+++,arg,1995,20.76,
+++,arg,1997,21.35,
+++,arg,1999,21.27,
+++,arg,2000,21.32,
+++,arg,2001,21.06,
+++,arg,2003,20.94,
+++,arg,2004,21.7,
+++,arg,2006,21.99,
+++,arg,2007,22.03,
+++,arg,2008,22.36,
+++,arg,2009,22.62,
+++,arg,2010,22.42,
+++,arg,2011,22.43,
+++,arg,2012,22.88,
+++,arg,2013,23.03,
+++,arg,2014,22.88,
+++,arm,2001,20.86,
+++,arm,2004,20.19,
+++,arm,2005,20.22,
+++,arm,2006,21.19,
+++,arm,2007,22.11,
+++,arm,2008,21.98,
+++,arm,2009,22.05,
+++,arm,2010,21.38,
+++,arm,2011,21.56,
+++,arm,2012,22.04,
+++,arm,2013,21.99,
+++,arm,2014,21.97,
+++,aus,1981,23.37,
+++,aus,1985,23.05,
+++,aus,1989,23.17,
+++,aus,1995,23.1,
+++,aus,2001,23.24,
+++,aus,2003,23.21,
+++,aus,2008,22.52,
+++,aus,2010,22.79,
+++,aut,2004,22.47,
+++,aut,2005,22.78,
+++,aut,2006,22.58,
+++,aut,2007,22.86,
+++,aut,2008,22.59,
+++,aut,2009,22.61,
+++,aut,2010,22.89,
+++,aut,2011,23.03,
+++,aut,2012,23.01,
---,aus,1994,23.57,
---,aut,2000,22.88,
+++,aze,2002,21.74,
+++,aze,2003,22.16,
+++,aze,2004,21.58,
+++,aze,2008,22,
->,bgd,1992->1983,22.25,
+++,bgd,1985,21.66,
+++,bgd,1988,21.63,
+++,bgd,1991,22.04,
+++,bgd,1995,20.63,
---,bgd,1996,21.08,
+++,bgd,2010,21.23,
+++,blr,1995,23.06,
---,blr,1997,22.57,
+++,blr,1999,23.16,
+++,blr,2001,22.66,
+++,blr,2003,22.84,
+++,blr,2004,22.86,
+++,blr,2006,22.89,
+++,blr,2007,22.5,
+++,blr,2008,22.9,
+++,blr,2009,22.42,
+++,blr,2010,22.78,
+++,blr,2011,22.85,
+++,blr,2012,22.52,
+++,blr,2013,22.47,
+++,blr,2014,22.36,
+++,bel,2004,21.89,
+++,bel,2005,22.28,
+++,bel,2006,22.77,
+++,bel,2007,22.39,
+++,bel,2008,22.82,
+++,bel,2009,22.76,
+++,bel,2010,22.56,
+++,bel,2011,22.79,
+++,bel,2012,22.8,
+++,blz,1993,16.18,
+++,blz,1994,15.24,
+++,blz,1995,19.66,
+++,blz,1996,17.59,
+++,blz,1997,16.62,
+++,blz,1998,19.13,
+++,blz,1999,19.4,
+++,ben,2011,20.21,
+++,btn,2007,22.15,
+++,btn,2012,21.41,
+++,bol,1990,21.96,
+++,bol,1992,19.68,
+++,bol,2000,18.53,
+++,bol,2001,19.16,
+++,bol,2004,18.77,
+++,bol,2006,19.8,
+++,bol,2007,19.6,
+++,bol,2008,20.7,
+++,bol,2009,21.36,
->,bol,1991->2011,22.16,
+++,bol,2012,22.7,
+++,bol,2013,21.67,
+++,bol,2014,21.27,
+++,bih,2007,22.98,
+++,bih,2011,22.77,
->,bwa,1986->1985,19.21,
+++,bwa,1993,16.43,
+++,bwa,2002,15.85,
+++,bwa,2009,16.89,
---,bwa,1994,16.42,
---,bwa,1995,16.42,
+++,bra,2004,18.55,
+++,bra,2006,18.59,
+++,bra,2008,19.09,
+++,bra,2009,19.22,
+++,bra,2011,19.36,
+++,bra,2012,19.34,
+++,bra,2013,19.31,
+++,bra,2014,19.58,
+++,bgr,1992,22.25,
+++,bgr,1995,21.28,
+++,bgr,2006,22.95,
+++,bgr,2007,23,
+++,bgr,2008,22.56,
+++,bgr,2009,22.78,
+++,bgr,2010,22.7,
+++,bgr,2011,22.68,
+++,bgr,2012,22.35,
+++,bfa,2009,20.9,
+++,bfa,2014,20.64,
+++,cpv,2007,19.97,
+++,khm,2008,21.38,
+++,khm,2009,21.41,
+++,khm,2010,21,
+++,khm,2011,21.06,
+++,khm,2012,21.78,
+++,cmr,2007,21.54,
+++,cmr,2014,21.63,
+++,can,1981,23.18,
+++,can,1987,23.06,
+++,can,1991,23.1,
+++,can,1994,23.05,
+++,can,1997,23.09,
+++,can,1998,22.87,
+++,can,2004,22.91,
+++,can,2007,22.63,
+++,can,2010,22.75,
+++,caf,1992,18.53,
---,caf,1993,18.54,
+++,caf,2008,17.71,
+++,tcd,2011,21.83,
+++,chl,1992,17.86,
+++,chl,2009,18.33,
+++,chl,2011,18.42,
+++,chl,2013,18.33,
+++,chn,2008,22.23,
+++,chn,2012,22.25,
+++,col,1988,20,
+++,col,1989,19.45,
+++,col,1991,20.44,
+++,col,1992,19.41,
---,col,1995,17.91,
+++,col,2001,18.12,
+++,col,2002,18.04,
+++,col,2004,18.05,
+++,col,2005,18.37,
+++,col,2008,18.88,
+++,col,2009,18.75,
+++,col,2010,18.72,
+++,col,2011,19.15,
+++,col,2012,19.66,
+++,col,2013,19.55,
+++,col,2014,19.31,
---,col,2006,19.11,
+++,cod,2004,21.59,
+++,cod,2012,21.62,
---,cod,2006,20.94,
+++,cog,2011,20.67,
+++,cri,1989,22.39,
+++,cri,1991,22.09,
+++,cri,1992,22,
+++,cri,1994,21.4,
+++,cri,1995,22,
+++,cri,1997,21.76,
+++,cri,1999,21.13,
+++,cri,2002,20.24,
+++,cri,2004,21.01,
+++,cri,2006,20.28,
+++,cri,2007,19.75,
+++,cri,2008,20.22,
