@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,afg,1970,1->1.36,36.00
->,ago,1970,2.3->2.77,20.43
+++,and,1970,8.35,
->,arm,1970,7.8->6.97,10.64
->,atg,1970,8->7.09,11.38
->,aus,1970,9.9->8.76,11.52
->,aut,1970,9.3->8.36,10.11
->,bdi,1970,1.5->1.84,22.67
->,ben,1970,1.7->1.98,16.47
->,bfa,1970,0.6->0.95,58.33
->,blr,1970,8.6->7.63,11.28
->,blz,1970,5.4->4.36,19.26
+++,brb,1970,4.61,
+++,brn,1970,8.65,
+++,btn,1970,2.46,
->,bwa,1970,2->2.22,11.00
->,caf,1970,2.2->2.84,29.09
->,chn,1970,4.5->5.37,19.33
->,civ,1970,2->2.43,21.50
->,cod,1970,4.3->3.79,11.86
->,com,1970,1.8->2.8,55.56
->,cpv,1970,2.1->2.61,24.29
->,cub,1970,6.9->6.2,10.14
->,cze,1970,10.8->8.67,19.72
->,deu,1970,9->7.83,13.00
->,dji,1970,2.8->3.41,21.79
+++,dma,1970,5.34,
->,dza,1970,1.9->2.6,36.84
->,eri,1970,1.2->2.23,85.83
->,esp,1970,4.6->6.48,40.87
->,eth,1970,1->2.18,118.00
->,fji,1970,7.3->6.47,11.37
+++,fsm,1970,6.8,
->,gab,1970,4.2->4.9,16.67
->,gbr,1970,9.8->8.64,11.84
->,gha,1970,4.6->3.92,14.78
->,gin,1970,1.2->1.67,39.17
->,gmb,1970,1.7->2.33,37.06
->,gnb,1970,1.2->1.59,32.50
+++,grd,1970,4.61,
->,gtm,1970,2.5->2.98,19.20
->,guy,1970,6->4.69,21.83
->,hti,1970,1.7->2.93,72.35
->,idn,1970,3.9->4.39,12.56
->,irq,1970,5.3->3.28,38.11
+++,isl,1970,7.94,
->,jam,1970,6.6->5.59,15.30
->,kwt,1970,3.9->4.75,21.79
->,lao,1970,2.2->2.72,23.64
+++,lby,1970,3.54,
->,mar,1970,2.1->2.51,19.52
->,mda,1970,8.1->7,13.58
->,mdg,1970,2.4->2.65,10.42
->,mdv,1970,4->3.36,16.00
->,mhl,1970,5.7->4.75,16.67
->,mli,1970,0.8->0.93,16.25
+++,mlt,1970,6.67,
->,mne,1970,7.9->6.82,13.67
->,mng,1970,6.6->5.49,16.82
->,mrt,1970,1.4->2.4,71.43
->,mus,1970,3.8->4.27,12.37
->,mwi,1970,2.5->2.89,15.60
->,nam,1970,3.3->3.86,16.97
->,ner,1970,0.4->0.9,125.00
->,nga,1970,3.1->3.7,19.35
->,nor,1970,8.1->8.95,10.49
->,npl,1970,1.7->2.69,58.24
->,nzl,1970,7.8->8.62,10.51
->,omn,1970,2.9->4.14,42.76
->,pak,1970,2.1->2.52,20.00
->,per,1970,5.4->6.32,17.04
->,png,1970,2.5->3.36,34.40
+++,prk,1970,6.43,
->,rwa,1970,2->2.28,14.00
->,sau,1970,5.2->6.24,20.00
->,sdn,1970,2.7->3.79,40.37
->,sen,1970,1.4->1.74,24.29
->,sgp,1970,5.7->6.59,15.61
->,som,1970,1->1.3,30.00
+++,ssd,1970,1.06,
->,svk,1970,7.2->7.99,10.97
->,swz,1970,3.1->3.69,19.03
->,tcd,1970,1.1->1.62,47.27
->,tgo,1970,2.2->2.79,26.82
->,tha,1970,5.1->4.56,10.59
->,tls,1970,1.5->3.1,106.67
->,tun,1970,4.3->3.7,13.95
->,tur,1970,3.8->4.75,25.00
->,twn,1970,6.3->7.6,20.63
->,ukr,1970,9.1->7.57,16.81
+++,vct,1970,4.61,
->,vnm,1970,5.7->4.52,20.70
->,yem,1970,1.2->2.24,86.67
->,zaf,1970,4.2->5.67,35.00
->,zmb,1970,4.6->3.97,13.70
->,afg,1971,1.1->1.39,26.36
->,ago,1971,2.4->2.84,18.33
+++,and,1971,8.48,
->,arm,1971,7.9->7.1,10.13
->,atg,1971,8.2->7.22,11.95
->,aus,1971,10->8.9,11.00
->,bdi,1971,1.6->1.89,18.12
->,ben,1971,1.7->2.03,19.41
->,bfa,1971,0.6->0.98,63.33
->,blr,1971,8.7->7.76,10.80
->,blz,1971,5.6->4.46,20.36
+++,brb,1971,4.71,
+++,brn,1971,8.79,
+++,btn,1971,2.52,
->,caf,1971,2.3->2.91,26.52
->,chn,1971,4.7->5.48,16.60
->,civ,1971,2.1->2.49,18.57
->,cod,1971,4.5->3.88,13.78
->,com,1971,1.9->2.87,51.05
->,cpv,1971,2.2->2.68,21.82
->,cze,1971,11->8.81,19.91
->,deu,1971,9.1->7.98,12.31
->,dji,1971,2.9->3.49,20.34
+++,dma,1971,5.45,
->,dza,1971,2->2.68,34.00
->,eri,1971,1.2->2.29,90.83
->,esp,1971,4.8->6.61,37.71
->,eth,1971,1->2.24,124.00
->,fji,1971,7.4->6.58,11.08
+++,fsm,1971,6.93,
->,gab,1971,4.4->5.01,13.86
->,gbr,1971,10->8.78,12.20
->,gha,1971,4.7->4.01,14.68
->,gin,1971,1.3->1.71,31.54
->,gmb,1971,1.8->2.39,32.78
->,gnb,1971,1.2->1.63,35.83
+++,grd,1971,4.71,
->,gtm,1971,2.6->3.05,17.31
->,guy,1971,6.1->4.79,21.48
->,hti,1971,1.8->3.01,67.22
->,irq,1971,5.5->3.39,38.36
+++,isl,1971,8.08,
->,jam,1971,6.7->5.71,14.78
->,kwt,1971,4.1->4.87,18.78
->,lao,1971,2.3->2.79,21.30
+++,lby,1971,3.63,
->,mar,1971,2.2->2.57,16.82
->,mda,1971,8.3->7.13,14.10
->,mdv,1971,4.1->3.44,16.10
->,mhl,1971,6->4.85,19.17
->,mli,1971,0.8->0.95,18.75
+++,mlt,1971,6.78,
->,mne,1971,8.1->6.94,14.32
->,mng,1971,6.8->5.6,17.65
->,mrt,1971,1.4->2.46,75.71
->,nam,1971,3.4->3.95,16.18
->,ner,1971,0.4->0.93,132.50
->,nga,1971,3.3->3.79,14.85
->,npl,1971,1.8->2.75,52.78
->,omn,1971,3.1->4.24,36.77
->,pak,1971,2.2->2.59,17.73
->,per,1971,5.6->6.45,15.18
->,png,1971,2.6->3.44,32.31
+++,prk,1971,6.55,
->,rwa,1971,2.1->2.34,11.43
->,sau,1971,5.3->6.36,20.00
->,sdn,1971,2.9->3.87,33.45
->,sen,1971,1.5->1.79,19.33
->,sgp,1971,5.9->6.72,13.90
->,som,1971,1.1->1.34,21.82
+++,ssd,1971,1.09,
->,swz,1971,3.2->3.79,18.44
->,tcd,1971,1.1->1.66,50.91
->,tgo,1971,2.3->2.86,24.35
