@@,geo,time,mean_years_in_school_women_25_to_34_years,changes(%)
->,afg,1970,0.1->0.21,110.00
->,ago,1970,1->1.42,42.00
->,alb,1970,6->5.33,11.17
+++,and,1970,8.1,
->,are,1970,3.6->4.11,14.17
->,arm,1970,7.5->6.39,14.80
->,aus,1970,9.5->8.34,12.21
->,bdi,1970,0.6->1,66.67
->,ben,1970,0.5->0.66,32.00
->,bfa,1970,0.2->0.36,80.00
->,bgd,1970,0.8->1.14,42.50
->,bhr,1970,2.6->3.26,25.38
->,bhs,1970,7.2->6.39,11.25
->,bih,1970,3.3->4.37,32.42
->,blr,1970,8.4->7.48,10.95
->,blz,1970,4.5->3.54,21.33
->,bol,1970,2.7->3.39,25.56
->,bra,1970,2.9->3.33,14.83
+++,brb,1970,4.33,
+++,brn,1970,7.36,
+++,btn,1970,0.8,
->,bwa,1970,2->2.36,18.00
->,caf,1970,0.5->1.13,126.00
->,chn,1970,2.4->3.57,48.75
->,civ,1970,0.6->0.94,56.67
->,cmr,1970,1.4->1.77,26.43
->,cod,1970,1.4->1.84,31.43
->,cog,1970,1.8->2.61,45.00
->,com,1970,0.6->1.54,156.67
->,cpv,1970,1.1->1.74,58.18
->,cze,1970,9.4->7.89,16.06
->,dji,1970,0.4->0.99,147.50
+++,dma,1970,5.33,
->,dom,1970,3.6->4.12,14.44
->,dza,1970,1.4->2.34,67.14
->,egy,1970,1.7->2.49,46.47
->,eri,1970,0.3->0.97,223.33
->,esp,1970,3.6->5.84,62.22
->,eth,1970,0.2->0.91,355.00
->,fin,1970,7.3->8.16,11.78
+++,fsm,1970,5.52,
->,gab,1970,2.5->4.35,74.00
->,gbr,1970,8.9->7.83,12.02
->,geo,1970,9.1->7.5,17.58
->,gin,1970,0.3->0.47,56.67
->,gmb,1970,0.6->0.84,40.00
->,gnb,1970,0.3->0.51,70.00
->,gnq,1970,1.8->2.22,23.33
+++,grd,1970,4.33,
->,gtm,1970,1.4->2.01,43.57
->,guy,1970,4->4.55,13.75
->,hrv,1970,4.8->5.77,20.21
->,hti,1970,0.8->1.73,116.25
->,idn,1970,1.9->2.89,52.11
->,ind,1970,1.1->1.3,18.18
->,irq,1970,2.8->1.55,44.64
+++,isl,1970,7.68,
->,ita,1970,6.7->7.7,14.93
->,jam,1970,6.4->5.51,13.91
->,jor,1970,2.8->4,42.86
->,ken,1970,1.7->2.28,34.12
->,khm,1970,1.2->1.63,35.83
->,kwt,1970,3->4.21,40.33
->,lao,1970,0.9->1.69,87.78
->,lbn,1970,3.4->4.32,27.06
->,lbr,1970,0.6->0.68,13.33
+++,lby,1970,1.77,
->,lca,1970,5.6->5,10.71
->,lka,1970,4.7->5.26,11.91
->,lva,1970,9.2->7.56,17.83
->,mar,1970,0.6->1.17,95.00
->,mdg,1970,1.6->1.91,19.37
->,mdv,1970,3.1->2.53,18.39
->,mex,1970,3.5->3.97,13.43
->,mli,1970,0.3->0.33,10.00
+++,mlt,1970,5.82,
->,mmr,1970,1.9->2.4,26.32
->,mng,1970,5.9->5.25,11.02
->,moz,1970,0.6->0.78,30.00
->,mrt,1970,0.4->1.2,200.00
->,mus,1970,2.6->3.24,24.62
->,mwi,1970,1->1.29,29.00
->,mys,1970,3.2->3.79,18.44
->,nam,1970,2.8->3.46,23.57
->,ner,1970,0.1->0.32,220.00
->,nga,1970,1.2->1.88,56.67
->,nic,1970,3.6->3.21,10.83
->,nor,1970,6.9->8.37,21.30
->,npl,1970,0.2->0.62,210.00
->,nzl,1970,7.4->8.2,10.81
->,omn,1970,1.3->2.57,97.69
->,pak,1970,0.5->0.81,62.00
->,per,1970,3.8->4.6,21.05
->,png,1970,1->1.74,74.00
+++,prk,1970,4.61,
->,prt,1970,3.6->4.53,25.83
->,pry,1970,3.3->3.93,19.09
->,pse,1970,3.1->4.33,39.68
->,qat,1970,3.1->4.03,30.00
->,rus,1970,6.6->8.11,22.88
->,rwa,1970,0.9->1.31,45.56
->,sau,1970,1.3->2.77,113.08
->,sdn,1970,0.7->1.34,91.43
->,sen,1970,0.6->0.73,21.67
->,sgp,1970,4->5.24,31.00
->,slb,1970,1.6->1.87,16.88
->,sle,1970,0.4->0.5,25.00
->,som,1970,0.2->0.47,135.00
+++,ssd,1970,0.27,
->,stp,1970,1.5->1.73,15.33
->,svk,1970,5.9->7.17,21.53
->,svn,1970,6.1->6.87,12.62
->,swz,1970,2.2->3.22,46.36
->,syc,1970,4.9->4.34,11.43
->,syr,1970,1.4->1.95,39.29
->,tcd,1970,0.2->0.37,85.00
->,tgo,1970,0.6->1.04,73.33
->,tls,1970,0.5->1.94,288.00
->,ton,1970,6.7->5.99,10.60
->,tun,1970,1->1.51,51.00
->,tur,1970,1.8->2.93,62.78
->,twn,1970,4.2->6.32,50.48
->,tza,1970,1.6->2.22,38.75
->,uga,1970,1.3->1.75,34.62
->,ukr,1970,8.9->7.29,18.09
+++,vct,1970,4.33,
->,vnm,1970,4.4->3.61,17.95
->,vut,1970,2.5->3.05,22.00
->,yem,1970,0.1->0.25,150.00
->,zaf,1970,3.8->5.18,36.32
->,zwe,1970,2.6->3.66,40.77
->,afg,1971,0.1->0.22,120.00
->,ago,1971,1.1->1.46,32.73
->,alb,1971,6.2->5.47,11.77
+++,and,1971,8.26,
->,are,1971,3.8->4.24,11.58
->,arm,1971,7.7->6.54,15.06
->,atg,1971,8.3->7.46,10.12
->,aus,1971,9.6->8.5,11.46
->,bdi,1971,0.6->1.04,73.33
->,ben,1971,0.5->0.68,36.00
->,bfa,1971,0.2->0.37,85.00
->,bgd,1971,0.9->1.18,31.11
->,bhr,1971,2.8->3.38,20.71
->,bhs,1971,7.4->6.54,11.62
->,bih,1971,3.4->4.48,31.76
->,blr,1971,8.6->7.64,11.16
->,blz,1971,4.7->3.64,22.55
->,bol,1971,2.9->3.49,20.34
->,bra,1971,3.1->3.43,10.65
+++,brb,1971,4.44,
+++,brn,1971,7.52,
+++,btn,1971,0.82,
->,bwa,1971,2.1->2.44,16.19
->,caf,1971,0.6->1.17,95.00
->,chn,1971,2.6->3.67,41.15
->,civ,1971,0.6->0.98,63.33
->,cmr,1971,1.5->1.84,22.67
->,cod,1971,1.5->1.9,26.67
->,cog,1971,1.9->2.7,42.11
->,com,1971,0.6->1.59,165.00
->,cpv,1971,1.2->1.8,50.00
->,cze,1971,9.6->8.06,16.04
->,dji,1971,0.5->1.03,106.00
+++,dma,1971,5.46,
->,dom,1971,3.8->4.24,11.58
->,dza,1971,1.5->2.42,61.33
->,egy,1971,1.8->2.57,42.78
->,eri,1971,0.3->1,233.33
->,esp,1971,3.8->5.99,57.63
->,est,1971,8.3->7.45,10.24
->,eth,1971,0.2->0.95,375.00
+++,fsm,1971,5.66,
->,gab,1971,2.6->4.47,71.92
->,gbr,1971,9.1->7.99,12.20
->,geo,1971,9.3->7.67,17.53
->,gin,1971,0.3->0.48,60.00
->,gmb,1971,0.6->0.87,45.00
->,gnb,1971,0.3->0.53,76.67
->,gnq,1971,1.9->2.29,20.53
+++,grd,1971,4.44,
->,gtm,1971,1.5->2.07,38.00
->,guy,1971,4.1->4.66,13.66
