@@,geo,time,mean_years_in_school_women_percent_men_25_to_34_years,changes(%)
->,afg,1970,11.11->15.44118,38.98
->,alb,1970,101.7->87.37705,14.08
+++,and,1970,97.00599,
->,are,1970,80->90.9292,13.66
->,arm,1970,102.7->91.67862,10.73
->,bdi,1970,46.15->54.34783,17.76
->,bgd,1970,36.36->47.3029,30.10
->,bhr,1970,68.42->79.5122,16.21
->,bih,1970,67.35->81.22677,20.60
->,bol,1970,61.36->67.66467,10.27
+++,brb,1970,93.92625,
+++,brn,1970,85.08671,
+++,btn,1970,32.52033,
->,caf,1970,23.81->39.78873,67.11
->,chn,1970,57.14->66.48045,16.35
->,civ,1970,33.33->38.68313,16.06
->,cod,1970,35->48.54881,38.71
->,cog,1970,40->54.83193,37.08
->,com,1970,37.5->55,46.67
->,cpv,1970,57.89->66.66667,15.16
->,dji,1970,16->29.03226,81.45
+++,dma,1970,99.81273,
->,dza,1970,77.78->90,15.71
->,egy,1970,40.48->51.9833,28.42
->,eri,1970,30->43.49776,44.99
->,est,1970,114.1->97.85235,14.24
->,eth,1970,25->41.74312,66.97
+++,fsm,1970,81.17647,
->,gab,1970,65.79->88.77551,34.94
->,geo,1970,108.3->93.75,13.43
->,gnq,1970,47.37->52.35849,10.53
+++,grd,1970,93.92625,
->,guy,1970,72.73->97.01493,33.39
->,hrv,1970,78.69->91.5873,16.39
->,hti,1970,53.33->59.04437,10.72
->,idn,1970,52.78->65.83144,24.73
->,ind,1970,35.48->40.75235,14.86
->,irn,1970,56.25->50.60606,10.03
->,irq,1970,58.33->47.2561,18.98
+++,isl,1970,96.72544,
->,jor,1970,50.91->68.1431,33.85
->,kaz,1970,113.6->93.88298,17.36
->,ken,1970,42.5->54.41527,28.04
->,khm,1970,46.15->56.99301,23.50
->,lao,1970,47.37->62.13235,31.16
->,lbn,1970,79.07->88.34356,11.73
+++,lby,1970,50,
->,lca,1970,107.7->95.96929,10.89
->,ltu,1970,107.6->95.23242,11.49
->,lva,1970,113.6->93.21825,17.94
->,mar,1970,33.33->46.61355,39.85
->,mdv,1970,86.11->75.29762,12.56
->,mhl,1970,76.92->86.10526,11.94
->,mli,1970,42.86->35.48387,17.21
+++,mlt,1970,87.25637,
->,mmr,1970,73.08->83.04498,13.64
->,mrt,1970,33.33->50,50.02
->,mys,1970,62.75->69.9262,11.44
->,ner,1970,25->35.55556,42.22
->,nga,1970,42.86->50.81081,18.55
->,nic,1970,124.1->98.76923,20.41
->,npl,1970,13.33->23.04833,72.91
->,omn,1970,48.15->62.07729,28.92
->,pak,1970,26.32->32.14286,22.12
->,png,1970,43.48->51.78571,19.10
+++,prk,1970,71.69518,
->,pry,1970,78.57->94.2446,19.95
->,pse,1970,56.36->75.83187,34.55
->,qat,1970,88.57->107.75401,21.66
->,rwa,1970,50->57.45614,14.91
->,sau,1970,28.26->44.39103,57.08
->,sdn,1970,26.92->35.3562,31.34
->,sen,1970,50->41.95402,16.09
->,sle,1970,33.33->37.03704,11.12
->,som,1970,22.22->36.15385,62.71
+++,ssd,1970,25.4717,
->,swz,1970,78.57->87.26287,11.06
->,syc,1970,111.4->91.36842,17.98
->,syr,1970,40->48.3871,20.97
->,tcd,1970,20->22.83951,14.20
->,tgo,1970,31.58->37.27599,18.04
->,tls,1970,38.46->62.58065,62.72
->,ton,1970,101.5->89.40299,11.92
->,tun,1970,25.64->40.81081,59.17
->,tur,1970,51.43->61.68421,19.94
->,twn,1970,71.19->83.15789,16.81
->,tza,1970,47.06->65.29412,38.75
->,uga,1970,43.33->52.71084,21.65
+++,vct,1970,93.92625,
->,yem,1970,9.091->11.16071,22.77
->,zwe,1970,56.52->69.58175,23.11
->,afg,1971,11.11->15.82734,42.46
->,alb,1971,101.6->87.94212,13.44
+++,and,1971,97.40566,
->,are,1971,80.85->91.37931,13.02
->,arm,1971,104.1->92.11268,11.52
->,bdi,1971,42.86->55.02646,28.39
->,bfa,1971,33.33->37.7551,13.28
->,bgd,1971,39.13->47.77328,22.09
->,bhr,1971,70->80.28504,14.69
->,bih,1971,66.67->81.60291,22.40
+++,brb,1971,94.26752,
+++,brn,1971,85.55176,
+++,btn,1971,32.53968,
->,caf,1971,27.27->40.20619,47.44
->,chn,1971,59.09->66.9708,13.34
->,civ,1971,31.58->39.35743,24.63
->,cod,1971,35.71->48.96907,37.13
->,cog,1971,40.43->55.55556,37.41
->,com,1971,35.29->55.4007,56.99
->,cpv,1971,60->67.16418,11.94
->,dji,1971,19.23->29.51289,53.47
+++,dma,1971,100.18349,
->,dza,1971,78.95->90.29851,14.37
->,egy,1971,40.91->52.44898,28.21
->,eri,1971,27.27->43.66812,60.13
->,est,1971,113.7->98.15547,13.67
->,eth,1971,22.22->42.41071,90.87
+++,fsm,1971,81.67388,
->,gab,1971,65->89.22156,37.26
->,geo,1971,108.1->94.22604,12.83
->,gin,1971,25->28.07018,12.28
->,gnb,1971,27.27->32.51534,19.23
->,gnq,1971,47.5->52.88684,11.34
+++,grd,1971,94.26752,
->,guy,1971,71.93->97.28601,35.25
->,hrv,1971,80.65->92.05607,14.14
->,idn,1971,55.26->66.36971,20.10
->,ind,1971,34.38->40.85366,18.83
->,irq,1971,56->47.78761,14.66
+++,isl,1971,97.15347,
->,jor,1971,52.63->68.88519,30.89
