@@,geo,time,urban_population_percent_of_total,changes(%)
+++,afg,2012,25.468,
+++,afg,2013,25.871,
+++,afg,2014,26.282,
+++,afg,2015,26.703,
+++,alb,2012,54.33,
+++,alb,2013,55.383,
+++,alb,2014,56.409,
+++,alb,2015,57.407,
+++,dza,2012,68.87,
+++,dza,2013,69.51,
+++,dza,2014,70.129,
+++,dza,2015,70.727,
+++,asm,2012,87.413,
+++,asm,2013,87.334,
+++,asm,2014,87.264,
+++,asm,2015,87.202,
+++,and,2012,86.708,
+++,and,2013,86.165,
+++,and,2014,85.633,
+++,and,2015,85.115,
->,ago,1976,20.16->17.737,12.02
->,ago,1977,21.2->18.228,14.02
->,ago,1978,22.23->18.73,15.74
->,ago,1979,23.26->19.242,17.27
->,ago,1980,24.3->19.766,18.66
->,ago,1981,25.51->20.299,20.43
->,ago,1982,26.71->20.843,21.97
->,ago,1983,27.92->21.398,23.36
->,ago,1984,29.13->21.965,24.60
->,ago,1985,30.34->22.541,25.71
->,ago,1986,31.7->23.128,27.04
->,ago,1987,33.06->23.725,28.24
->,ago,1988,34.42->24.334,29.30
->,ago,1989,35.78->24.952,30.26
->,ago,1990,37.14->25.582,31.12
->,ago,1991,38.51->26.221,31.91
->,ago,1992,39.88->26.872,32.62
->,ago,1993,41.25->27.53,33.26
->,ago,1994,42.62->28.2,33.83
->,ago,1995,43.99->28.88,34.35
->,ago,1996,44.99->29.57,34.27
->,ago,1997,45.99->30.268,34.19
->,ago,1998,46.99->30.975,34.08
->,ago,1999,47.99->31.692,33.96
->,ago,2000,48.99->32.419,33.83
->,ago,2001,49.98->33.152,33.67
->,ago,2002,50.97->33.895,33.50
->,ago,2003,51.96->34.645,33.32
->,ago,2004,52.95->35.405,33.14
->,ago,2005,53.94->36.169,32.95
->,ago,2006,54.83->36.942,32.62
->,ago,2007,55.72->37.722,32.30
->,ago,2008,56.6->38.509,31.96
->,ago,2009,57.49->39.299,31.64
->,ago,2010,58.38->40.097,31.32
->,ago,2011,59.14->40.9,30.84
+++,ago,2012,41.699,
+++,ago,2013,42.49,
+++,ago,2014,43.274,
+++,ago,2015,44.05,
->,atg,2009,30.03->26.819,10.69
->,atg,2010,29.88->26.239,12.19
->,atg,2011,29.87->25.667,14.07
+++,atg,2012,25.135,
+++,atg,2013,24.643,
+++,atg,2014,24.19,
+++,atg,2015,23.773,
+++,arg,2012,91.295,
+++,arg,2013,91.452,
+++,arg,2014,91.604,
+++,arg,2015,91.751,
+++,arm,2012,63.161,
+++,arm,2013,62.975,
+++,arm,2014,62.812,
+++,arm,2015,62.673,
+++,abw,2012,42.364,
+++,abw,2013,42.058,
+++,abw,2014,41.779,
+++,abw,2015,41.528,
...,...,...,...,
+++,aus,2012,89.015,
+++,aus,2013,89.153,
+++,aus,2014,89.289,
+++,aus,2015,89.423,
...,...,...,...,
+++,aut,2012,65.864,
+++,aut,2013,65.884,
+++,aut,2014,65.919,
+++,aut,2015,65.968,
->,aze,1960,47.7->52.663,10.40
+++,aze,2012,53.856,
+++,aze,2013,54.1,
+++,aze,2014,54.355,
+++,aze,2015,54.62,
+++,bhs,2012,82.667,
+++,bhs,2013,82.732,
+++,bhs,2014,82.801,
+++,bhs,2015,82.874,
+++,bhr,2012,88.619,
+++,bhr,2013,88.667,
+++,bhr,2014,88.719,
+++,bhr,2015,88.775,
+++,bgd,2012,31.99,
+++,bgd,2013,32.753,
+++,bgd,2014,33.516,
+++,bgd,2015,34.277,
->,brb,1999,37.77->33.756,10.63
->,brb,2000,38.35->33.83,11.79
->,brb,2001,38.91->33.651,13.52
->,brb,2002,39.48->33.472,15.22
->,brb,2003,40.05->33.294,16.87
->,brb,2004,40.62->33.116,18.47
->,brb,2005,41.18->32.939,20.01
->,brb,2006,41.72->32.762,21.47
->,brb,2007,42.26->32.586,22.89
->,brb,2008,42.81->32.41,24.29
->,brb,2009,43.35->32.235,25.64
->,brb,2010,43.89->32.06,26.95
->,brb,2011,44.4->31.905,28.14
+++,brb,2012,31.769,
+++,brb,2013,31.652,
+++,brb,2014,31.554,
+++,brb,2015,31.475,
+++,blr,2012,75.467,
+++,blr,2013,75.877,
+++,blr,2014,76.277,
+++,blr,2015,76.667,
+++,bel,2012,97.732,
+++,bel,2013,97.776,
+++,bel,2014,97.818,
+++,bel,2015,97.858,
+++,blz,2012,44.496,
+++,blz,2013,44.298,
+++,blz,2014,44.124,
+++,blz,2015,43.973,
+++,ben,2012,42.667,
+++,ben,2013,43.086,
+++,ben,2014,43.514,
+++,ben,2015,43.95,
...,...,...,...,
+++,bmu,2012,100,
+++,bmu,2013,100,
+++,bmu,2014,100,
+++,bmu,2015,100,
+++,btn,2012,36.368,
+++,btn,2013,37.139,
+++,btn,2014,37.898,
+++,btn,2015,38.644,
+++,bol,2012,67.279,
+++,bol,2013,67.696,
+++,bol,2014,68.107,
+++,bol,2015,68.512,
->,bih,2002,43.92->39.264,10.60
->,bih,2003,44.36->39.244,11.53
->,bih,2004,44.81->39.223,12.47
->,bih,2005,45.26->39.202,13.38
->,bih,2006,45.75->39.181,14.36
->,bih,2007,46.25->39.16,15.33
->,bih,2008,46.74->39.161,16.22
->,bih,2009,47.24->39.183,17.06
->,bih,2010,47.73->39.226,17.82
->,bih,2011,48.27->39.291,18.60
+++,bih,2012,39.378,
+++,bih,2013,39.486,
+++,bih,2014,39.616,
+++,bih,2015,39.767,
->,bwa,1963,3.527->3.171,10.09
+++,bwa,2012,56.699,
+++,bwa,2013,56.938,
+++,bwa,2014,57.187,
+++,bwa,2015,57.444,
+++,bra,2012,84.901,
+++,bra,2013,85.171,
+++,bra,2014,85.433,
+++,bra,2015,85.687,
+++,vgb,1960,12.228,
+++,vgb,1961,12.618,
+++,vgb,1962,13.019,
+++,vgb,1963,13.43,
+++,vgb,1964,13.854,
+++,vgb,1965,14.287,
+++,vgb,1966,14.732,
+++,vgb,1967,15.188,
+++,vgb,1968,15.657,
+++,vgb,1969,16.135,
+++,vgb,1970,16.635,
+++,vgb,1971,17.174,
+++,vgb,1972,17.728,
+++,vgb,1973,18.294,
+++,vgb,1974,18.875,
+++,vgb,1975,19.47,
+++,vgb,1976,20.081,
+++,vgb,1977,20.703,
+++,vgb,1978,21.34,
+++,vgb,1979,21.992,
+++,vgb,1980,22.741,
+++,vgb,1981,24.039,
+++,vgb,1982,25.389,
+++,vgb,1983,26.788,
+++,vgb,1984,28.237,
+++,vgb,1985,29.728,
+++,vgb,1986,31.266,
+++,vgb,1987,32.846,
+++,vgb,1988,34.468,
+++,vgb,1989,36.123,
+++,vgb,1990,37.814,
+++,vgb,1991,39.334,
+++,vgb,1992,39.603,
+++,vgb,1993,39.872,
+++,vgb,1994,40.142,
+++,vgb,1995,40.413,
+++,vgb,1996,40.684,
+++,vgb,1997,40.955,
+++,vgb,1998,41.228,
+++,vgb,1999,41.5,
+++,vgb,2000,41.774,
+++,vgb,2001,42.048,
+++,vgb,2002,42.324,
+++,vgb,2003,42.604,
+++,vgb,2004,42.887,
+++,vgb,2005,43.173,
+++,vgb,2006,43.462,
+++,vgb,2007,43.753,
+++,vgb,2008,44.048,
+++,vgb,2009,44.345,
+++,vgb,2010,44.645,
+++,vgb,2011,44.948,
+++,vgb,2012,45.253,
+++,vgb,2013,45.562,
+++,vgb,2014,45.872,
+++,vgb,2015,46.186,
+++,brn,2012,76.223,
+++,brn,2013,76.561,
+++,brn,2014,76.887,
+++,brn,2015,77.202,
+++,bgr,2012,72.971,
+++,bgr,2013,73.3,
+++,bgr,2014,73.626,
+++,bgr,2015,73.948,
+++,bfa,2012,27.346,
+++,bfa,2013,28.186,
+++,bfa,2014,29.024,
+++,bfa,2015,29.859,
->,bdi,1968,2.314->2.611,12.83
->,bdi,1969,2.348->2.726,16.10
->,bdi,1970,2.382->2.845,19.44
->,bdi,1971,2.549->2.97,16.52
->,bdi,1972,2.716->3.101,14.18
->,bdi,1973,2.884->3.236,12.21
->,bdi,1974,3.051->3.377,10.69
+++,bdi,2012,11.189,
+++,bdi,2013,11.472,
+++,bdi,2014,11.761,
+++,bdi,2015,12.057,
+++,cpv,2012,63.389,
+++,cpv,2013,64.127,
+++,cpv,2014,64.84,
+++,cpv,2015,65.526,
->,khm,1971,13.66->18.717,37.02
->,khm,1972,11.35->21.818,92.23
->,khm,1973,9.034->25.263,179.64
->,khm,1974,6.722->29.055,332.24
->,khm,1977,6.235->5.186,16.82
->,khm,1978,7.147->5.578,21.95
->,khm,1979,8.06->5.999,25.57
->,khm,1980,8.972->9.898,10.32
->,khm,1981,9.964->12.742,27.88
->,khm,1982,10.96->13.031,18.90
->,khm,1983,11.95->13.325,11.51
+++,khm,2012,20.137,
+++,khm,2013,20.319,
+++,khm,2014,20.514,
+++,khm,2015,20.723,
+++,cmr,2012,52.677,
+++,cmr,2013,53.25,
+++,cmr,2014,53.819,
+++,cmr,2015,54.381,
+++,can,2012,81.293,
+++,can,2013,81.472,
+++,can,2014,81.65,
+++,can,2015,81.828,
...,...,...,...,
+++,cym,2012,100,
+++,cym,2013,100,
+++,cym,2014,100,
+++,cym,2015,100,
+++,caf,2012,39.258,
+++,caf,2013,39.5,
+++,caf,2014,39.759,
+++,caf,2015,40.037,
+++,tcd,2012,22.129,
+++,tcd,2013,22.227,
+++,tcd,2014,22.341,
+++,tcd,2015,22.471,
+++,chanisl,2012,31.189,
+++,chanisl,2013,31.271,
+++,chanisl,2014,31.363,
+++,chanisl,2015,31.465,
+++,chl,2012,88.986,
+++,chl,2013,89.175,
+++,chl,2014,89.356,
+++,chl,2015,89.53,
+++,chn,2012,51.889,
+++,chn,2013,53.168,
+++,chn,2014,54.41,
+++,chn,2015,55.614,
+++,col,2012,75.603,
+++,col,2013,75.883,
+++,col,2014,76.161,
+++,col,2015,76.436,
+++,com,2012,28.029,
+++,com,2013,28.104,
+++,com,2014,28.193,
+++,com,2015,28.296,
->,cod,1965,26.1->23.434,10.21
->,cod,1966,26.94->23.666,12.15
->,cod,1967,27.78->23.899,13.97
->,cod,1968,28.62->24.134,15.67
->,cod,1969,29.46->24.37,17.28
->,cod,1970,30.3->24.608,18.79
->,cod,1971,30.14->24.847,17.56
->,cod,1972,29.98->25.089,16.31
->,cod,1973,29.82->25.331,15.05
->,cod,1974,29.66->25.575,13.77
->,cod,1975,29.5->25.821,12.47
->,cod,1976,29.35->26.068,11.18
->,cod,1990,27.74->30.633,10.43
->,cod,1991,27.83->31.067,11.63
->,cod,1992,27.92->31.506,12.84
->,cod,1993,28.01->31.946,14.05
->,cod,1994,28.09->32.39,15.31
->,cod,1995,28.18->32.838,16.53
->,cod,1996,28.4->33.289,17.21
->,cod,1997,28.63->33.742,17.86
->,cod,1998,28.85->34.199,18.54
->,cod,1999,29.08->34.659,19.19
->,cod,2000,29.3->35.122,19.87
->,cod,2001,29.67->35.587,19.94
->,cod,2002,30.05->36.055,19.98
->,cod,2003,30.42->36.526,20.07
->,cod,2004,30.79->37,20.17
->,cod,2005,31.16->37.478,20.28
->,cod,2006,31.67->37.961,19.86
->,cod,2007,32.19->38.448,19.44
->,cod,2008,32.7->38.941,19.09
->,cod,2009,33.21->39.437,18.75
->,cod,2010,33.73->39.937,18.40
->,cod,2011,34.28->40.442,17.98
+++,cod,2012,40.95,
+++,cod,2013,41.461,
+++,cod,2014,41.976,
+++,cod,2015,42.494,
+++,cog,2012,64.1,
+++,cog,2013,64.531,
+++,cog,2014,64.957,
+++,cog,2015,65.38,
->,cri,2009,63.69->70.573,10.81
->,cri,2010,64.19->71.734,11.75
->,cri,2011,64.64->72.866,12.73
+++,cri,2012,73.94,
+++,cri,2013,74.956,
+++,cri,2014,75.915,
+++,cri,2015,76.821,
+++,civ,2012,52.041,
+++,civ,2013,52.766,
+++,civ,2014,53.479,
+++,civ,2015,54.18,
+++,hrv,2012,58.074,
+++,hrv,2013,58.359,
+++,hrv,2014,58.656,
+++,hrv,2015,58.964,
+++,cub,2012,76.781,
+++,cub,2013,76.872,
+++,cub,2014,76.97,
+++,cub,2015,77.074,
+++,nld_curacao,1960,74.71,
+++,nld_curacao,1961,75.102,
+++,nld_curacao,1962,75.49,
+++,nld_curacao,1963,75.875,
+++,nld_curacao,1964,76.255,
+++,nld_curacao,1965,76.631,
+++,nld_curacao,1966,77.003,
+++,nld_curacao,1967,77.37,
+++,nld_curacao,1968,77.734,
+++,nld_curacao,1969,78.093,
+++,nld_curacao,1970,78.448,
+++,nld_curacao,1971,78.799,
+++,nld_curacao,1972,79.146,
+++,nld_curacao,1973,79.488,
+++,nld_curacao,1974,79.827,
+++,nld_curacao,1975,80.161,
+++,nld_curacao,1976,80.491,
+++,nld_curacao,1977,80.817,
+++,nld_curacao,1978,81.138,
+++,nld_curacao,1979,81.456,
+++,nld_curacao,1980,81.769,
+++,nld_curacao,1981,82.078,
+++,nld_curacao,1982,82.383,
+++,nld_curacao,1983,82.684,
+++,nld_curacao,1984,82.982,
+++,nld_curacao,1985,83.274,
+++,nld_curacao,1986,83.563,
+++,nld_curacao,1987,83.848,
+++,nld_curacao,1988,84.129,
+++,nld_curacao,1989,84.405,
+++,nld_curacao,1990,84.678,
+++,nld_curacao,1991,84.947,
+++,nld_curacao,1992,85.444,
+++,nld_curacao,1993,86.224,
+++,nld_curacao,1994,86.969,
+++,nld_curacao,1995,87.68,
+++,nld_curacao,1996,88.358,
+++,nld_curacao,1997,89.002,
+++,nld_curacao,1998,89.615,
+++,nld_curacao,1999,90.198,
+++,nld_curacao,2000,90.752,
+++,nld_curacao,2001,91.011,
+++,nld_curacao,2002,90.894,
+++,nld_curacao,2003,90.775,
+++,nld_curacao,2004,90.655,
+++,nld_curacao,2005,90.534,
+++,nld_curacao,2006,90.411,
+++,nld_curacao,2007,90.287,
+++,nld_curacao,2008,90.161,
+++,nld_curacao,2009,90.034,
+++,nld_curacao,2010,89.905,
+++,nld_curacao,2011,89.775,
+++,nld_curacao,2012,89.652,
+++,nld_curacao,2013,89.537,
+++,nld_curacao,2014,89.43,
+++,nld_curacao,2015,89.331,
+++,cyp,2012,67.261,
+++,cyp,2013,67.133,
+++,cyp,2014,67.019,
+++,cyp,2015,66.921,
+++,cze,2012,73.115,
+++,cze,2013,73.06,
+++,cze,2014,73.019,
+++,cze,2015,72.992,
+++,dnk,2012,87.142,
+++,dnk,2013,87.324,
+++,dnk,2014,87.502,
+++,dnk,2015,87.676,
+++,dji,2012,77.117,
+++,dji,2013,77.186,
+++,dji,2014,77.262,
+++,dji,2015,77.343,
->,dma,1960,27.3->37.846,38.63
->,dma,1961,29.15->37.912,30.06
->,dma,1962,31.01->37.979,22.47
->,dma,1963,32.87->38.046,15.75
->,dma,1968,42.77->38.381,10.26
->,dma,1969,44.83->38.448,14.24
->,dma,1970,46.89->38.683,17.50
->,dma,1971,48.57->39.47,18.74
->,dma,1972,50.25->40.264,19.87
->,dma,1973,51.93->41.061,20.93
->,dma,1974,53.62->41.864,21.92
->,dma,1975,55.3->42.671,22.84
->,dma,1976,56.92->43.484,23.61
->,dma,1977,58.54->44.297,24.33
->,dma,1978,60.16->45.115,25.01
->,dma,1979,61.79->45.935,25.66
->,dma,1980,63.41->46.759,26.26
->,dma,1981,63.94->47.793,25.25
->,dma,1982,64.47->49.524,23.18
->,dma,1983,64.99->51.257,21.13
->,dma,1984,65.52->52.99,19.12
->,dma,1985,66.05->54.71,17.17
->,dma,1986,66.38->56.422,15.00
->,dma,1987,66.71->58.118,12.88
->,dma,1988,67.05->59.798,10.82
+++,dma,2012,68.681,
+++,dma,2013,68.97,
+++,dma,2014,69.256,
+++,dma,2015,69.539,
+++,dom,2012,76.039,
+++,dom,2013,77.082,
+++,dom,2014,78.061,
+++,dom,2015,78.98,
+++,ecu,2012,63.088,
+++,ecu,2013,63.298,
+++,ecu,2014,63.516,
+++,ecu,2015,63.742,
+++,egy,2012,43.002,
+++,egy,2013,43.025,
+++,egy,2014,43.069,
+++,egy,2015,43.135,
+++,slv,2012,65.287,
+++,slv,2013,65.775,
+++,slv,2014,66.255,
+++,slv,2015,66.726,
+++,gnq,2012,39.463,
+++,gnq,2013,39.603,
+++,gnq,2014,39.756,
+++,gnq,2015,39.923,
+++,est,2012,67.835,
+++,est,2013,67.721,
+++,est,2014,67.622,
+++,est,2015,67.538,
+++,eth,2012,18.16,
+++,eth,2013,18.59,
+++,eth,2014,19.028,
+++,eth,2015,19.472,
+++,fro,2012,41.323,
+++,fro,2013,41.53,
+++,fro,2014,41.743,
+++,fro,2015,41.962,
+++,fji,2012,52.596,
+++,fji,2013,52.976,
+++,fji,2014,53.354,
+++,fji,2015,53.728,
->,fin,1960,38.1->55.29,45.12
+++,fin,2012,83.819,
+++,fin,2013,83.952,
+++,fin,2014,84.086,
+++,fin,2015,84.221,
+++,fra,2012,78.82,
+++,fra,2013,79.055,
+++,fra,2014,79.289,
+++,fra,2015,79.52,
->,pyf,2007,51.64->56.823,10.04
->,pyf,2008,51.56->56.738,10.04
+++,pyf,2012,56.218,
+++,pyf,2013,56.089,
+++,pyf,2014,55.976,
+++,pyf,2015,55.88,
+++,gab,2012,86.367,
+++,gab,2013,86.658,
+++,gab,2014,86.92,
+++,gab,2015,87.156,
+++,gmb,2012,57.706,
+++,gmb,2013,58.373,
+++,gmb,2014,59.015,
+++,gmb,2015,59.632,
...,...,...,...,
+++,geo,2012,53.162,
+++,geo,2013,53.309,
+++,geo,2014,53.468,
+++,geo,2015,53.641,
+++,deu,2012,74.688,
+++,deu,2013,74.89,
+++,deu,2014,75.094,
+++,deu,2015,75.301,
+++,gha,2012,52.069,
+++,gha,2013,52.735,
+++,gha,2014,53.392,
+++,gha,2015,54.042,
+++,gib,1960,100,
