@@,geo,time,urban_poverty_percent_urban_people_below_national_urban,changes(%)
+++,afg,2007,28.9,
+++,afg,2011,27.6,
+++,alb,2005,11.2,
+++,alb,2008,10.1,
+++,alb,2012,13.6,
+++,dza,2011,5.8,
+++,ago,2008,18.7,
+++,arg,2003,47.8,
+++,arg,2004,40.2,
+++,arg,2005,33.8,
+++,arg,2006,26.9,
+++,arg,2007,20.6,
+++,arg,2008,15.3,
+++,arg,2009,13.2,
+++,arg,2010,9.9,
+++,arg,2011,6.5,
+++,arg,2012,5.4,
+++,arg,2013,4.7,
---,dza,1988,7.3,
---,dza,1995,14.7,
---,arg,1995,28.4,
---,arm,1999,58.27,
+++,arm,2008,27.6,
+++,arm,2009,33.7,
+++,arm,2010,35.7,
+++,arm,2011,35.2,
+++,arm,2012,32.5,
+++,arm,2013,32.2,
+++,arm,2014,30,
+++,bgd,2010,21.3,
+++,blr,2000,37.9,
+++,blr,2005,10.9,
+++,blr,2006,9.1,
+++,blr,2007,5.6,
+++,blr,2008,4.4,
+++,blr,2009,4,
+++,blr,2010,3.8,
+++,blr,2011,5.8,
+++,blr,2012,5.2,
+++,blr,2013,4.2,
+++,blr,2014,3.7,
+++,blr,2015,3.7,
+++,ben,2006,35.4,
+++,ben,2007,28.3,
+++,ben,2009,29.8,
+++,ben,2011,31.4,
+++,btn,2007,1.7,
+++,btn,2012,1.8,
+++,bol,2000,54.5,
+++,bol,2001,54.3,
---,ben,1995,28.5,
---,bol,1997,53.8,
---,bol,1999,50.55,
+++,bol,2004,54.4,
+++,bol,2005,51.1,
+++,bol,2006,50.3,
+++,bol,2007,50.9,
+++,bol,2008,48.7,
+++,bol,2009,43.5,
+++,bol,2011,36.8,
+++,bol,2012,34.7,
---,bih,2002,13.8,
---,bra,1998,14.65,
---,bra,2003,17.5,
---,bfa,1998,22.4,
---,bdi,1990,43,
---,bdi,1998,66.5,
---,khm,1997,21.1,
---,tcd,1996,63,
---,chn,1996,2,
---,chn,1998,2,
---,col,1995,48,
---,col,1999,55,
---,cri,1992,19.2,
---,ecu,1998,30,
---,egy,1996,22.5,
---,slv,1995,38.9,
---,est,1995,6.8,
---,eth,1996,33.3,
---,gmb,1998,48,
---,gmb,2003,57,
---,geo,2002,48.5,
---,geo,2003,56.2,
